"","MEyellow","MEgreen","MEred","MEblue","MEbrown","MEturquoise","MEgrey","MEyellow","MEgreen","MEred","MEblue","MEbrown","MEturquoise","MEgrey"
"mismatch",0.357142857142857,0.380952380952381,0.238095238095238,-0.380952380952381,-0.690476190476191,-0.0952380952380952,-0.0476190476190476,0.385120643556256,0.351812553117565,0.570156320815768,0.351812553117565,0.0579903181645727,0.822505430203611,0.910849168519584
"lmktm_OC0",-0.1,-0.6,-1,-0.2,0.6,-0.1,-0.7,0.872888571569538,0.284756979865294,3.97186241008171e-24,0.747060078104662,0.284756979865294,0.872888571569538,0.188120404374187
"lmktm_OC1",-0.0195488721804511,-0.100751879699248,-0.17593984962406,-0.321804511278195,0.279699248120301,0.344360902255639,-0.406015037593985,0.934803123521464,0.672556435485782,0.458098658702486,0.166474348578758,0.232347860677346,0.137072581504344,0.0756893721143977
"lmktm_OC2",-0.196640316205534,-0.114624505928854,-0.0494071146245059,-0.258893280632411,0.531620553359684,0.537549407114625,-0.213438735177866,0.368499187070484,0.602516003035767,0.822857898870785,0.232932456248683,0.00903606554131945,0.00816038015311141,0.328142171876743
"lmktm_OC3",-0.189723320158103,0.00494071146245059,0.041501976284585,-0.200592885375494,0.491106719367589,0.399209486166008,-0.196640316205534,0.385912245977591,0.98215003344825,0.850862990259384,0.358755905311898,0.0173283107521671,0.0591470239602352,0.368499187070484
"lmktm_OC4",-0.154150197628458,0.00508187464709204,0.0615471485036702,-0.178994918125353,0.522303783173348,0.410502540937324,-0.22755505364201,0.493384628947119,0.982093160748816,0.785553965127233,0.425438243903658,0.0126451739170131,0.0577412049922792,0.308456057118635
"lmktm_OC5",-0.105731225296443,-0.00691699604743083,0.151185770750988,-0.273715415019763,0.346837944664032,0.626482213438735,-0.0879446640316206,0.63112690245656,0.975011901091527,0.491073862454754,0.206304990743314,0.104930576153863,0.00138180300390012,0.68987702466426
"lmktm_OC6",0.857142857142857,0.928571428571428,0.642857142857143,-0.857142857142857,-0.607142857142857,-0.142857142857143,0,0.0136973266153257,0.00251947240379474,0.119392373427411,0.0136973266153257,0.148231161481161,0.759945300218093,1
"lmktm_OC7",-0.0385375494071146,0.237154150197628,0.273715415019763,-0.234189723320158,0.107707509881423,0.351778656126482,-0.105731225296443,0.861411866221951,0.275905858527813,0.206304990743314,0.282129730104648,0.624722605764311,0.099744900382575,0.63112690245656
"lmktm_OC8",-0.305477131564088,0.0276679841897233,0.101072840203275,-0.112365894974591,0.457933370976849,0.469226425748165,-0.114624505928854,0.166821428422531,0.902723158774713,0.654477886922314,0.618582829831878,0.0321015763596822,0.0275901677408377,0.611500213810108
"lmktm_OC9",0.0395256916996047,0.0652173913043478,0.267786561264822,-0.271739130434783,0.0820158102766798,0.530632411067194,0.0444664031620553,0.857892938600224,0.767501825584294,0.216698246644815,0.209731419424667,0.709872807983782,0.00918929348235333,0.840338786359606
"lmktm_ED0.2",-0.127046866177301,-0.107848673066064,0.124788255223038,-0.127046866177301,0.129305477131564,0.557312252964427,-0.012987012987013,0.573155822274156,0.632846066578742,0.580048686151253,0.573155822274156,0.5662990497258,0.00704780769381295,0.95425767933219
"lmktm_ED3_4",-0.0234782608695652,0.0304347826086956,0.10695652173913,-0.304347826086956,0.302608695652174,0.484347826086956,-0.32,0.913286577927015,0.88773393557596,0.61888099743318,0.148187708586284,0.150636409627839,0.016465290910993,0.127410572820417
"lmktm_ED5.8",-0.201739130434783,-0.166086956521739,-0.0826086956521739,-0.296521739130435,0.541739130434783,0.577391304347826,-0.243478260869565,0.344493031407398,0.437966901608239,0.701162984447183,0.159432453277764,0.00625180826760666,0.0031332357033776,0.251598161842843
"lmktm_Total",0.0123076923076923,-0.163076923076923,0.0438461538461538,-0.226153846153846,0.354615384615385,0.587692307692308,-0.216923076923077,0.953438036424702,0.436053023345979,0.835145685000621,0.277019673500719,0.0819751119451721,0.00200697959282309,0.297618255146521
"migrt_Total",0.0788177339901478,0.20415982484948,-0.35632183908046,-0.499726327312534,-0.077175697865353,0.179529282977559,-0.552271483305966,0.690135950694166,0.297372132204305,0.0627252343885941,0.00677590430427236,0.696285345995621,0.360650667719337,0.0023098363443268
"migrt_Y15.24",-0.0120415982484948,0.158730158730159,-0.166392993979201,-0.467432950191571,0.102900930487137,0.191023535851122,-0.389709906951286,0.951506431390672,0.419804091215168,0.397413942748506,0.0121400588878253,0.602323402541007,0.330194248762327,0.0403657385073315
"migrt_Y25.64",0.0925013683634373,0.239189928845101,-0.341543513957307,-0.469074986316366,-0.114395183360701,0.145046524356869,-0.495347564313082,0.639669379003626,0.220251623517369,0.0752708635267525,0.0118006621846966,0.562162377619405,0.461469372053273,0.0073572741078616
"EU_groups",0.439861389164119,0.67106741662681,0.41377237246626,0.347042067890414,0.564709549048826,0.705026804690713,0.480931029008313,0.00446690788326154,9.26841925430466e-09,0.0120158047366422,0.0944061055605333,9.80471482936451e-06,7.2166383979777e-10,0.000766160524270032
