"","pop_Total","pop_Y0-14","pop_Y15-24","pop_Y25-64","pop_Y65-74","pop_YGE75","ARPR","low_work","rooms_pp","mat_depriv","ARPR_socexcl","emp_Y15-24_ED0-2","emp_Y25-64_ED0-2","emp_Y15-24_ED3-4","emp_Y25-64_ED3-4","emp_Y15-24_ED5-8","emp_Y25-64_ED5-8","emp_TF","emp_TP","emp_Y15-24","emp_Y25-64","emp_YGE65","emp_Y15-24_NaceA","emp_Y25-64_NaceA","emp_Y15-24_NaceB-E","emp_Y25-64_NaceB-E","emp_Y15-24_NaceF","emp_Y25-64_NaceF","emp_Y15-24_NaceG-I","emp_Y25-64_NaceG-I","emp_Y15-24_NaceJ","emp_Y25-64_NaceJ","emp_Y25-64_NaceK","emp_Y25-64_NaceL","emp_Y15-24_NaceM_N","emp_Y25-64_NaceM_N","emp_Y15-24_NaceO-Q","emp_Y25-64_NaceO-Q","emp_Y15-24_NaceR-U","emp_Y25-64_NaceR-U","unemp_Y15-24","unemp_YGE25","GDP","GVAgr","disp_income","training","earn_OC1_NaceB-F","earn_OC2_NaceB-F","earn_OC3_NaceB-F","earn_OC4_NaceB-F","earn_OC5_NaceB-F","earn_OC7_NaceB-F","earn_OC8_NaceB-F","earn_OC9_NaceB-F","earn_OC1_NaceG-N","earn_OC2_NaceG-N","earn_OC3_NaceG-N","earn_OC4_NaceG-N","earn_OC5_NaceG-N","earn_OC7_NaceG-N","earn_OC8_NaceG-N","earn_OC9_NaceG-N","earn_OC1_NaceP-S","earn_OC2_NaceP-S","earn_OC3_NaceP-S","earn_OC4_NaceP-S","earn_OC5_NaceP-S","earn_OC9_NaceP-S","pop_Total","pop_Y0-14","pop_Y15-24","pop_Y25-64","pop_Y65-74","pop_YGE75","ARPR","low_work","rooms_pp","mat_depriv","ARPR_socexcl","emp_Y15-24_ED0-2","emp_Y25-64_ED0-2","emp_Y15-24_ED3-4","emp_Y25-64_ED3-4","emp_Y15-24_ED5-8","emp_Y25-64_ED5-8","emp_TF","emp_TP","emp_Y15-24","emp_Y25-64","emp_YGE65","emp_Y15-24_NaceA","emp_Y25-64_NaceA","emp_Y15-24_NaceB-E","emp_Y25-64_NaceB-E","emp_Y15-24_NaceF","emp_Y25-64_NaceF","emp_Y15-24_NaceG-I","emp_Y25-64_NaceG-I","emp_Y15-24_NaceJ","emp_Y25-64_NaceJ","emp_Y25-64_NaceK","emp_Y25-64_NaceL","emp_Y15-24_NaceM_N","emp_Y25-64_NaceM_N","emp_Y15-24_NaceO-Q","emp_Y25-64_NaceO-Q","emp_Y15-24_NaceR-U","emp_Y25-64_NaceR-U","unemp_Y15-24","unemp_YGE25","GDP","GVAgr","disp_income","training","earn_OC1_NaceB-F","earn_OC2_NaceB-F","earn_OC3_NaceB-F","earn_OC4_NaceB-F","earn_OC5_NaceB-F","earn_OC7_NaceB-F","earn_OC8_NaceB-F","earn_OC9_NaceB-F","earn_OC1_NaceG-N","earn_OC2_NaceG-N","earn_OC3_NaceG-N","earn_OC4_NaceG-N","earn_OC5_NaceG-N","earn_OC7_NaceG-N","earn_OC8_NaceG-N","earn_OC9_NaceG-N","earn_OC1_NaceP-S","earn_OC2_NaceP-S","earn_OC3_NaceP-S","earn_OC4_NaceP-S","earn_OC5_NaceP-S","earn_OC9_NaceP-S"
"mismatch",0.523809523809524,-0.452380952380952,-0.357142857142857,0.0952380952380952,-0.19047619047619,0.0952380952380952,0.333333333333333,0.285714285714286,-0.268372520060847,0.452380952380952,0.380952380952381,0.238095238095238,0.523809523809524,-0.19047619047619,-0.285714285714286,0.285714285714286,-0.333333333333333,-0.571428571428572,-0.166666666666667,-0.761904761904762,-0.642857142857143,0.0238095238095238,0.357142857142857,0.238095238095238,0.30952380952381,0.238095238095238,-0.547619047619048,-0.5,0.285714285714286,0.333333333333333,0.142857142857143,-0.690476190476191,0,-0.523809523809524,0.214285714285714,-0.19047619047619,-0.523809523809524,-0.214285714285714,-0.452380952380952,-0.142857142857143,0.0238095238095238,0.285714285714286,-0.30952380952381,-0.0357142857142857,-0.0714285714285714,-0.347311615954845,0,-0.0958101009530607,-0.119047619047619,-0.238095238095238,-0.0714285714285714,-0.404761904761905,-0.333333333333333,-0.238095238095238,0.214285714285714,-0.142857142857143,-0.0238095238095238,-0.0714285714285714,-0.0479050504765304,-0.30952380952381,-0.357142857142857,-0.0476190476190476,0.0238095238095238,-0.0714285714285714,-0.0952380952380952,-0.119047619047619,-0.238095238095238,-0.0714285714285714,0.182720750539715,0.260404767436885,0.385120643556256,0.822505430203611,0.651401495702482,0.822505430203611,0.419753086419753,0.492726245016957,0.520440977682338,0.260404767436885,0.351812553117565,0.570156320815768,0.182720750539715,0.651401495702482,0.492726245016957,0.492726245016957,0.419753086419753,0.138959957160707,0.693238811728395,0.0280049391530719,0.0855588910126731,0.955374011815881,0.385120643556256,0.570156320815768,0.455644890737582,0.570156320815768,0.160025642538896,0.20703125,0.492726245016957,0.419753086419753,0.735764859879812,0.0579903181645727,1,0.182720750539715,0.610344415645267,0.651401495702482,0.182720750539715,0.610344415645267,0.260404767436885,0.735764859879812,0.955374011815881,0.492726245016957,0.455644890737582,0.939408205471286,0.866526270675909,0.399263874203282,1,0.821452403250453,0.77888572605238,0.570156320815768,0.866526270675909,0.319888641228816,0.419753086419753,0.570156320815768,0.610344415645267,0.735764859879812,0.955374011815881,0.866526270675909,0.910315357004167,0.455644890737582,0.385120643556256,0.910849168519584,0.955374011815881,0.866526270675909,0.822505430203611,0.77888572605238,0.570156320815768,0.866526270675909
"lmktm_OC0",-0.4,0.8,0.9,-0.2,-0.7,-0.9,-0.6,-0.3,0.737864787372622,0.3,-0.5,-0.6,-0.5,-0.2,-0.2,0.7,0.9,0.6,-0.2,0.7,0.6,0.8,0.1,-0.2,-0.7,-0.7,-0.4,0.5,0.2,-0.2,0.2,0.4,0.6,0,0.6,-0.2,0.5,0.3,-0.5,0.2,-0.1,-0.2,-0.4,-0.2,0.1,-0.1,-0.7,-0.1,-0.2,-0.5,-0.4,-0.2,-0.7,-0.5,-0.3,-0.0512989176042577,-0.5,-0.5,-0.7,-0.1,-0.3,-0.7,-0.1,-0.1,0.3,-0.5,-0.5,-0.5,0.504631575468691,0.104088038661828,0.0373860734684988,0.747060078104662,0.188120404374187,0.0373860734684988,0.284756979865294,0.623837664781073,0.154618523128449,0.623837664781073,0.391002218955771,0.284756979865294,0.391002218955771,0.747060078104662,0.747060078104662,0.188120404374187,0.0373860734684988,0.284756979865294,0.747060078104662,0.188120404374187,0.284756979865294,0.104088038661828,0.872888571569538,0.747060078104662,0.188120404374187,0.188120404374187,0.504631575468691,0.391002218955771,0.747060078104662,0.747060078104662,0.8,0.504631575468691,0.284756979865294,1,0.284756979865294,0.747060078104662,0.391002218955771,0.623837664781073,0.391002218955771,0.747060078104662,0.872888571569538,0.747060078104662,0.504631575468691,0.8,0.872888571569538,0.872888571569538,0.188120404374187,0.872888571569538,0.747060078104662,0.391002218955771,0.6,0.747060078104662,0.188120404374187,0.391002218955771,0.623837664781073,0.934712848108234,0.391002218955771,0.391002218955771,0.188120404374187,0.872888571569538,0.623837664781073,0.188120404374187,0.872888571569538,0.872888571569538,0.623837664781073,0.391002218955771,0.391002218955771,0.391002218955771
"lmktm_OC1",-0.332330827067669,0.445112781954887,0.24812030075188,-0.201503759398496,-0.264661654135338,-0.206015037593985,-0.0406015037593985,-0.239458102883944,0.492257443249222,-0.296240601503759,-0.168421052631579,0.132330827067669,0.278195488721804,-0.569924812030075,-0.4,0.44812030075188,0.419548872180451,-0.15187969924812,0.413533834586466,0.159398496240601,0.275187969924812,0.293233082706767,-0.236326109391125,-0.451127819548872,-0.643609022556391,-0.646616541353383,0.0496240601503759,0.0135338345864662,0.0616541353383459,-0.0496240601503759,0.32843137254902,0.389473684210526,0.470676691729323,0.135338345864662,0.206015037593985,0.266165413533835,0.457142857142857,0.36390977443609,0.324812030075188,0.395488721804511,-0.00451127819548872,-0.145864661654135,0.310643120877595,-0.106748546613412,0.303562250056207,0.406320656784865,0.0285714285714286,0.231578947368421,0.251127819548872,0.196314417794316,0.231578947368421,0.215037593984962,0.168421052631579,0.219548872180451,0.198496240601504,0.257239581937379,0.239097744360902,0.281203007518797,0.190977443609023,0.198496240601504,0.281203007518797,0.240601503759398,0.195488721804511,0.24812030075188,0.427067669172932,0.266165413533835,0.257142857142857,0.210526315789474,0.15225878917036,0.0492252966921177,0.291522687103458,0.394260504761274,0.259469369928538,0.383532553092587,0.865046879007772,0.309235609729542,0.0274661968408637,0.204718297428621,0.47782867579643,0.578107459362294,0.234973790598894,0.00870372122541619,0.0805538721085092,0.0475317357506642,0.065548285182185,0.522681911140314,0.0699207382926213,0.502052459351731,0.240283028081138,0.209571388803025,0.345101248809779,0.0458832588000064,0.00219936644726784,0.00206382115435942,0.835413845375483,0.954839753357139,0.796239351138478,0.835413845375483,0.198068931868772,0.0896190476983714,0.0362145516660009,0.56941869115077,0.383532553092587,0.256670845402541,0.042718510627877,0.114725263852106,0.16232315577,0.0843516324500122,0.984940048340402,0.539466494429744,0.182515584084098,0.683435858996119,0.22072571393165,0.0754481955013388,0.904822414736774,0.325898627038793,0.285521710633598,0.406803487317682,0.340106510088661,0.362573887024551,0.47782867579643,0.352345677311515,0.401503607003897,0.273563731273285,0.309986264406045,0.229741032171045,0.419926972202505,0.401503607003897,0.229741032171045,0.306861091678276,0.408819089520232,0.291522687103458,0.060376047595294,0.256670845402541,0.273750503500016,0.3729699095048
"lmktm_OC2",-0.175889328063241,0.445652173913043,0.191699604743083,-0.338932806324111,-0.0839920948616601,-0.0375494071146245,-0.00345935271247768,-0.20573699480641,0.539501348555614,-0.480237154150198,-0.219367588932806,0.239130434782609,0.202569169960474,-0.494071146245059,-0.365612648221344,0.406126482213439,0.531620553359684,-0.0345849802371542,0.599802371541502,0.400197628458498,0.525691699604743,0.457509881422925,-0.337662337662338,-0.439723320158103,-0.531620553359684,-0.509881422924901,0.150197628458498,-0.0158102766798419,-0.113636363636364,-0.296442687747036,0.333834586466165,0.573122529644269,0.358695652173913,0.33201581027668,0.385375494071146,0.438735177865613,0.545454545454545,0.454545454545455,0.369565217391304,0.352766798418972,-0.120553359683794,-0.33300395256917,0.458611331025613,0.0338600547320721,0.408707038845567,0.624320392637466,0.171428571428571,0.396103896103896,0.396103896103896,0.354660622797492,0.377443609022556,0.384415584415584,0.301298701298701,0.388311688311688,0.314285714285714,0.400259993527614,0.380519480519481,0.407792207792208,0.327272727272727,0.390909090909091,0.485714285714286,0.368831168831169,0.242857142857143,0.290909090909091,0.449350649350649,0.361038961038961,0.372727272727273,0.342857142857143,0.422100528830179,0.0330703106504768,0.380890268696146,0.11363585102173,0.703186196705488,0.864933344605335,0.987501443094152,0.346302779840078,0.0078879483124111,0.0203787981939123,0.314560063907499,0.271805205457041,0.353941111118254,0.016564138234427,0.0862330902849871,0.0544915339707887,0.00903606554131945,0.875512445582661,0.00248411094634689,0.0584638688715002,0.0099879821095744,0.0281595751965518,0.134396972488412,0.0357678845529316,0.00903606554131945,0.0129372173858278,0.493944194100806,0.94292087982473,0.605668146631139,0.169592754389552,0.150299227073428,0.00425414723957147,0.092806301504754,0.121675182132813,0.0693688842371543,0.0362338973900881,0.00710319833273,0.0293288769617855,0.0826368879438281,0.0987309002687822,0.583748920768871,0.120502186096419,0.0277347132861095,0.887303981181469,0.0658363921660176,0.00145190535476043,0.457477027621594,0.0754763779504723,0.0754763779504723,0.114675446153982,0.100873191187105,0.0853275486074543,0.184419001487306,0.0819434370524676,0.165288054843055,0.0721874980538538,0.0888142878551755,0.0665030472479614,0.147574482514754,0.0797435516537247,0.025600283346738,0.0999067054449495,0.288804254375853,0.200767641441194,0.0409966735068865,0.107844498741763,0.0961022457843472,0.128131410073262
"lmktm_OC3",-0.306324110671937,0.325098814229249,0.106719367588933,-0.319169960474308,-0.0197628458498024,0.0365612648221344,0.108722513820727,-0.242829001081604,0.397422724534522,-0.386363636363636,-0.120553359683794,0.204545454545455,0.146245059288538,-0.376482213438735,-0.269762845849802,0.337944664031621,0.428853754940711,0.00988142292490119,0.481225296442688,0.353754940711462,0.450592885375494,0.451581027667984,-0.201298701298701,-0.339920948616601,-0.479249011857708,-0.430830039525692,0.198616600790514,-0.00889328063241107,-0.0928853754940711,-0.196640316205534,0.35187969924812,0.523715415019763,0.25197628458498,0.319169960474308,0.235177865612648,0.301383399209486,0.482213438735178,0.33201581027668,0.344861660079051,0.237154150197628,-0.143280632411067,-0.268774703557312,0.329132700930019,0.086531250981962,0.241715450636806,0.499258587936532,0.074025974025974,0.255844155844156,0.255844155844156,0.234491730457682,0.255639097744361,0.25974025974026,0.181818181818182,0.276623376623377,0.196103896103896,0.25146204138829,0.248051948051948,0.277922077922078,0.215584415584416,0.249350649350649,0.401298701298701,0.248051948051948,0.132467532467532,0.149350649350649,0.320779220779221,0.264935064935065,0.25974025974026,0.231168831168831,0.155143470859876,0.130118561673334,0.627921509207356,0.137684237343219,0.928682841136033,0.868457309937357,0.621443550807408,0.264235364637617,0.0603978634197268,0.0685970215602719,0.583748920768871,0.349164355806198,0.50550811396571,0.0766160164467213,0.213195806177203,0.114759945466306,0.0411622541283792,0.964308343809637,0.0200847266700963,0.0977245415529056,0.0309477451684319,0.0305365255949987,0.381580689603064,0.112519808956968,0.0206763362201871,0.0401367741147855,0.363608634124384,0.967875622555596,0.673365118900719,0.368499187070484,0.128141952087041,0.0103230755050702,0.246097516654165,0.137684237343219,0.280045386970316,0.162255715813259,0.0197940924898592,0.121675182132813,0.107059384920338,0.275905858527813,0.514266822508357,0.214942263912228,0.125144871413458,0.716796371736866,0.291147577685281,0.0152929262347532,0.749805878712243,0.262972942241723,0.262972942241723,0.30624539143632,0.276664449895816,0.255519130162394,0.430237932495903,0.224790503459416,0.39424166216972,0.271519534049685,0.278289794304277,0.222532065278845,0.3479675136623,0.275699079707605,0.0713826211069031,0.278289794304277,0.567048530648251,0.518187588501793,0.156256501756595,0.245792618715407,0.255519130162394,0.313347333132429
"lmktm_OC4",-0.281761716544325,0.363071710897798,0.102202145680407,-0.322416713721062,-0.0559006211180124,0.0886504799548278,0.129341998944785,-0.278044745280205,0.376389237679855,-0.421795595708639,-0.120271033314512,0.1914172783738,0.0807453416149068,-0.349520045172219,-0.255787690570299,0.348390739695087,0.503105590062112,0.0694522868435912,0.463579898362507,0.345002823263693,0.521174477696217,0.474872953133823,-0.16390977443609,-0.298701298701299,-0.461321287408244,-0.40824392998306,0.208356860530774,-0.0062111801242236,-0.0909090909090909,-0.228684359119142,0.341353383458647,0.548277809147374,0.186900056465274,0.341614906832298,0.267080745341615,0.300959909655562,0.472614342179559,0.34274421230943,0.359683794466403,0.221908526256352,-0.147374364765669,-0.219649915302089,0.321378154583331,0.153643606186763,0.212109830720295,0.515819291362529,0.0451127819548872,0.23609022556391,0.227067669172932,0.200075230395739,0.210526315789474,0.242105263157895,0.156390977443609,0.240601503759398,0.169924812030075,0.228743480856665,0.225563909774436,0.246616541353383,0.168421052631579,0.22406015037594,0.36390977443609,0.210526315789474,0.0992481203007519,0.118796992481203,0.275187969924812,0.207518796992481,0.213533834586466,0.204511278195489,0.203955186592384,0.0967566804323626,0.650853348914001,0.143355980602899,0.804842443747066,0.694829164062497,0.566188474607281,0.210240567104985,0.084253869972834,0.0505523999392157,0.593940770339139,0.393465117117667,0.720937506040607,0.110832664341451,0.250572528614897,0.112069510419509,0.0170000127190616,0.758755244688898,0.0297782092410766,0.115840262172264,0.0128731495499878,0.025531919822234,0.489866943380774,0.176913194251414,0.0306910046783569,0.0592685135525425,0.352110523559614,0.978114700434861,0.68742909755053,0.305995939360216,0.140764697160308,0.00824385413837579,0.404932872442812,0.119702148210959,0.22952835250287,0.173503777724162,0.0263399945351111,0.118404662875052,0.100144900369709,0.320936935318861,0.512798661452605,0.326013251116519,0.144723389884197,0.530005867177768,0.369301733848912,0.0140003019989918,0.850206190208487,0.316293970783097,0.335674431013418,0.397691821864564,0.38697323683165,0.303755063011435,0.510256689902902,0.306861091678276,0.473849064894112,0.332023062603309,0.338970939170867,0.294551994072042,0.47782867579643,0.342286350811214,0.114725263852106,0.3729699095048,0.677188844321822,0.617891828026293,0.240283028081138,0.379993236993247,0.366020638339514,0.387090237755677
"lmktm_OC5",-0.0909090909090909,0.348814229249012,0.0237154150197628,-0.33399209486166,-0.0385375494071146,0.146245059288538,0.10378058137433,-0.144906104515092,0.511681757838197,-0.489130434782609,-0.132411067193676,0.383399209486166,0.298418972332016,-0.520750988142292,-0.386363636363636,0.33102766798419,0.50197628458498,-0.25395256916996,0.650197628458498,0.205533596837945,0.405138339920949,0.297430830039526,-0.35974025974026,-0.436758893280632,-0.608695652173913,-0.543478260869565,0.240118577075099,-0.0632411067193676,-0.0227272727272727,-0.192687747035573,0.168421052631579,0.503952569169961,0.384387351778656,0.189723320158103,0.406126482213439,0.537549407114625,0.492094861660079,0.381422924901186,0.428853754940711,0.451581027667984,-0.0602766798418972,-0.213438735177866,0.53768225016796,-0.115876631749758,0.508122264510705,0.567474117773405,0.35974025974026,0.433766233766234,0.496103896103896,0.470282584075795,0.497744360902256,0.492207792207792,0.445454545454545,0.512987012987013,0.457142857142857,0.487329537574205,0.494805194805195,0.518181818181818,0.44025974025974,0.455844155844156,0.572727272727273,0.485714285714286,0.437662337662338,0.432467532467532,0.546753246753247,0.47012987012987,0.475324675324675,0.463636363636364,0.679952898665357,0.10283305097356,0.914465926277352,0.119337409412694,0.861411866221951,0.50550811396571,0.637473376098052,0.509455160882251,0.0125691436351705,0.017853473452398,0.546994503861721,0.0709324027483355,0.166630800503263,0.0108430326368601,0.0685970215602719,0.122856424758044,0.0146593771191775,0.242287810939364,0.000783277032193485,0.346790273614315,0.0551386874533403,0.168107241142981,0.109210764050401,0.0371802897615296,0.00205466329150205,0.00735617593725583,0.269769455187336,0.774367353844152,0.918017945297029,0.378393292249742,0.47782867579643,0.0142122477745901,0.0701473335787694,0.385912245977591,0.0544915339707887,0.00816038015311141,0.0170704715746722,0.0725225329644294,0.0411622541283792,0.0305365255949987,0.784696224733214,0.328142171876743,0.00814159550854979,0.626617823787746,0.0186832171757634,0.00474037787897915,0.109210764050401,0.0494674793815474,0.02217683155746,0.0314452859902988,0.0255325669630838,0.0234149630699066,0.0429999287426429,0.0174013197330018,0.0372083724068703,0.0250421452819914,0.0225835949975816,0.0161115580312125,0.0457880777293721,0.0378199890038776,0.0066565204968268,0.025600283346738,0.0472335457141292,0.0502299174768941,0.0103240827861857,0.031507962850302,0.0294304212264114,0.0342652987378761
"lmktm_OC6",0.678571428571428,-0.357142857142857,-0.535714285714286,-0.107142857142857,-0.357142857142857,0.857142857142857,0.892857142857143,0.642857142857143,-0.363696483726654,0.678571428571428,0.857142857142857,0.0714285714285714,0.857142857142857,-0.392857142857143,-0.571428571428571,0.321428571428571,-0.107142857142857,-0.964285714285714,-0.107142857142857,-0.678571428571428,-0.714285714285714,-0.571428571428571,0.571428571428571,0.428571428571428,-0.571428571428571,-0.571428571428571,-0.464285714285714,-0.857142857142857,0.857142857142857,0.607142857142857,-0.535714285714286,-0.75,0.392857142857143,-0.75,-0.107142857142857,0.0714285714285714,-0.285714285714286,-0.0357142857142857,0.214285714285714,0.571428571428571,0.785714285714285,0.785714285714285,-0.321428571428571,-0.178571428571429,-0.107142857142857,-0.535714285714286,0.485714285714286,-0.0857142857142857,0.142857142857143,0.142857142857143,0.257142857142857,0.0857142857142857,0.0857142857142857,0.0857142857142857,-0.0285714285714286,-0.0285714285714286,0.257142857142857,0.142857142857143,0.0857142857142857,0.0285714285714286,0.0285714285714286,0.0857142857142857,0.428571428571429,0.485714285714286,-0.0285714285714286,0.142857142857143,0.0857142857142857,0.257142857142857,0.0937502539598315,0.431611352038328,0.215217455678013,0.819150855569991,0.431611352038328,0.0136973266153257,0.00680718740893543,0.119392373427411,0.422581507574993,0.0937502539598315,0.0136973266153257,0.879048193148154,0.0136973266153257,0.383316870426973,0.180201988911528,0.482072038299678,0.819150855569991,0.000454149169194182,0.819150855569991,0.0937502539598315,0.0713435614675377,0.180201988911528,0.180201988911528,0.337368311085824,0.180201988911528,0.180201988911528,0.293934107600252,0.0136973266153257,0.0136973266153257,0.148231161481161,0.215217455678013,0.052181400457058,0.383316870426973,0.052181400457058,0.819150855569991,0.879048193148154,0.534509228601041,0.939408205471286,0.64451158102072,0.180201988911528,0.0362384626798273,0.0362384626798273,0.482072038299678,0.701657942516273,0.819150855569991,0.215217455678013,0.328723032069971,0.871743440233236,0.787172011661808,0.787172011661808,0.622787172011662,0.871743440233236,0.871743440233236,0.871743440233236,0.957154518950437,0.957154518950437,0.622787172011662,0.787172011661808,0.871743440233236,0.957154518950437,0.957154518950437,0.871743440233236,0.396501457725947,0.328723032069971,0.957154518950437,0.787172011661808,0.871743440233236,0.622787172011662
"lmktm_OC7",-0.292490118577075,0.123517786561265,-0.139328063241107,-0.143280632411067,-0.0711462450592885,0.201581027667984,0.272794671041097,-0.0529179289526103,0.315951066004945,-0.177865612648221,0.142292490118577,0.306324110671937,0.224308300395257,-0.441699604743083,-0.297430830039526,0.295454545454545,0.444664031620553,-0.226284584980237,0.351778656126482,-0.0108695652173913,0.157114624505929,0.232213438735178,0.0792207792207792,-0.142292490118577,-0.595849802371542,-0.482213438735178,0.127470355731225,-0.125494071146245,0.0642292490118577,0.120553359683794,0.0406015037593985,0.33695652173913,0.327075098814229,-0.0889328063241107,0.153162055335968,0.284584980237154,0.294466403162055,0.0978260869565217,0.346837944664032,0.324110671936759,-0.0652173913043478,0.0276679841897233,0.244131462851996,-0.0857788053212493,0.173489315376417,0.211072690147425,0.224675324675325,0.257142857142857,0.327272727272727,0.304644381120922,0.299248120300752,0.296103896103896,0.261038961038961,0.309090909090909,0.331168831168831,0.305393176879835,0.311688311688312,0.344155844155844,0.233766233766234,0.261038961038961,0.409090909090909,0.272727272727273,0.341558441558442,0.315584415584416,0.416883116883117,0.324675324675325,0.287012987012987,0.275324675324675,0.175625918768507,0.574461104137642,0.526057652305819,0.514266822508357,0.747008309304177,0.356343759725592,0.207896635311593,0.810485001068779,0.141920878107621,0.416821064584593,0.517202542694069,0.155143470859876,0.303507458402197,0.034850061488149,0.168107241142981,0.171087359702767,0.0335083429254425,0.299154247515812,0.099744900382575,0.960741726870564,0.474027842239668,0.286327572330334,0.732845734774648,0.517202542694069,0.00269805192109331,0.0197940924898592,0.562179256543388,0.568305480207317,0.770932511383181,0.583748920768871,0.865046879007772,0.115892120530975,0.127664399673939,0.686563392729334,0.485358209205798,0.188133398305039,0.172591076285155,0.656997800586938,0.104930576153863,0.131358277982851,0.767501825584294,0.900274322997744,0.261602014587219,0.719163039421868,0.452004732146742,0.333659252857237,0.327510273881565,0.260473189700408,0.147574482514754,0.179352972540375,0.199940452904887,0.192476185194392,0.253064811966641,0.172768272641947,0.142530865818502,0.178232291224848,0.168999657824845,0.126598164581382,0.30778754666405,0.253064811966641,0.0655581692093152,0.231655795485719,0.12967786415596,0.163453540433412,0.0601006844678732,0.151005675943898,0.207141018177666,0.227063926890351
"lmktm_OC8",-0.236589497459063,0.157538114059853,0.0276679841897233,-0.163184641445511,0.0547713156408808,0.0287972896668549,0.114092068938195,-0.183102637135745,0.466486383878435,-0.42970073404856,-0.11914172783738,0.363071710897798,0.114624505928854,-0.453416149068323,-0.2343308865048,0.186900056465274,0.396950875211745,-0.111236589497459,0.600225861095426,0.390175042348955,0.503105590062112,0.387916431394692,-0.255844155844156,-0.437605872388481,-0.496329757199322,-0.390175042348955,0.204968944099379,0.0717108977978543,-0.131564088085827,-0.132693393562959,0.354385964912281,0.577639751552795,0.418407679277244,0.101072840203275,0.221908526256352,0.376623376623377,0.488424618859401,0.245623941276115,0.265951439864483,0.316770186335404,-0.278373800112931,-0.389045736871824,0.48234963798623,-0.00526711962498899,0.376218403007286,0.444507219080987,0.230075187969925,0.323308270676692,0.384962406015038,0.36855963493952,0.250877192982456,0.37593984962406,0.305263157894737,0.336842105263158,0.329323308270677,0.352897014874263,0.320300751879699,0.4,0.24812030075188,0.32781954887218,0.422556390977444,0.269172932330827,0.291729323308271,0.308270676691729,0.451127819548872,0.392481203007519,0.314285714285714,0.297744360902256,0.289112500128128,0.483815856352007,0.902723158774713,0.468076934975834,0.808713707412666,0.898772014380385,0.61316685830686,0.41471417514846,0.0286353895022849,0.0459465665819515,0.597435592715371,0.0967566804323626,0.611500213810108,0.0340614689044972,0.29387603877736,0.404932872442812,0.0673733664685236,0.622136487426624,0.00314393035358602,0.0726242978233857,0.0170000127190616,0.0744414901838869,0.262972942241723,0.0416734520372582,0.0187992960278912,0.0726242978233857,0.360170870237696,0.751145888721362,0.559478837548821,0.55608258588587,0.136573279308004,0.00487350102115695,0.0526321643625111,0.654477886922314,0.320936935318861,0.0840454234022254,0.0210892480859603,0.270541375180672,0.231578815273313,0.15090164160976,0.209678981094804,0.0735286605364414,0.0229969832142839,0.982417177527996,0.0927846207641935,0.038202427276221,0.329138246470085,0.16438973703865,0.09372546338768,0.109820410306023,0.300204061668068,0.102349046010685,0.190609387396323,0.146432943294661,0.156231051626117,0.126966155596142,0.168577043064626,0.0805538721085092,0.291522687103458,0.158243868264064,0.0634408399982087,0.251131453690791,0.212026232580548,0.186055560778102,0.0458832588000064,0.0869559424589909,0.177169667651757,0.202319986018974
