"","var","module","kTotal","kIn","MM.yellow","p.MM.yellow","MM.green","p.MM.green","MM.red","p.MM.red","MM.blue","p.MM.blue","MM.brown","p.MM.brown","MM.turquoise","p.MM.turquoise","MM.grey","p.MM.grey"
"10","mat_depriv","turquoise",11.1250160716424,10.0929816262492,0.195702752619605,0.318258991902225,0.767209532297558,1.90713102436035e-06,0.135486521044342,0.49181735500503,-0.00273710143523924,0.988971162628041,-0.541124953746797,0.00294451230745218,-0.786095532200709,7.1331109007432e-07,-0.128096347169196,0.51594846994467
"12","emp_Y15-24_ED0-2","turquoise",2.33227848000339,2.13442662450285,-0.113847837985769,0.56404686747011,-0.143404488232074,0.466610820414173,0.191023535851122,0.330194248762327,-0.412698412698413,0.0290676579538079,0.246852764094143,0.205378633069726,0.556102900930487,0.00212079261720254,0.275314723590586,0.156195513069853
"14","emp_Y15-24_ED3-4","turquoise",3.2844508522778,2.71506603829725,-0.0744389709906951,0.706576040301042,0.101258894362343,0.608158430487915,0.130815544608648,0.507002835402634,0.659551176792556,0.000134663294515822,-0.216201423097975,0.269157601115222,-0.576354679802956,0.00132726844112696,0.227148330596606,0.245061260279027
"17","emp_Y25-64_ED5-8","turquoise",3.35666061444427,3.14995512315668,0.198139025725233,0.312151500895237,-0.179529282977559,0.360650667719337,-0.253420908593322,0.193189332733615,-0.328954570333881,0.0874057167809684,0.265462506841817,0.172160096424616,0.619594964422551,0.000437962300419014,-0.305418719211823,0.113998512980937
"18","emp_TF","turquoise",6.71264428522261,6.31306106269477,-0.367816091954023,0.0541438048222378,0.0459770114942529,0.816290976156598,-0.0689655172413793,0.727307935482158,0.585112205801861,0.00107356182860667,0.288451012588944,0.136592569844145,-0.564313081554461,0.0017600902197124,-0.0788177339901478,0.690135950694166
"19","emp_TP","turquoise",15.6213384024715,15.1181912115373,-0.103995621237001,0.598446625113844,-0.476737821565408,0.0103196067717236,-0.147783251231527,0.452966896757238,-0.365626710454297,0.0557029149566696,0.561029009304871,0.00189744289416248,0.870826491516147,1.68740053069105e-09,0.105637657361795,0.592651535482401
"23","emp_Y15-24_NaceA","turquoise",7.66454816579092,7.12136380760539,0.133675213675214,0.515032388492521,0.649230769230769,0.000332591794134301,0.188376068376068,0.356747017078815,0.014017094017094,0.945816348389888,-0.432478632478632,0.0273426493763509,-0.669059829059829,0.000186111798973039,-0.216410256410256,0.288300323303222
"24","emp_Y25-64_NaceA","turquoise",7.054047284201,6.58725125722041,0.211822660098522,0.279210016521017,0.606458675424193,0.000623769387048486,0.253968253968254,0.192196643062749,0.202517788724685,0.301358464700256,-0.340448823207444,0.076271623986232,-0.683087027914614,6.18168786825764e-05,-0.0760810071154899,0.700395433055531
"25","emp_Y15-24_NaceB-E","turquoise",5.58053421107103,5.16224388736778,-0.333333333333333,0.0830273568155793,0.112753147235906,0.567824409870983,0.234811165845649,0.229068919937593,0.629994526546251,0.000327278681367859,-0.233169129720854,0.232435488586743,-0.652983032293377,0.000165383690043129,0.0831964969896004,0.673832311815545
"26","emp_Y25-64_NaceB-E","turquoise",6.78562123786768,6.16871126150419,-0.380952380952381,0.0454953194616779,0.110016420361248,0.577317754202697,0.231527093596059,0.235834930279671,0.704433497536946,2.86348865106622e-05,-0.157088122605364,0.424691011595333,-0.666119321291735,0.000109104894508813,0.178981937602627,0.362141070859508
"28","emp_Y25-64_NaceF","turquoise",2.94039360914583,2.62497316278098,-0.319649698960044,0.0972890710417014,0.0996168582375479,0.614017031714763,-0.0941434044882321,0.633712110002722,0.60207991242474,0.000699431832614189,0.264915161466886,0.17307945846809,-0.533661740558292,0.00344848837996313,-0.156540777230432,0.426326907138928
"30","emp_Y25-64_NaceG-I","turquoise",3.09932441992717,2.34118343963294,0.397372742200328,0.0362657221597982,0.67816091954023,7.31770085211129e-05,0.287903667214012,0.137371830988363,-0.145593869731801,0.459762198933894,-0.457580733442802,0.0143516422206356,-0.51559934318555,0.0049824469091601,-0.221127531472359,0.258131610055354
"32","emp_Y25-64_NaceJ","turquoise",7.11263968414667,6.73640397867381,-0.0875752599890531,0.657671577356969,-0.533661740558292,0.00344848837996313,-0.22495894909688,0.249762557418546,-0.166392993979201,0.397413942748506,0.479474548440066,0.00982987306729811,0.745484400656814,5.31330878885453e-06,0.0952380952380952,0.629752943589836
"33","emp_Y25-64_NaceK","turquoise",7.26142230724879,7.06274736390192,0.0142309797482211,0.942702597621653,-0.395730706075534,0.0371149100451141,-0.303776683087028,0.116055298219388,-0.489326765188834,0.0082249137210179,-0.0229885057471264,0.907563141022271,0.684729064039409,5.83950626954143e-05,-0.186644772851669,0.341606539893207
"35","emp_Y15-24_NaceM_N","turquoise",2.92340653613581,2.67874427159537,0.11056376573618,0.575413469383078,-0.303229337712096,0.116746952182537,-0.123700054734537,0.530572483885018,-0.409414340448823,0.0305034819531614,0.430213464696223,0.0223051360152397,0.587848932676519,0.00100346414213038,0.0207991242474001,0.916334614346521
"36","emp_Y25-64_NaceM_N","turquoise",14.549467145519,14.2760775438406,0.116584564860427,0.554653187273154,-0.425287356321839,0.0240616833887571,-0.00218938149972633,0.991178042285391,-0.493705528188287,0.00758586971620803,0.298303229337712,0.12310947239451,0.887794198139026,2.98879227996192e-10,0.222222222222222,0.255722017118736
"37","emp_Y15-24_NaceO-Q","turquoise",6.10186514139795,5.92322859769852,-0.253420908593322,0.193189332733615,-0.395183360700602,0.0374014845058281,-0.104542966611932,0.596512241041131,-0.112205801860974,0.569717442778548,0.322386425834702,0.0942989237882981,0.695675971538041,3.95746177619875e-05,0.0826491516146688,0.675862582300653
"38","emp_Y25-64_NaceO-Q","turquoise",11.2440601730356,10.7953451191984,0.0175150519978106,0.929509503111813,-0.565407772304324,0.00171625727080225,-0.311986863711002,0.106040735031027,-0.359605911330049,0.0601722466089982,0.430760810071155,0.0221166132166226,0.819376026272578,9.69527262294146e-08,0.0760810071154899,0.700395433055531
"39","emp_Y15-24_NaceR-U","turquoise",2.6072967141165,2.38555236322194,0.420908593322386,0.0257162496844603,-0.0202517788724685,0.918529021079113,0.0164203612479475,0.933905345911474,-0.497536945812808,0.00706154005976353,-0.00437876299945265,0.982357099400274,0.532567049808429,0.00352828223926709,-0.0279146141215107,0.887867578440895
"40","emp_Y25-64_NaceR-U","turquoise",5.50523865887575,4.94327916449045,0.266009852216749,0.171244176965348,-0.0996168582375479,0.614017031714763,0.0859332238642583,0.663714703661262,-0.710454296661193,2.27703179676682e-05,0.00437876299945265,0.982357099400274,0.662287903667214,0.000123432968224227,-0.0952380952380952,0.629752943589836
"43","GDP","turquoise",19.3640235909441,18.873635363632,-0.0774599706172704,0.695219391253085,-0.656356924170369,0.000148907158530201,-0.220884085823806,0.258669479986538,-0.280826607255546,0.147739636524982,0.401259070406072,0.0343178568392242,0.91035993736057,1.84051261878613e-11,0.0621322025799307,0.753455090713919
"44","GVAgr","turquoise",0.331544788238243,0.197515501266682,-0.405311898390471,0.0444295617261047,-0.0688991736105359,0.743480225033591,-0.347960072312427,0.0882946437044638,0.219399603117349,0.292000559723255,0.152040075844479,0.468135933575654,-0.0658198809352047,0.754592293770146,-0.252117087792743,0.224058275483932
"45","disp_income","turquoise",14.2688927691924,13.970564209088,-0.00615595111240056,0.976190081601326,-0.560875545796496,0.00287604313366772,-0.0208618343253575,0.919428233041234,-0.317373479572651,0.114138197315973,0.326949403525274,0.103039405405109,0.823529459925586,2.37156248062316e-07,0.170656644727105,0.40454861154042
"46","training","turquoise",7.79837460855769,7.04062888184488,-0.0432521231645449,0.827011445252355,-0.646865614163416,0.000199405387660067,-0.0227210520421344,0.908634111585493,-0.228305510881206,0.242600183836662,0.616753376517214,0.00047340863398806,0.753627183999951,3.6633393918699e-06,0.236244191715204,0.226157686038363
"47","earn_OC1_NaceB-F","turquoise",17.1887242717733,17.0511000761908,0.0229059829059829,0.911562385850904,-0.50017094017094,0.00926580433483659,0.0837606837606838,0.684148710645991,-0.243760683760684,0.230132874859355,0.0666666666666667,0.746258708488373,0.861196581196581,1.63255926817338e-08,0.361367521367521,0.0697002956459421
"48","earn_OC2_NaceB-F","turquoise",20.4358000312911,20.2299363070165,-0.0382971453708018,0.852647353181709,-0.561805445037745,0.00282008799870849,-0.0478714317135023,0.816363092337117,-0.283809202301478,0.160002658448697,0.2143956263169,0.292921524796142,0.923234754474687,1.85999867162549e-11,0.216789197902575,0.287436269048422
"49","earn_OC3_NaceB-F","turquoise",22.5018846258446,22.3086210872819,0.0362455125830803,0.860463274205928,-0.539579423170762,0.00444308677224226,-0.109078476547195,0.595816466605113,-0.296802876623714,0.140916479756478,0.228073178235043,0.262456789178242,0.951615674704835,8.47836385955915e-14,0.179517868925634,0.380211760584079
"50","earn_OC4_NaceB-F","turquoise",22.0190964063896,21.7622426565712,-0.0126517355242827,0.951087670364548,-0.59189605925766,0.0014463470541816,-0.0892460262658864,0.664612744185372,-0.244828179334769,0.228034307662597,0.242434607749094,0.232757623971141,0.942725265958042,6.12846350525934e-13,0.247563689718398,0.222714998444522
"51","earn_OC5_NaceB-F","turquoise",20.0627340064248,19.8081131914143,0.232307692307692,0.263804004977712,-0.498461538461538,0.0112095691751481,-0.124615384615385,0.552847418486324,-0.451538461538462,0.0234650422520438,0.208461538461538,0.317316616236348,0.926153846153846,3.21034995279825e-11,0.282307692307692,0.171539167471999
"52","earn_OC7_NaceB-F","turquoise",22.3701741869538,22.0751782113212,0.0304273504273504,0.882695540485209,-0.603418803418803,0.00110057800701112,-0.113162393162393,0.582036773695964,-0.254017094017094,0.21049743394195,0.293675213675214,0.145353141394788,0.948034188034188,1.96063280791611e-13,0.24034188034188,0.236940118240925
"53","earn_OC8_NaceB-F","turquoise",21.2578966415741,20.9871636128833,0.102222222222222,0.619257243144128,-0.607521367521367,0.000996059296940438,-0.143247863247863,0.485105886033067,-0.254017094017094,0.21049743394195,0.254017094017094,0.21049743394195,0.924786324786325,1.46769528610572e-11,0.217094017094017,0.286742414934676
"54","earn_OC9_NaceB-F","turquoise",21.9090982815854,21.6786793645092,0.0618803418803419,0.763949236874606,-0.56034188034188,0.00290858134508211,-0.0871794871794872,0.671948516367673,-0.278632478632479,0.168093627927005,0.263589743589744,0.193224074279977,0.947350427350427,2.28548995152668e-13,0.241025641025641,0.235568134693372
"55","earn_OC1_NaceG-N","turquoise",16.3344409339275,16.1900787344729,0.0153846153846154,0.940538900885827,-0.513846153846154,0.00724949944635132,0.0652991452991453,0.751300817623244,-0.279316239316239,0.1670087887265,0.0618803418803419,0.763949236874606,0.87008547008547,7.74040160427761e-09,0.279316239316239,0.1670087887265
"56","earn_OC2_NaceG-N","turquoise",21.035987710888,20.8810780835434,0.0475376224790932,0.817622415915296,-0.514705912453492,0.00713614397210339,-0.0824213454493631,0.688949534350594,-0.310875531176228,0.122155371737681,0.187414511644195,0.359251914723458,0.93331058809673,3.62365541469609e-12,0.189124498064306,0.354804471840376
"57","earn_OC3_NaceG-N","turquoise",22.0764956019603,21.9150723368021,0.124786324786325,0.543601254266111,-0.498119658119658,0.00960517268653429,-0.0611965811965812,0.766486125361291,-0.352478632478632,0.0773816791734533,0.151452991452991,0.460175644372261,0.958290598290598,1.47799707078823e-14,0.194529914529915,0.340961092079484
"58","earn_OC4_NaceG-N","turquoise",22.8748371817734,22.6711436872519,0.0345299145299145,0.867008901142989,-0.53982905982906,0.0044212066989926,-0.120683760683761,0.557030833241999,-0.316239316239316,0.115508833826502,0.208888888888889,0.30578895752716,0.963760683760684,2.8138051917659e-15,0.170598290598291,0.404711708782613
"59","earn_OC5_NaceG-N","turquoise",21.9892650339703,21.7575389732248,0.107368782557427,0.601626218768674,-0.566934527007048,0.00252786058344534,-0.118310824091941,0.564866911823893,-0.336809715984284,0.0924713575211408,0.212002054731224,0.298472076476813,0.945118837543717,3.71777486008503e-13,0.248931444910212,0.220086770769618
"60","earn_OC7_NaceG-N","turquoise",21.7601522149034,21.5228661578806,0.0495726495726496,0.809952058766514,-0.55008547008547,0.00359779471088643,-0.140512820512821,0.493565262171636,-0.327179487179487,0.102782998768345,0.264957264957265,0.190838519614124,0.95008547008547,1.2221719656503e-13,0.169230769230769,0.408544395418459
"61","earn_OC8_NaceG-N","turquoise",19.8561518098893,19.6363308347403,0.137777777777778,0.502097915892155,-0.487863247863248,0.0114613391726201,-0.118632478632479,0.56380182098405,-0.342905982905983,0.086358108404493,0.308717948717949,0.124906322508077,0.944615384615384,4.13748088878862e-13,0.105641025641026,0.607521512931494
"62","earn_OC9_NaceG-N","turquoise",22.3917770594379,22.1773684487692,0.124786324786325,0.543601254266111,-0.556239316239316,0.00316937253498261,-0.133675213675214,0.515032388492521,-0.347008547008547,0.0824194282294293,0.16991452991453,0.406625530227893,0.957606837606838,1.79011217050998e-14,0.187692307692308,0.358527183742972
"63","earn_OC1_NaceP-S","turquoise",15.8446485361062,15.7217897144707,0.134358974358974,0.512865456816894,-0.414700854700855,0.0351625175940218,-0.0666666666666667,0.746258708488373,-0.40991452991453,0.0375472074964574,-0.0201709401709402,0.922088487307257,0.840683760683761,7.6358313650843e-08,0.134358974358974,0.512865456816894
"64","earn_OC2_NaceP-S","turquoise",17.1294750279639,16.9643343392908,0.15965811965812,0.435933242056661,-0.370940170940171,0.0620977032096879,-0.152136752136752,0.458128900537106,-0.472136752136752,0.0148788372645639,0.000341880341880342,0.998677495887421,0.885811965811966,1.79027620894579e-09,0.0133333333333333,0.948455920588356
"65","earn_OC3_NaceP-S","turquoise",20.2645249867365,20.0228986165657,0.0605128205128205,0.769025359076837,-0.561025641025641,0.00286694781014971,-0.212307692307692,0.29775968544178,-0.383247863247863,0.0532849932749593,0.148717948717949,0.468410284768645,0.927521367521367,9.54604434683641e-12,0.0194871794871795,0.924722078059223
"66","earn_OC4_NaceP-S","turquoise",21.3233040971483,21.0825738158095,0.0311111111111111,0.88007794786367,-0.543931623931624,0.00407449106044552,-0.221196581196581,0.277506898198166,-0.373675213675214,0.0600480696679733,0.186324786324786,0.362103163748297,0.941880341880342,7.27378682846278e-13,0.0885470085470085,0.66709078570047
"67","earn_OC5_NaceP-S","turquoise",22.7335376604541,22.4444529006868,0.0905982905982906,0.659828665514664,-0.600683760683761,0.00117540777638557,-0.201367521367521,0.323921168207974,-0.372307692307692,0.0610662234527916,0.204102564102564,0.317253318457091,0.962393162393162,4.35784342219276e-15,0.152820512820513,0.456086946152314
"68","earn_OC9_NaceP-S","turquoise",22.5271093439496,22.3006454605804,0.142564102564103,0.487213814015581,-0.539145299145299,0.00448135521632331,-0.191111111111111,0.349678622861284,-0.398974358974359,0.0434820375524984,0.180854700854701,0.376614906433645,0.967863247863248,6.79734917109856e-16,0.158974358974359,0.437926701828534
"5","pop_Y65-74","grey",0.139470732683491,0,-0.0306513409961686,0.876952940145765,-0.101258894362343,0.608158430487915,0.324575807334428,0.0919571279899202,0.12096332785988,0.539774878051074,0.303776683087028,0.116055298219388,0.0454296661193213,0.818441855117011,0.81992337164751,9.3510917715518e-08
"31","emp_Y15-24_NaceJ","grey",0.157509934430875,0,-0.0823076923076923,0.69569817753195,0.141538461538462,0.499757638691481,-0.129230769230769,0.538116551492184,0.0138461538461538,0.947625164576606,0.340769230769231,0.0955270606558351,-0.0376923076923077,0.858034946173457,-0.408461538461538,0.042647082445132
