"var","module","VS","p.VS"
"earn_OC3_NaceP-S","turquoise",0.775704414008272,3.58997276350692e-11
"earn_OC4_NaceP-S","turquoise",0.732274412220893,9.15254871891591e-10
"ARPR_socexcl","green",0.719702408120402,2.28082441822153e-10
"earn_OC5_NaceP-S","turquoise",0.702475923516931,7.41589212260862e-09
"earn_OC9_NaceP-S","turquoise",0.699898952751595,8.84247974841657e-09
"earn_OC8_NaceB-F","turquoise",0.691353791602947,1.57570161363196e-08
"earn_OC2_NaceP-S","turquoise",0.691039371453218,1.60928604886479e-08
"mat_depriv","turquoise",0.677298932517046,5.87080906111481e-09
"earn_OC7_NaceG-N","turquoise",0.677138499885689,4.04030447986869e-08
"earn_OC7_NaceB-F","turquoise",0.666257847627971,8.17107947970186e-08
"earn_OC5_NaceB-F","turquoise",0.651772233049498,4.27220269272333e-07
"earn_OC9_NaceB-F","turquoise",0.639957667009401,4.22578341763291e-07
"emp_TP","turquoise",0.638049440577353,9.52872760695556e-08
"earn_OC8_NaceG-N","turquoise",0.63536713324232,5.58119424787229e-07
"earn_OC3_NaceB-F","turquoise",0.633933949339097,6.0844218252587e-07
"earn_OC9_NaceG-N","turquoise",0.633157879806238,6.37493810407008e-07
"earn_OC5_NaceG-N","turquoise",0.625598897974827,1.00025061655629e-06
"emp_Y25-64_NaceG-I","turquoise",0.620832065405724,3.02546107722179e-07
"earn_OC4_NaceG-N","turquoise",0.617222252788062,1.63441613787452e-06
"earn_OC2_NaceG-N","turquoise",0.616622999180286,1.69229326119069e-06
"emp_Y15-24","brown",0.60725478072416,7.30862208087046e-07
"emp_Y25-64_NaceK","turquoise",0.604551746335611,8.68480021565254e-07
"emp_Y25-64_NaceM_N","turquoise",0.600403633630386,1.12947435493282e-06
"training","turquoise",0.597682392171255,1.34020295183834e-06
"earn_OC4_NaceB-F","turquoise",0.590269242941444,7.48468219624598e-06
"earn_OC3_NaceG-N","turquoise",0.584836163935784,1.00617005552861e-05
"emp_Y25-64_NaceB-E","turquoise",0.583994591143891,3.11906188188438e-06
"earn_OC2_NaceB-F","turquoise",0.582211518057991,1.15925617852897e-05
"pop_Total","turquoise",0.568983789550184,7.64118785911982e-06
"earn_OC1_NaceB-F","turquoise",0.568282177305814,2.42330224919929e-05
"rooms_pp","turquoise",0.567727551111635,8.2243243921809e-06
"earn_OC1_NaceP-S","turquoise",0.56759584715837,2.5113983227798e-05
"emp_Y25-64","brown",0.563040940845252,1.07993747374691e-05
"ARPR","green",0.562322691762444,1.12566452646901e-05
"emp_Y25-64_NaceO-Q","turquoise",0.544293552859555,3.11215416710642e-05
"pop_Y25-64","turquoise",0.539720642750567,3.99835653949188e-05
"earn_OC1_NaceG-N","turquoise",0.534954187580122,0.000128232332852751
"emp_Y15-24_NaceM_N","turquoise",0.534730978653439,5.2376546133881e-05
"low_work","turquoise",0.532171141453982,6.00745810971359e-05
"GVAgr","turquoise",0.524709008050195,0.000364850767254121
"emp_Y25-64_NaceA","turquoise",0.524038784477391,9.22946337226227e-05
"emp_Y15-24_NaceB-E","turquoise",0.521087204973922,0.000107606410257532
"emp_Y25-64_NaceR-U","turquoise",0.511947080816359,0.000171714539459078
"emp_TF","turquoise",0.510643287409934,0.000183371703181168
"emp_Y25-64_NaceJ","turquoise",0.485037410633612,0.000633616331461528
"emp_Y15-24_NaceO-Q","turquoise",0.483646332361871,0.000675914752777729
"pop_YGE75","red",0.472778224226347,0.00110896931572313
"emp_Y15-24_NaceA","turquoise",0.462305804846921,0.0025853327319908
"emp_Y15-24_NaceR-U","turquoise",0.454040832617076,0.00249980239093506
"pop_Y15-24","red",0.453411412914854,0.00256667914591691
"emp_Y25-64_ED5-8","turquoise",0.445436382135083,0.00356810054160761
"emp_Y25-64_ED3-4","blue",0.436955451010597,0.0050126408423502
"unemp_Y15-24","yellow",0.432089922956036,0.00606256244590286
"pop_Y0-14","turquoise",0.428401837426732,0.00698608610681761
"emp_Y25-64_NaceF","turquoise",0.427932115847184,0.00711234832387608
"pop_Y65-74","grey",0.426731833196141,0.00744433083664731
"emp_Y15-24_NaceG-I","yellow",0.410807620466595,0.0133590561562502
"emp_Y15-24_ED3-4","turquoise",0.410503078122868,0.0135042554064446
"emp_Y15-24_ED5-8","blue",0.395202103510404,0.0228298007906121
"unemp_YGE25","yellow",0.39195552792544,0.0254039616010123
"emp_Y15-24_ED0-2","turquoise",0.365295074706868,0.0574787482152153
"emp_Y25-64_NaceL","brown",0.364980811413591,0.0579969963590325
"emp_YGE65","brown",0.356159210975163,0.0741556091335707
"emp_Y25-64_ED0-2","blue",0.318241979372221,0.186100692882771
"emp_Y15-24_NaceJ","grey",0.315634994750215,0.222630281975699
"emp_Y15-24_NaceF","blue",0.256765530287243,0.519795593939534
"disp_income","turquoise",0.0805151328043182,0.999478486740839
"GDP","turquoise",0,1
