"","MEyellow","MEgreen","MEred","MEblue","MEbrown","MEturquoise","MEgrey"
"MEyellow",1,0.214012041598248,0.0914066776135742,-0.487137383689108,-0.272577996715928,0.0459770114942529,0.0372194854953476
"MEgreen",0.214012041598248,1,0.436781609195402,-0.16256157635468,-0.414340448823207,-0.523809523809524,-0.139025725232622
"MEred",0.0914066776135742,0.436781609195402,1,-0.0060207991242474,-0.216201423097975,-0.146141215106732,0.425834701696771
"MEblue",-0.487137383689108,-0.16256157635468,-0.0060207991242474,1,0.123152709359606,-0.425834701696771,0.133552271483306
"MEbrown",-0.272577996715928,-0.414340448823207,-0.216201423097975,0.123152709359606,1,0.31472359058566,0.114942528735632
"MEturquoise",0.0459770114942529,-0.523809523809524,-0.146141215106732,-0.425834701696771,0.31472359058566,1,0.120415982484948
"MEgrey",0.0372194854953476,-0.139025725232622,0.425834701696771,0.133552271483306,0.114942528735632,0.120415982484948,1
