"module","eigenvar","p.eigenvar","meanVarTS","p.meanVarTS"
"turquoise",0.482778091473744,0.00926479114296898,0.312657787427681,6.42434475617293e-08
"blue",0.385657820440429,0.0426786006161275,0.355031683292553,0.020137854599857
"brown",0.328063241106719,0.0883180371507612,0.324901185770751,0.0679971206551025
"green",0.0536420101637493,0.786313577458239,0.0154445801034337,0.887517765481837
"yellow",0.0536420101637493,0.786313577458239,0.00603122947947431,0.813671282730433
"grey",0.0152456239412761,0.938624730929508,-0.109792597187249,0.797226529412002
"red",-0.239977413890457,0.218690556181373,-0.261998870694523,0.247943074865038
"black",-0.355166572557877,0.063643077761572,-0.318464144551101,0.137483924856254
