"size","max_diss","av_diss","diameter","separation"
4,2.76815595799467,1.86124488066698,4.32865749807778,2.68412054720431
4,2.58768433139436,1.89162626536541,3.71965201465166,2.50084535361674
3,2.09481843393747,1.38599477715795,2.26245704788385,2.28813384884985
3,2.4316462314614,1.50927852924019,2.56846448993455,3.21791010596121
4,3.16224331727591,1.97843820504949,3.16224331727591,2.68412054720431
4,2.87043500070268,1.80439115182757,3.31184078768073,2.28813384884985
2,2.94674615221256,1.47337307610628,2.94674615221256,3.53463080765148
2,3.19121591684678,1.59560795842339,3.19121591684678,3.08470188172483
1,0,0,0,3.74165758823806
1,0,0,0,4.73234114062403
