"","cluster","neighbor","sil_width"
"MT",1,6,0.260236970528542
"CY",1,6,0.191243836172555
"BE",1,4,0.120779425674241
"AT",1,5,-0.101735906449268
"BG",2,7,0.415484698033331
"RO",2,6,0.333570210330255
"LV",2,6,0.159236620534632
"HU",2,6,0.12414401452371
"CZ",3,6,0.462417224831247
"SK",3,6,0.339689776729028
"SI",3,6,0.20695161687033
"DE",4,8,0.433352882767371
"UK",4,1,0.383306494741629
"FR",4,5,0.340738088383852
"DK",5,4,0.382618166042315
"SE",5,4,0.362280596552145
"FI",5,1,0.231229565187427
"NL",5,1,0.174892865821163
"EE",6,3,0.242417528141956
"LT",6,3,0.204595647671296
"PT",6,8,0.0490072768432634
"PL",6,3,-0.0699795520074965
"EL",7,8,0.378452697297284
"HR",7,6,0.297099056496372
"ES",8,6,0.293863801140767
"IT",8,4,0.0662137048438864
"IE",9,1,0
"LU",10,5,0
