"size","max_diss","av_diss","diameter","separation"
4,2.750598312389,1.83761195096437,4.32444805579671,2.65950784333882
4,2.55997074732147,1.880960091649,3.73587010009206,2.49401914872522
3,2.09688213797378,1.38147042269942,2.28290919307155,2.30675170347984
3,2.41282844651342,1.48917879520985,2.56208706036356,3.1900204308514
4,3.18451034725862,1.98340940536547,3.18451034725862,2.65950784333882
4,2.89209864411633,1.81052824053528,3.35344229163898,2.30675170347984
2,3.00124738634156,1.50062369317078,3.00124738634156,3.53098718598181
2,3.27145578306498,1.63572789153249,3.27145578306498,3.10339504547995
1,0,0,0,3.75155880747228
1,0,0,0,4.67807361468306
