"","estimate","se","zval","pval"
"(Intercept)/2",-82.1235358641641,738.46348350043,-0.111208661902801,0.911450883036751
"(Intercept)/3",14.3958535272496,9.2452561883758,1.55710704321528,0.119445073108646
"(Intercept)/4",22.0824862571611,12.6241662515964,1.74922334014484,0.080252421089728
"(Intercept)/5",41.8373002182611,16.3126597964621,2.56471358688758,0.0103261003513074
"(Intercept)/6",8.10454374681384,12.439167025382,0.651534281216465,0.514701655170242
"(Intercept)/7",26.4520112362233,10.5175454036776,2.51503656233079,0.011902003999236
"(Intercept)/8",3.89927597133426,11.192957590825,0.348368689838558,0.727563313456673
"(Intercept)/9",39.6652598794747,69.0019823523406,0.574842323760126,0.565397939832726
"(Intercept)/10",8.71276460310655,10.986622789571,0.793033925891868,0.427758057059842
"(Intercept)/11",-79.3077984237306,224.271557842184,-0.353623969025702,0.723620708909221
"(Intercept)/12",43.8062012445996,16.9946289161017,2.5776497657501,0.00994747644078317
"(Intercept)/13",5.5798632911545,36.2900764704392,0.15375727564806,0.87780112224375
"(Intercept)/14",-2.17016427410417,111.11780401442,-0.0195303020371294,0.984418064119694
"(Intercept)/16",-73.4487067415686,494.337135095672,-0.148580192599437,0.881884903520213
"(Intercept)/17",-111.50040169632,61.9876026979477,-1.79875324812346,0.0720577217509683
"(Intercept)/18",-34.9457885542894,74.1149589296838,-0.471507898796031,0.63727808036213
"(Intercept)/19",-67.9936323375893,143.312709034572,-0.474442446839708,0.635184430130995
"(Intercept)/20",87.6119000623821,37.8920796529183,2.31214282417024,0.0207698138814885
"emp_Y25_64_ED0_2/2",138.658186300047,1694.96289771842,0.0818060303778294,0.934800960602209
"emp_Y25_64_ED0_2/3",51.5687957238557,41.813572365929,1.23330279633977,0.217462815001495
"emp_Y25_64_ED0_2/4",49.758174852447,47.1392680190234,1.0555567988957,0.291170746935941
"emp_Y25_64_ED0_2/5",41.8667449172407,47.6718823391581,0.878227224580368,0.379820420524732
"emp_Y25_64_ED0_2/6",79.6052901727788,44.4200684294767,1.79210192571323,0.0731166404897494
"emp_Y25_64_ED0_2/7",72.7798064280025,43.6204129201725,1.66848045572593,0.0952203885401146
"emp_Y25_64_ED0_2/8",-101.613184185993,106.600758183344,-0.953212584203459,0.340482371626401
"emp_Y25_64_ED0_2/9",-355.173412200293,570.066281063975,-0.623038800922229,0.533259024450513
"emp_Y25_64_ED0_2/10",82.4179155159906,46.4882387202606,1.77287670569613,0.0762491393892478
"emp_Y25_64_ED0_2/11",-1.73234315815326,1166.10246786255,-0.00148558399102664,0.998814675905778
"emp_Y25_64_ED0_2/12",68.8976212870149,50.4795344368734,1.36486245476717,0.172296284694932
"emp_Y25_64_ED0_2/13",82.4365959995698,63.0416119408322,1.30765368241124,0.190990800007675
"emp_Y25_64_ED0_2/14",-3.79363549064178,551.042371734174,-0.00688447147667231,0.994507029890264
"emp_Y25_64_ED0_2/16",36.5131728402138,1483.02095005024,0.0246208071699708,0.980357422607788
"emp_Y25_64_ED0_2/17",-23.6439451722262,7.91452488699422,-2.98741181685837,0.0028135044877427
"emp_Y25_64_ED0_2/18",114.910981352365,137.272094573639,0.837103722422782,0.402534268215701
"emp_Y25_64_ED0_2/19",154.963681306839,175.940145964699,0.880774995707522,0.378439615895524
"emp_Y25_64_ED0_2/20",-250.693827585103,214.689403384759,-1.1677047103057,0.242925896157599
"emp_YGE65/2",-55.0557692393032,733.504718603959,-0.07505850725008,0.940168161073592
"emp_YGE65/3",51.4289963190559,88.9750378258041,0.578016009610964,0.563253310533792
"emp_YGE65/4",-184.782757202379,284.871611834512,-0.648652759790342,0.516562845197092
"emp_YGE65/5",169.136924678165,110.846492596096,1.52586627431207,0.127043171351347
"emp_YGE65/6",205.67105082033,103.922788444181,1.97907556080253,0.0478074995900472
"emp_YGE65/7",120.478378776086,100.839049612649,1.19475916560972,0.232181138727783
"emp_YGE65/8",140.809307486101,128.151772767797,1.09876987610026,0.271868454880684
"emp_YGE65/9",-151.901712885558,700.701788089493,-0.216785108112437,0.82837581800033
"emp_YGE65/10",39.6717575421054,96.7491007175297,0.410047816960405,0.681770871120035
"emp_YGE65/11",92.3563950813997,1339.61990113075,0.0689422387674619,0.945035596809008
"emp_YGE65/12",-23.3600345651708,198.784223709889,-0.117514529720744,0.906452330766877
"emp_YGE65/13",-150.803148147552,304.725686727749,-0.494881641803579,0.62068367015582
"emp_YGE65/14",-296.983460317433,661.692705910413,-0.448823838716519,0.653558740561236
"emp_YGE65/16",42.7431565578845,1081.32321065203,0.0395285666087856,0.968468978449284
"emp_YGE65/17",-33.9226773793373,3.30628330314393,-10.2600637238437,1.06636346388376e-24
"emp_YGE65/18",-34.7468483103832,198.71082075415,-0.174861379861004,0.861188557068497
"emp_YGE65/19",128.638243670633,173.093731383666,0.743171012851434,0.457378150649232
"emp_YGE65/20",-21.3692678321939,251.565730420508,-0.0849450670267122,0.932305062933102
"GDP/2",177.54896555047,1078.37911650812,0.164644291448621,0.869223967381392
"GDP/3",-86.7472420670494,50.5173233402788,-1.71717811497514,0.0859466329521877
"GDP/4",-111.326638665435,64.5770879497516,-1.72393401746545,0.0847197554166951
"GDP/5",-263.818231944406,98.2788451379179,-2.68438473787702,0.00726634336500499
