Sets to variables test for over-representation
76 variables tested, 13 have p < 0.05 
Selected set size: 2 
    Universe size: 98 
                 vars       pval      adjp odds       exp obs size
1    emp_Y15-24_NaceF 0.02861351 0.2336986  Inf 0.3469388   2   17
2    emp_Y25-64_NaceL 0.02861351 0.2336986  Inf 0.3469388   2   17
3  emp_Y15-24_NaceM_N 0.02861351 0.2336986  Inf 0.3469388   2   17
4    emp_Y15-24_ED3-4 0.03597728 0.2336986  Inf 0.3877551   2   19
5  emp_Y15-24_NaceB-E 0.03597728 0.2336986  Inf 0.3877551   2   19
6  emp_Y15-24_NaceG-I 0.03597728 0.2336986  Inf 0.3877551   2   19
7          pop_Y15-24 0.03997475 0.2336986  Inf 0.4081633   2   20
8    emp_Y25-64_ED3-4 0.03997475 0.2336986  Inf 0.4081633   2   20
9              emp_FT 0.03997475 0.2336986  Inf 0.4081633   2   20
10         emp_Y15-24 0.03997475 0.2336986  Inf 0.4081633   2   20
11         emp_Y25-64 0.03997475 0.2336986  Inf 0.4081633   2   20
12          emp_YGE65 0.03997475 0.2336986  Inf 0.4081633   2   20
13   emp_Y25-64_NaceF 0.03997475 0.2336986  Inf 0.4081633   2   20
