"","mean","n","stdev"
"pop_Total",3610926,12,1310234.29132989
"pop_Y0-14",14.7866724490863,12,0.989744864451864
"pop_Y15-24",11.4660292668575,12,0.897945433893478
"pop_Y25-64",55.9219168637682,12,1.4014491029388
"pop_Y65-74",9.75385967227627,12,0.912976977917758
"pop_YGE75",8.07152174801173,12,0.684303230855718
"ARPR",20.7555555555556,9,7.66894893566112
"low_work",10.1555555555556,9,2.89702912960463
"rooms_pp",1.1,9,0.1
"mat_depriv",26.6333333333333,9,5.12445119012758
"ARPR_socexcl",37.1111111111111,9,7.2745179298089
"emp_Y15-24_ED0-2",19.9569352182509,12,11.049555821893
"emp_Y25-64_ED0-2",13.3783315384568,12,7.37542314042787
"emp_Y15-24_ED3-4",66.533887414445,12,8.23107944657576
"emp_Y25-64_ED3-4",57.79623160166,12,4.82245251589623
"emp_Y15-24_ED5-8",14.1524561278475,11,5.80660964333142
"emp_Y25-64_ED5-8",28.8124364541429,12,10.068501747843
"emp_TF",51.6944639564167,12,3.27343933973954
"emp_TP",4.14353511205548,12,2.25464207338892
"emp_Y15-24",23.8925085359213,12,4.5916913682565
"emp_Y25-64",70.0878987025143,12,3.79500782555798
"emp_YGE65",6.60229775078457,12,4.48317454174755
"emp_Y15-24_NaceA",18.955022461834,11,19.4301764475719
"emp_Y25-64_NaceA",12.1263451510489,12,10.7368688075509
"emp_Y15-24_NaceB-E",20.648348773546,12,7.78974963832912
"emp_Y25-64_NaceB-E",22.1951125852017,12,5.66004680141583
"emp_Y15-24_NaceF",7.70172120065573,11,1.54479767103937
"emp_Y25-64_NaceF",7.44657850296154,12,1.33227884458956
"emp_Y15-24_NaceG-I",30.9982585030252,12,10.4918213790933
"emp_Y25-64_NaceG-I",24.0841020183802,12,3.77679233899718
"emp_Y15-24_NaceJ",4.51594469756643,3,1.07650417197169
"emp_Y25-64_NaceJ",2.31092423170165,12,1.50151714974105
"emp_Y15-24_NaceK",NA,0,NA
"emp_Y25-64_NaceK",1.81237433207691,12,0.961102514414903
"emp_Y15-24_NaceL",NA,0,NA
"emp_Y25-64_NaceL",0.87546638759972,9,0.717285744215396
"emp_Y15-24_NaceM_N",7.42843287959695,8,2.46924460448855
"emp_Y25-64_NaceM_N",6.2485819899933,12,2.73653233941588
"emp_Y15-24_NaceO-Q",13.8643949066673,6,5.25888786985176
"emp_Y25-64_NaceO-Q",19.5561308566187,12,5.0372691018208
"emp_Y15-24_NaceR-U",5.56864265440247,8,1.2953498511745
"emp_Y25-64_NaceR-U",3.43062321059166,12,1.05025751560308
"unemp_Y15-24",6.41263321492676,12,1.4322876411803
"unemp_YGE25",4.93038026611829,12,1.69190671999095
"GDP",16925,12,5574.80126021629
"GVAgr",2.4,3,0.519615242270663
"disp_income",8600,11,1421.97046382828
"training",3.51666666666667,12,2.97866148503388
