"","LR Chisq","Df","Pr(>Chisq)"
"emp_Y25_64_ED0_2",64.831645048985,18,3.31398423320978e-07
"emp_YGE65",63.2585066053465,18,6.02320704715945e-07
"GDP",87.6131638247567,18,3.86258842269969e-11
"training",89.974455294291,18,1.45929790105143e-11
