Sets to variables test for over-representation
76 variables tested, 27 have p < 0.05 
Selected set size: 3 
    Universe size: 98 
                 vars        pval       adjp     odds       exp obs size
1        earn_OC6_B-F 0.004470861 0.03909296      Inf 0.5204082   3   17
2  emp_Y15-24_NaceO-Q 0.005365033 0.03909296      Inf 0.5510204   3   18
3    emp_Y15-24_ED0-2 0.006370976 0.03909296      Inf 0.5816327   3   19
4  emp_Y15-24_NaceB-E 0.006370976 0.03909296      Inf 0.5816327   3   19
5         disp_income 0.006370976 0.03909296      Inf 0.5816327   3   19
6           pop_Total 0.007495266 0.03909296      Inf 0.6122449   3   20
7    emp_Y25-64_ED3-4 0.007495266 0.03909296      Inf 0.6122449   3   20
8              emp_PT 0.007495266 0.03909296      Inf 0.6122449   3   20
9  emp_Y25-64_NaceB-E 0.007495266 0.03909296      Inf 0.6122449   3   20
10                GDP 0.007495266 0.03909296      Inf 0.6122449   3   20
11       earn_OC2_B-F 0.007495266 0.03909296      Inf 0.6122449   3   20
12       earn_OC3_B-F 0.007495266 0.03909296      Inf 0.6122449   3   20
13       earn_OC4_B-F 0.007495266 0.03909296      Inf 0.6122449   3   20
14       earn_OC1_G-N 0.007495266 0.03909296      Inf 0.6122449   3   20
15       earn_OC1_B-F 0.008744477 0.03909296      Inf 0.6428571   3   21
16       earn_OC2_G-N 0.008744477 0.03909296      Inf 0.6428571   3   21
17       earn_OC4_G-N 0.008744477 0.03909296      Inf 0.6428571   3   21
18       earn_OC3_G-N 0.010125184 0.04050074      Inf 0.6734694   3   22
19       earn_OC3_P-S 0.010125184 0.04050074      Inf 0.6734694   3   22
20       earn_OC8_B-F 0.013307385 0.04597097      Inf 0.7346939   3   24
21       earn_OC1_P-S 0.013307385 0.04597097      Inf 0.7346939   3   24
22       earn_OC6_P-S 0.013307385 0.04597097      Inf 0.7346939   3   24
23   emp_Y15-24_NaceK 0.016936672 0.05196718 29.66667 0.2448980   2    8
24       earn_OC7_G-N 0.017094467 0.05196718      Inf 0.7959184   3   26
25       earn_OC2_P-S 0.017094467 0.05196718      Inf 0.7959184   3   26
26       earn_OC9_P-S 0.029553703 0.08638775      Inf 0.9489796   3   31
27   emp_Y15-24_NaceJ 0.032545235 0.09160881 19.11111 0.3367347   2   11
