"","Cluster","Prob(1)","Prob(2)","Prob(3)","Prob(4)","Prob(5)","Prob(6)","Prob(7)","Prob(8)","Prob(9)","Prob(10)","Prob(13)","Prob(14)","Prob(15)","Prob(16)","Prob(17)","Prob(18)","Prob(19)","Prob(21)","Prob(22)"
"DEC",3,1.34735595856485e-07,1.05612140196179e-30,0.42750979031577,7.38088428325714e-05,0.00353536244921637,6.47909239749239e-15,0.541777573308149,3.59113830925405e-09,0.0271033267572908,6.40531638891938e-45,5.78231688713925e-50,1.50220264346428e-25,4.53960015678559e-16,2.38094690976671e-52,5.34483137434262e-28,2.19809193207996e-23,2.91374267919106e-66,2.59876897206342e-17,3.19370757748441e-63
"DED",8,8.07692566270142e-16,5.59561230627223e-44,1.30931065843895e-11,1.29898685553946e-16,2.15287532185864e-18,1.65151373016201e-07,9.82376356484859e-13,0.999999834834513,3.80410473076315e-14,3.34048338390145e-43,1.5364204648599e-75,1.63165085168174e-39,9.60397809581336e-37,2.26516090361005e-78,6.84802524103894e-36,4.06888142978229e-31,2.72460681662802e-89,3.16540077403181e-30,7.27218835483091e-62
"DEE",8,1.57990388998691e-14,6.69511987061481e-38,2.95476214195504e-08,1.92074610623074e-13,1.66101466564095e-11,0.000103219243231094,4.78920399205691e-09,0.99989674634726,5.58658573000034e-11,1.03179266670808e-48,7.15613380604999e-68,3.81969439923935e-35,1.97208519116924e-32,6.59692351866293e-70,3.00688904617297e-34,2.93181303844411e-29,8.71253403233591e-78,1.59974405750416e-29,2.88972885020446e-72
"DEF",3,2.70154451544625e-06,3.73808673205424e-32,0.612846891492318,5.59909211068563e-05,4.27201435783056e-05,2.03772686956415e-10,0.364336202511338,0.00160919885305806,0.0211062943303126,2.75653547585154e-39,8.96691801597369e-55,1.2396859428935e-26,1.28604354975381e-18,1.6518297223296e-57,7.21956749740171e-27,2.90027344488593e-22,1.07256191801749e-71,5.86095131484028e-17,6.28874632142357e-56
"DEG",8,1.33833820679993e-14,9.24398463719512e-37,5.29788364056295e-09,1.7065046224642e-13,1.06588450633012e-14,0.000511981606730082,5.75235079435774e-11,0.999488013025146,1.25218137526884e-11,2.37937827219837e-46,1.1800054484554e-67,5.21164199224425e-34,3.1226017099483e-33,9.36894775353099e-70,7.92944718563906e-32,3.60207958572199e-27,6.49295254800537e-77,2.91890098501006e-29,6.32022960342647e-74
"DK0",10,2.64793540312247e-46,3.83077748385397e-82,4.27650262728429e-66,1.06556735944784e-51,1.29182138817544e-133,2.10058557913527e-105,2.22945042825917e-86,6.22040085154295e-86,2.25467505695757e-59,1,2.13945574118152e-95,5.6411030957435e-57,7.50509892231252e-60,7.26812801228839e-106,2.52557976443659e-27,2.42172100537699e-31,1.97945365360634e-148,4.51920060107667e-29,9.24429448528662e-38
"EE0",4,7.91791323670961e-06,3.92489065938875e-15,0.206318958335137,0.766796767888278,8.83520182386723e-16,6.6553899986679e-05,7.51895832212862e-09,2.7701711470952e-07,0.0268072370721958,1.1179491419112e-34,1.65886259212325e-39,3.14015499043082e-12,2.61698653050043e-16,2.36255558717571e-41,4.81305790391002e-09,2.27553886850157e-06,2.31938432730865e-46,2.0710192319367e-14,3.5920675550977e-86
"ES1",11,8.92684199454253e-24,1.38812850954331e-06,1.99601812185622e-14,8.04035724879471e-07,1.37984934967505e-25,1.79552992019445e-58,8.24550683679057e-25,3.93472659409546e-71,2.06639898454464e-11,4.38997868505233e-74,0.327349468195947,0.000492170812785366,0.351089173821539,0.32106434941916,2.75741664549108e-13,1.1970424163e-12,2.64556417755283e-06,1.22380280606914e-18,1.2103926628396e-153
"ES2",12,2.32123162965949e-20,0.0036073647730066,1.51121474267243e-12,0.000211779374880619,3.57423038765166e-28,7.04488718998073e-50,9.42638317310244e-25,4.81681895397345e-63,9.05885507671843e-10,1.08916674757981e-64,0.0233391737605824,0.923150875032519,0.0361279601908643,0.0135548117741325,1.17360717630674e-06,2.12323123984563e-06,4.73734820106566e-06,4.58031236259952e-16,2.95958101596572e-149
"ES3",12,3.19058329925248e-16,0.0200372426238901,6.30375602361921e-09,0.0342847835812848,7.77883499877334e-25,3.35821680248735e-36,7.4416350135902e-21,1.31018529131769e-48,4.08896841983827e-07,1.6461722618411e-57,2.32344727106682e-08,0.944265712995823,8.71229469473548e-05,1.10331378484401e-08,0.00022942520956716,0.00109526291568479,2.5859127511234e-10,2.70283803123887e-15,9.46089609103918e-140
"ES4",11,8.74764515688636e-29,1.56722961575744e-10,3.19467667439942e-20,3.95784426313899e-11,9.57098468678244e-34,2.16688775314136e-71,1.84177537801457e-31,1.07867494486025e-83,2.55763298308085e-16,1.82164719427179e-77,0.664602017300458,1.21645354359719e-06,0.0174909940534968,0.317905763740107,5.92685850090326e-16,6.97067474733301e-16,8.25609159621429e-09,1.40099116482452e-20,2.32420946117386e-158
"ES5",13,8.83110328120666e-25,9.48822515787991e-14,1.0604703399788e-16,4.04355543270993e-09,2.75337420246602e-28,1.11252596805572e-68,9.25278341354655e-26,5.38639864035348e-77,5.35863759410622e-13,4.42597031795292e-72,0.000100444876643388,1.72507472638598e-08,0.999886638714324,1.28951140989604e-05,1.03768524855564e-17,4.52120615640512e-17,5.08983152573625e-17,2.56503194683339e-17,4.88114198447136e-140
"ES6",14,3.03746024485271e-27,5.4556283796312e-08,2.48835690960706e-17,1.93365376936261e-09,8.36415949958313e-28,4.74112354577847e-63,7.87718242743913e-28,1.05394146373053e-76,3.44949771746277e-14,1.30415470540058e-79,0.374258633484157,8.73017282507662e-06,0.00918296934833882,0.616528266191347,5.30808215271096e-16,2.01598095960421e-15,2.1344313357305e-05,1.19743672396385e-21,1.8323563653355e-161
"ES7",14,2.2035464592939e-25,7.08738196492237e-08,3.79003836232132e-16,3.60431355875336e-08,1.12985654861776e-27,1.57930805952599e-62,1.17272927376403e-26,4.47003005895753e-75,7.056088836257e-13,1.24057032335922e-75,0.453253585813564,5.81145875251844e-05,0.166040219865947,0.380647427183676,1.93315831979615e-14,6.20237935595863e-14,5.45631545239064e-07,2.30050227343325e-19,2.71758783400494e-155
"FI1",15,9.40499324642395e-18,4.90732306009278e-35,1.63060011193253e-27,1.83772347255299e-17,1.13220770305623e-76,1.27002417841383e-44,1.51622190444446e-45,5.00225928920558e-39,3.35049961103211e-24,0.0666681839990908,2.1514608703959e-56,3.3002779896085e-21,2.07742699427755e-31,1.16131301360793e-62,0.920611804566436,0.0127200114298269,1.41083793005399e-83,4.64688714061322e-12,1.94359576394415e-61
"FR1",16,4.11110797885897e-18,4.05407223124266e-12,3.06666165899844e-17,6.21991990151332e-08,2.70044503162848e-47,7.75210724149557e-44,9.58101639392365e-33,3.5330459959436e-51,2.28062483942243e-14,2.90160872927734e-38,2.01492874415718e-21,6.19140232013618e-06,3.78134252223196e-13,7.8810607474836e-24,0.853503910206295,0.146489836187613,4.30075845165272e-32,1.17291254832574e-13,2.41712185758594e-118
"FR2",15,6.16440859871001e-10,2.61760497746234e-14,9.47430816926729e-10,0.0297905828937271,7.59832426856408e-37,1.10482885022554e-41,6.17426080598114e-22,7.75953105988316e-43,8.6238960849737e-07,1.05697933820061e-28,6.31065367658055e-22,1.5095970888527e-05,5.58921547218456e-06,2.96728342928293e-25,0.512659331085342,0.457498578085568,1.67942678876782e-40,2.99587954961306e-05,6.36319388179397e-89
"FR3",15,4.84013606996939e-19,8.70570948768245e-14,6.98054613467185e-19,6.66144164006719e-10,7.57807682827299e-51,5.15089624170668e-38,3.71741140270067e-35,1.10215203071219e-45,1.4903536248305e-16,7.92753846948081e-36,5.81921492988645e-28,3.29503618520013e-08,1.12015208008126e-18,2.05987491695922e-30,0.851085981106641,0.148913985276766,1.10182222767966e-36,1.78489103061277e-16,3.60599531100437e-118
"FR4",15,1.35348808168696e-12,1.08307586194232e-16,1.4767637772335e-13,6.55970266842424e-06,2.93591150617314e-44,1.02654243403888e-36,2.27223428725165e-27,8.23335405405008e-39,4.23909837999806e-11,2.27860690175969e-26,5.60693262024614e-30,1.25566636676207e-08,7.86465560911039e-14,2.28482420843956e-33,0.650692067986628,0.349301358533216,6.45496486718829e-46,1.17685239261439e-09,5.30892071996789e-92
"FR5",15,7.09433287161496e-19,5.70919383622646e-20,1.17260458948148e-21,4.44211870272826e-12,8.75015460829173e-59,2.22863391719653e-42,1.77750758393838e-38,4.77667241045124e-46,8.04242492932328e-19,2.77927081501295e-26,6.80842251243729e-35,1.14229051315831e-11,2.14754716053105e-21,1.64711184734671e-38,0.937060428411259,0.062939571572864,9.19229391842618e-50,1.23385678186345e-14,8.06906266059182e-102
"FR6",15,7.33861117838986e-24,1.69322083836561e-19,1.39795975143668e-26,8.35732735944634e-16,4.46380280214059e-66,8.86634990446229e-45,1.96541968523742e-45,1.25955772440294e-51,1.07934257128425e-23,4.74490272774911e-31,3.18068239107598e-35,2.40305131802443e-12,7.32318444468127e-26,1.93729969607067e-38,0.978748949787198,0.0212510502103987,2.8304831064331e-46,2.07812073009849e-19,1.5685582411381e-117
"FR7",15,1.71492179880003e-23,6.69809832973277e-25,8.1261452868928e-29,3.49812754576501e-17,1.16775226945085e-72,1.30609717130009e-52,6.4938607666498e-48,2.2744743616309e-55,4.13255379649231e-25,5.92522069769699e-23,9.45960227762961e-39,1.06502513757627e-14,7.14216991955836e-26,4.14380478388612e-43,0.992457542879134,0.00754245712085503,6.16042313919749e-57,2.79500166013302e-16,7.59304898947111e-102
"FR8",15,2.85139287315928e-17,1.61100891053785e-10,1.46912665200352e-15,7.37566908435311e-07,9.79335248366966e-44,5.82547339836514e-40,1.33074686308793e-30,4.42376506872802e-48,4.785456745822e-13,7.11464545023204e-40,8.2033418102116e-21,3.16580515558096e-05,9.21958470448372e-13,6.5913507352045e-23,0.75667430266996,0.243293301549024,1.34668301000057e-29,4.86141445531756e-14,1.92702962731492e-120
"FRA",17,1.65254862940973e-24,0.00778723470034185,8.79869441969332e-14,5.56416144901103e-07,1.33195839569528e-23,1.7438173791938e-46,6.34482235057099e-25,5.36418649895192e-63,7.03674582561097e-12,9.90323034439227e-78,0.00218502959219235,0.00250039941691984,1.09836725024243e-05,0.0167937501200989,2.84829799745442e-12,2.4518043044417e-11,0.970722046047309,3.59446545173137e-23,1.45210955152998e-166
"HU1",5,1.47689851246533e-21,6.94487061772138e-11,1.48719351657803e-06,3.27510588703733e-09,0.355325551487027,0.644672956937825,3.94325971163806e-11,1.48008096976067e-16,9.97644282528464e-10,9.6414052713367e-84,5.0251710796223e-35,6.77802480171172e-18,1.98339672817895e-24,9.16989459125014e-33,6.67628352812231e-27,2.41836353203119e-22,6.50950061651069e-20,8.81490136185777e-38,2.40800559040452e-155
"HU2",5,3.75729942684489e-23,2.53945426644639e-23,5.15106976833417e-09,6.07092004538302e-13,0.999999994312402,8.38384140553369e-15,5.20315307552468e-10,2.70027830615195e-23,1.55973083689633e-11,3.34598579047005e-84,3.57056230421458e-42,1.07975658810323e-26,4.69577922316513e-24,4.68725504448775e-41,3.79717567916123e-37,4.90222074012325e-32,1.06684459872254e-37,3.44058985506609e-37,1.57363934623008e-133
"HU3",5,9.39026147428204e-22,1.32012827775792e-13,5.28087056803922e-07,4.4232434298345e-09,0.999999463489664,1.35318196323469e-13,2.23253747673828e-10,1.70131585486267e-26,3.77651442354284e-09,8.05657317195921e-85,1.09755540756134e-30,2.49128479377222e-18,4.0757312352116e-19,6.14523016659181e-29,2.83837705901448e-29,7.69559578495951e-25,8.81794252204636e-22,1.922536004292e-34,2.08369406206557e-148
"IE0",4,1.57315852610993e-10,1.41103016863662e-12,0.740344864606509,0.183186576222916,0.00097612385962808,7.95386621190956e-13,2.45599750780397e-05,6.23827671958034e-19,0.0754678751413252,9.36288769908191e-58,3.06844707524236e-29,2.57531075339256e-12,3.2399612691782e-11,1.60032235886565e-29,1.2624558846317e-17,4.68534655928169e-14,1.43309839535006e-31,2.32536392056659e-19,3.11029486012549e-110
"ITC",13,1.2742182623419e-23,2.41627110109022e-12,1.44532098089937e-14,6.26855631082666e-08,1.02713515659876e-23,3.33069021252577e-63,6.81805893452429e-23,3.55331406759539e-72,2.19516393111834e-11,1.13924747367933e-73,4.91507901110342e-05,3.78266033194476e-08,0.999936783365154,1.39653081823542e-05,3.72605072972331e-18,4.10667683371264e-17,3.69540987791184e-15,5.99813033634732e-18,3.06177171760565e-141
"ITF",17,1.1467666046755e-32,9.01242820638211e-08,1.20813251905907e-18,1.15322383986282e-13,5.58272443588725e-21,2.27052981968655e-48,8.21658789627095e-28,1.93758460390279e-67,1.25719068763129e-17,2.72845998701157e-96,9.94729129185032e-09,5.79532312250448e-11,1.50561438886213e-12,9.72467555758695e-07,7.22885523196967e-24,5.00771589675866e-22,0.999998927401297,2.50809550850603e-34,8.95774384538004e-186
"ITG",17,8.67369016406096e-32,1.04018782628045e-07,6.81035880667199e-18,8.35366924091482e-13,4.11467425704028e-20,2.72696713646429e-50,8.97027511369915e-27,1.3083045564114e-68,1.1969990347366e-16,2.27467782432975e-95,3.51372783479439e-07,2.51718741989801e-10,1.35525525824591e-10,2.45282272575409e-05,1.44551844043601e-23,9.44656605942388e-22,0.999975015993097,1.1443224457633e-32,9.65326422720741e-183
"ITH",13,2.60348508150058e-21,5.21914216327784e-13,2.96635837980088e-13,8.27492717029759e-07,7.30592417822742e-24,1.9377575040027e-60,1.4847732559035e-21,7.68435889772463e-68,3.9982437472925e-10,6.49336459249449e-68,2.79862452190437e-07,4.51393763693295e-08,0.999998815116867,3.19879416084275e-08,1.35895960977507e-16,1.47883036265002e-15,3.84076787672152e-19,7.53714582535607e-16,3.08944836216508e-132
"ITI",13,2.48073815098462e-20,0.00651367811765858,3.64313435208463e-10,0.000995238454252402,1.85892612944935e-19,4.85771856377855e-47,3.91321783352526e-20,9.518605146906e-61,5.57045990657301e-08,2.41658490636465e-72,0.12058535873557,0.066643708059854,0.506865925225803,0.29519578105158,4.77288066722773e-11,5.75246906539198e-10,0.00320025366339294,4.69793108763552e-18,5.91164736710325e-153
"LT0",6,1.19098305493598e-21,1.36888334875232e-22,1.76219712194719e-09,1.92133455750929e-13,8.59241053001875e-07,0.999999138592558,8.64897905794374e-13,4.02433466627539e-10,7.01110890423085e-13,3.08659577230244e-74,5.13567275004239e-51,6.4866006880141e-27,1.32605491962577e-31,4.3353063494686e-50,4.43245051724824e-32,3.15049789470473e-27,7.53946560993988e-43,9.07467543517295e-39,2.40984698639759e-130
"LV0",5,4.61755027238096e-12,9.68380000532444e-20,0.0948418529868495,2.26726967114196e-05,0.841778673333408,0.0626030502582373,0.000459979594819603,1.80230664924447e-06,0.000291968818706765,7.50795083445097e-60,3.72851911780727e-44,8.36609870613407e-21,1.54092203339595e-20,2.54841307279052e-44,2.57923654770295e-25,1.23645263147732e-20,2.49787926064755e-44,3.57048851165599e-26,4.33802110486505e-104
"NL1",18,2.42407450623817e-07,2.72023209467927e-44,2.94940622068859e-14,1.32670107547315e-09,5.88564348451609e-46,6.9909858675713e-54,2.52461429832942e-21,8.06749013697309e-36,1.18032009492129e-10,0.000318908777737201,1.22386012788656e-53,4.87375247412773e-26,4.58904518219325e-14,6.74885800175448e-61,8.30899490756891e-15,3.86094467365151e-14,2.19438586530153e-97,0.999680847369931,2.58283728528245e-14
"NL2",19,2.97459404228295e-10,6.4985502636417e-55,1.23449458069533e-18,6.00125783065207e-15,6.74599257314991e-51,1.57048258290387e-58,2.39727999633485e-24,3.97893238741529e-36,4.51731297122215e-15,0.0191343112062441,1.49209686723022e-65,9.25018521841765e-35,3.28413849897091e-20,1.19489276443662e-73,5.63968658716864e-22,5.03720072714814e-21,1.71130255083436e-114,0.000771606826755075,0.980094081669531
"NL3",19,6.09150802338853e-15,3.17605967241896e-61,9.81246630905001e-25,1.35787872432383e-20,3.32570836441466e-60,6.1567886935096e-63,2.47095148951917e-31,1.21735540289914e-39,4.5034014373898e-21,0.0281666388070696,1.55515700835514e-73,2.54598782745974e-40,4.13778324222829e-27,4.79355079415982e-82,2.45362486518995e-25,1.12684881819412e-24,9.53603840872722e-124,3.23256144506818e-08,0.97183332886731
"NL4",19,1.69611666841027e-22,4.78202993922164e-73,3.53577448905051e-31,1.99594639514174e-28,1.92861417790007e-61,6.28577180346919e-76,7.8110774481077e-35,8.06242667863947e-50,2.01568624888776e-27,1.88682762633122e-14,1.37762546253795e-81,3.27897155076458e-51,5.22469980517576e-32,3.15162314972264e-90,3.21753307470353e-39,7.12007811634207e-38,1.18860186296616e-135,1.85997733130281e-15,0.999999999999979
"PL1",6,8.74660221575389e-15,5.29788465632565e-22,0.000637725436742318,4.06990642571309e-08,0.0849344178949137,0.914416537139005,5.28878097390721e-06,5.22302032856163e-06,7.67028963605281e-07,6.39788731624011e-64,3.14076040696081e-48,6.33820327343641e-24,1.406341163881e-24,3.81032780661125e-48,1.32293744539613e-28,1.07544665183451e-23,1.87434133025835e-46,2.68608595564171e-30,5.44292792672124e-109
"PL2",6,2.29756816888283e-27,6.61309753701029e-24,3.03692264946179e-13,8.61682184101654e-18,2.56835566729063e-07,0.999999743163775,2.23223840840584e-16,3.54745751771098e-13,3.24758777959928e-17,8.46192794835526e-86,1.82366140622532e-53,1.8390649439399e-30,8.80890651569643e-37,1.09078642350138e-51,1.82526827653283e-37,2.72988776817141e-32,4.43032878223734e-40,2.10666651217546e-46,1.33323057118191e-147
"PL3",6,4.55335999569249e-24,2.4861582525216e-12,3.37617767046717e-08,2.45527888957403e-11,0.56500837637571,0.434991589821383,2.30165739535707e-12,1.36448348957983e-17,1.1790370470473e-11,6.83837736161726e-89,5.69671319060518e-37,3.49829370593477e-20,6.8161290487801e-27,2.17326707287756e-34,4.26352521738243e-30,2.63708375174246e-25,4.50937070226804e-20,2.96654894125576e-41,2.75792561573656e-161
"PL4",6,5.06305651376603e-27,4.44050799398046e-19,1.76625763028158e-11,1.0285728661746e-15,0.00135713182111968,0.998642868161204,9.42235296148009e-15,1.41000487138529e-15,2.16709985729302e-15,2.56051355178394e-90,1.52729085591303e-46,9.04102288467759e-27,3.15807848051517e-33,3.51523662370542e-44,8.05593763075475e-36,1.17611134397285e-30,1.94380339890771e-30,8.31665196650303e-46,2.6541253492281e-157
"PL5",6,6.65612872494932e-28,9.71661478804446e-20,6.36684131937867e-13,8.22964066864978e-17,9.88220344256344e-07,0.999999011779018,6.74163710285996e-17,9.13065111977805e-16,8.1136358001149e-17,3.79108973376059e-89,3.18374178674162e-48,2.31047713200092e-27,4.16027114377901e-35,5.88941492528028e-46,2.38907002101167e-35,2.26557578551592e-30,6.95965422068e-32,1.22819976462676e-46,4.52086516093096e-158
"PL6",6,5.46546385172625e-22,1.81340286961004e-15,1.01228161019754e-07,4.53542311140674e-11,0.0149155244670678,0.985084374199331,1.40370975270094e-11,3.28468210442973e-14,4.60137923560229e-11,1.26800302169976e-81,3.34521477647514e-41,1.04744201004519e-21,2.28912282826751e-27,2.42646052155408e-39,1.08162513318195e-29,6.34123477298781e-25,2.88397938115078e-28,7.82953193113217e-39,3.17132912313897e-147
