"","pop_Total","pop_Y0-14","pop_Y15-24","pop_Y25-64","pop_Y65-74","pop_YGE75","ARPR","low_work","rooms_pp","mat_depriv","ARPR_socexcl","emp_Y15-24_ED0-2","emp_Y25-64_ED0-2","emp_Y15-24_ED3-4","emp_Y25-64_ED3-4","emp_Y15-24_ED5-8","emp_Y25-64_ED5-8","emp_TF","emp_TP","emp_Y15-24","emp_Y25-64","emp_YGE65","emp_Y15-24_NaceA","emp_Y25-64_NaceA","emp_Y15-24_NaceB-E","emp_Y25-64_NaceB-E","emp_Y15-24_NaceF","emp_Y25-64_NaceF","emp_Y15-24_NaceG-I","emp_Y25-64_NaceG-I","emp_Y15-24_NaceJ","emp_Y25-64_NaceJ","emp_Y15-24_NaceK","emp_Y25-64_NaceK","emp_Y15-24_NaceL","emp_Y25-64_NaceL","emp_Y15-24_NaceM_N","emp_Y25-64_NaceM_N","emp_Y15-24_NaceO-Q","emp_Y25-64_NaceO-Q","emp_Y15-24_NaceR-U","emp_Y25-64_NaceR-U","unemp_Y15-24","unemp_YGE25","GDP","GVAgr","disp_income","training"
"emp_Y15-24_ED3-4",-2018740.53851392,-1.77327589593722,0.374907221025808,-2.41731704503601,3.08919268356754,0.726493036379882,-22.2293859524661,-10.5214789285705,-1.04247992302364,14.9522068516021,-13.8012966636525,-57.000071867441,-44.4530270851054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y25-64_ED3-4",-244190.797229334,-0.912467862677489,1.47102384918026,-1.26794316024946,1.3274792022462,-0.618092028499506,-7.42956063500395,-11.8745321551214,-0.798792341534978,5.65160664183383,-5.65582473014488,-26.0039351923529,-41.3808336565289,47.8557155182875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y15-24_ED5-8",-3387956.36637346,1.81951627806723,0.335118890253586,0.81820384769271,-1.99004922565118,-0.982789790362349,-20.2681427272708,-4.34005283150572,0.310421595580278,-8.25076994995682,-21.3098497221192,-20.9362064022343,-2.64349582841877,-22.8240580622496,-21.8174584975933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y25-64_ED5-8",-2439290.11102503,1.18892723775856,-0.507205688313472,1.27793330407602,-1.0310844023556,-0.928570451165511,-29.8324106959945,-3.30193114067402,0.154361146277396,-5.97474402060597,-27.1655860697616,-22.3487585577145,-25.1232717900085,-3.38898082846706,-19.5056767132518,24.5110165194064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_TF",-396149.13134148,-0.226279634416017,-0.410651190059759,1.58110129062073,-0.0180144329677647,-0.926156033177193,-18.5754740651138,-15.082993558402,-0.244784060958228,-8.21878685624329,-22.2680796395367,-14.9424762989046,-18.0074310237906,13.8804122593027,10.7798250341108,1.04452937439735,7.42514717127714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_TP",-252702.162247063,0.920869305012983,0.665697127640319,-1.7861482671433,-0.0320673803773527,0.231649214867354,3.47633466935722,-0.288520258854335,0.0609204650982475,-0.614835248135685,2.96933734447045,2.68002033611334,-2.39947637766656,-1.87670211442375,0.438008509797188,-1.55102954643363,1.583024292258,-1.41977001488159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y15-24",-3477373.53162167,0.775259258485871,2.56870470797758,-3.3826396527414,1.00115038880596,-0.962474702528005,-10.5423423939777,-10.9618250176471,-0.086036567736596,-6.20271021347435,-13.7428659172054,-6.00703308406149,-21.994650230093,10.570857813602,17.2141100399929,-6.8127607015742,3.94005935369562,12.9103279842482,10.9302656908797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y25-64",-461914.572060297,0.516023436045477,0.3072024520056,-0.70689658340783,0.345978275972273,-0.462307580615521,-19.352297935219,-16.2235396320075,-0.198838143762785,-9.53814139278642,-23.4865349863082,-18.9578936311202,-24.66002035409,17.9932753577048,14.0748891052769,0.125698312383496,10.5180538170526,19.6655263554105,3.74170124976092,22.5567020947186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_YGE65",-142688.300596885,0.467166592263569,-0.0574190662416989,-0.17438304926176,-0.259194397145247,0.0238299203851373,6.93815841088124,-5.2553947283667,-0.15252340284009,0.965090301658094,5.30688185415148,4.11962234173278,-0.163918865813059,-0.438771635645807,0.762146534814893,-3.14378046149417,-0.638993891624816,3.83293552850562,2.08574965686164,5.70983978128923,4.93804563140607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y15-24_NaceA",1768784.93304433,2.25305822328422,0.474320501723682,-0.0540219511992277,-2.46359581521331,-0.209760958595362,42.2286859397496,-11.5060272324243,-0.390332710607102,1.48847435369217,33.6855718549263,49.3247902740587,33.0217078122268,-32.5343277268721,-4.05825008594861,-10.9539273305824,-28.8082864713377,-3.23327510188351,2.68695219508693,-11.4569343149885,-5.42389443484827,16.3246621716129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
