"K","Average silhouette width"
1,0
2,0.295742236158728
3,0.22554079593382
4,0.207692868777379
5,0.218446347462774
6,0.198385479973052
7,0.196858184931818
8,0.198110866949366
9,0.209840547105003
10,0.193293567942776
11,0.174434326859834
12,0.169691619164196
13,0.134529276901925
14,0.134341810631335
15,0.14674870156871
16,0.176159624234696
17,0.179469498252779
18,0.181740438328519
19,0.177874398836639
20,0.179815749578073
21,0.177390769408889
22,0.180733602199792
23,0.182150284262066
24,0.189091175160444
25,0.195203285045604
26,0.179596755044331
27,0.162866521543988
28,0.156549768307444
29,0.159210991197252
30,0.162674718364149
31,0.165185673428438
32,0.165826407144104
33,0.167615651699104
34,0.168587069774908
35,0.17038776158039
36,0.175168455976769
37,0.178049764942926
38,0.182226103744616
39,0.185170947095284
40,0.188899525634151
41,0.188213383619782
42,0.189760127733809
43,0.191420010910362
44,0.188019153897281
45,0.190151900749646
46,0.187730040784977
47,0.185678914314875
48,0.188444389077852
49,0.189430191428248
50,0.184195642427197
51,0.183882683636564
52,0.186361472165296
53,0.187935331220511
54,0.187869444756383
55,0.191258497706993
56,0.190818846812212
57,0.186494233014219
58,0.183326021153116
59,0.183444319483823
60,0.184742031226422
61,0.186573093101364
62,0.185069590691145
63,0.185070076043318
64,0.187065666366017
65,0.185731082275203
66,0.18402545873519
67,0.186840226960071
68,0.18370216012683
69,0.182140543687544
70,0.184076126598594
71,0.183464108512785
72,0.185863397097461
73,0.185998737589132
74,0.188342880931739
75,0.187914730285947
76,0.189882369546652
77,0.190220621712327
78,0.177927750616563
79,0.177639240133985
80,0.177095711420381
81,0.174555181906198
82,0.171841181257636
83,0.172269467506537
84,0.173146467785875
85,0.172501383373822
86,0.167276692666023
87,0.16655937456502
88,0.167898676055618
89,0.16959049135949
90,0.173330055810457
91,0.171737350106071
92,0.171885587939954
93,0.172142144092165
94,0.170897287005683
95,0.170395440196307
96,0.169911467436119
97,0.170462820236805
98,0.169651831634144
99,0.169517218174231
100,0.173287058079907
101,0.172411588690786
102,0.17336209671744
103,0.174411204633525
104,0.172632709619937
105,0.169883443312015
106,0.170082528563689
107,0.167646546274418
108,0.167749395571399
109,0.166151893712954
110,0.169784761450365
111,0.16818725959192
112,0.167154281603069
113,0.165926620060199
114,0.164805853438078
115,0.170201605430203
116,0.168792424373113
117,0.169027184919119
118,0.166106229319878
119,0.166321770265074
120,0.165317183365281
121,0.162017144076318
122,0.16286746850668
123,0.160344385093895
124,0.162709803968125
125,0.16018672055534
126,0.158645789871473
127,0.158602244392149
128,0.155241820611526
129,0.155524233271899
130,0.15366423116004
131,0.150285049247393
132,0.151476524242664
133,0.152099684942205
134,0.150419811589233
135,0.151175932743423
136,0.152156642193756
137,0.152961014241898
138,0.153713461807185
139,0.152032522118275
140,0.151923012497192
141,0.150438531695562
142,0.1525832691959
143,0.152519174887919
144,0.150988459570711
145,0.155422444694038
146,0.154938782812303
147,0.155234108337413
148,0.155445108131149
149,0.153910326440006
150,0.154196804500136
151,0.153787779822955
152,0.150840468964863
153,0.151893189583481
154,0.151812814650972
155,0.149695745225212
156,0.149833615498005
157,0.146578356528683
158,0.144086646700183
159,0.141605710440498
160,0.140550357083894
161,0.139212734200724
162,0.138939302329611
163,0.136436486866873
164,0.135347303844973
165,0.135822685668994
166,0.135550536054596
167,0.134180778964966
168,0.134188647519518
169,0.132470915042696
170,0.130391224707018
171,0.131595483890165
172,0.12944056076347
173,0.129617361785556
174,0.12769071601964
175,0.124239597156471
176,0.121116850942013
177,0.121819268640195
178,0.119029790169013
179,0.120302426042591
180,0.118777261089839
181,0.119309645417487
182,0.119005047820775
183,0.11992568452107
184,0.118559429567922
185,0.116635342965932
186,0.114716937512063
187,0.112883144711434
188,0.112140605590729
189,0.110897769599262
190,0.108891735105923
191,0.108227665704168
192,0.108173846505003
193,0.107301011176306
194,0.104876709800514
195,0.103318258414911
196,0.101295058174495
197,0.101129980928213
198,0.100268323535955
199,0.100943060217018
200,0.0999947659554377
201,0.100167051536512
202,0.100101063224919
203,0.099793808699639
204,0.0976739556380736
205,0.0949628442326406
206,0.093606318280366
207,0.0925816201514525
208,0.0927593829224715
209,0.0912510578654259
210,0.0880209993004103
211,0.0882262984894879
212,0.0860860934079011
213,0.0852598404128287
214,0.083219576334556
215,0.0813299495359138
216,0.0783285851896258
217,0.0785056852437568
218,0.0774742296364304
219,0.076614376790743
220,0.0754453895136166
221,0.0755526356437225
222,0.0754426119892438
223,0.0754281430907028
224,0.0726880380197402
225,0.0738172446677264
226,0.0722536043545839
227,0.070524458002642
228,0.0700147099455019
229,0.0701045299232309
230,0.0694762743033384
231,0.0692490751978854
232,0.0698324923890775
233,0.0687644751110986
234,0.0670223005766091
235,0.064874861718713
236,0.0661226232711429
237,0.0641008954005144
238,0.064705314261071
239,0.0629698968564222
240,0.062448516364423
241,0.0607321098147975
242,0.0595118112996463
243,0.0584200232225417
244,0.0547756423709584
245,0.0519615296471655
246,0.0493387403888316
247,0.0477459711226891
248,0.0458649249586926
249,0.0465773783612284
250,0.0465748418609672
251,0.0461518096888803
252,0.0446453099718575
253,0.0436142511602695
254,0.0402974908778567
255,0.0392575839987668
256,0.0377547573918765
257,0.0354534629980981
258,0.0336721608207099
259,0.03239560250463
260,0.0297902042099855
261,0.0306543330934486
262,0.0270639797722554
263,0.0267716509033255
264,0.0244937236667617
265,0.0202961221983045
266,0.0200314841136577
267,0.0185265825965116
268,0.0170036662358438
269,0.0158104024796931
270,0.0128017914345489
271,0.0126837645332274
272,0.0109199533395731
273,0.00959205987042873
274,0.00679213596398631
275,0.00243853089528843
