"Node","Degree"
"UKC2","254.149676280211"
"UKD7","254.076845563213"
"UKN0","254.030256972865"
"UKM3","253.93751069763"
"MT00","253.924337790894"
"UKG2","253.745929256254"
"UKF1","253.630448833848"
"UKE4","253.58888467734"
"UKD4","253.58356208413"
"EE00","253.401939178785"
"FR25","253.368431541637"
"UKM2","253.259049547147"
"UKL1","253.123739864612"
"UKH3","253.103358737114"
"UKJ4","253.049197091254"
"DED2","252.882318658072"
"FR21","252.858253886894"
"UKG1","252.819141239376"
"UKC1","252.794093329746"
"BE23","252.74443303495"
"UKE1","252.719369479566"
"DED5","252.580733424609"
"UKF2","252.540085941206"
"UKH1","252.384267284172"
"BE33","252.262144421176"
"FR53","252.196512882544"
"FR41","252.129606759096"
"FR26","252.109995765157"
"UKL2","252.08469675022"
"UKG3","252.049428182384"
"UKD3","252.010349991016"
"BE25","251.969466259371"
"UKE3","251.916308163562"
"UKK2","251.838014233945"
"FR22","251.783145075143"
"BE22","251.728250575024"
"UKI5","251.618299553195"
"FR42","251.596060458175"
"UKE2","251.522324612647"
"DE80","251.515713686342"
"FR24","251.514551100927"
"ITI3","251.476088490994"
"PT17","251.474331868049"
"FR23","251.435460266584"
"AT22","251.384671388119"
"DEG0","251.372567013375"
"SI04","251.351971239693"
"FR81","251.286931684655"
"BE32","251.194352658541"
"SI03","251.145884418994"
"UKK1","251.119311140876"
"DEA3","251.042265879645"
"AT12","251.037188059824"
"UKF3","250.941632832523"
"DED4","250.926609957389"
"FR72","250.889692134916"
"DE40","250.865396536412"
"UKD6","250.841576475796"
"DE92","250.813324681439"
"AT21","250.804880192551"
"DE72","250.782999151128"
"DE94","250.52148854699"
"ITI2","250.512718962565"
"BE35","250.507915531824"
"BE21","250.505983733301"
"ITF1","250.505672860515"
"UKD1","250.50196885123"
"DE30","250.489141504894"
"DEE0","250.432788526309"
"UKK4","250.398533131544"
"ITH4","250.360572575381"
"PL63","250.147357820177"
"DE73","250.028900191526"
"DE91","249.984986591878"
"DEC0","249.972485843761"
"DEB3","249.940070901284"
"UKH2","249.789911281267"
"AT31","249.755179412497"
"DEA4","249.715807635673"
"ITC3","249.713569576188"
"LT00","249.657896644581"
"FR61","249.643389734752"
"DEB1","249.640319678809"
"DE93","249.623121535148"
"UKJ3","249.612162780225"
"BE24","249.546235980112"
"DEF0","249.359308012444"
"PL51","249.231404507142"
"FI19","249.200628886016"
"FR43","249.154178839019"
"DE23","249.152412959846"
"BE34","249.04814638097"
"DE24","248.963615984318"
"UKK3","248.899718419036"
"ITI1","248.86763215486"
"ITH2","248.840189287032"
"AT11","248.818418153962"
"CY00","248.815497986697"
"DE26","248.695966046656"
"DE22","248.642818168081"
"DEA5","248.584950680563"
"LV00","248.58350594445"
"DE27","248.559605907874"
"DEB2","248.493868708377"
"AT33","248.473145407622"
"UKJ2","248.460602631203"
"PL61","248.410752216694"
"FR52","248.371225714148"
"UKI6","248.303489088851"
"FR51","248.300454443525"
"CZ08","248.268477268927"
"PT16","248.251027179315"
"PL41","248.219742077363"
"DE13","248.205238668445"
"NL42","248.150772051375"
"FI1C","248.131918076474"
"FI1D","248.122121171763"
"PL21","248.101704572294"
"UKI7","247.920434828948"
"ES21","247.918244790491"
"ES24","247.871604545572"
"CZ06","247.835727103099"
"PT15","247.82318719359"
"FR63","247.770063956516"
"FR30","247.710413807093"
"DE12","247.62422330822"
"SE31","247.597239363521"
"IE01","247.577972514993"
"PL31","247.558562104867"
"ES53","247.551772197475"
"PT11","247.464597642891"
"PT18","247.426294624764"
"PL11","247.386208318532"
"DE25","247.385982176777"
"FR62","247.385091204756"
"DE14","247.370030198666"
"ES22","247.364349177566"
"ES41","247.341846688273"
