"","mean","n","stdev"
"mismatch",54.6354639839808,47,22.8095630541326
"lmktm_OC0",12.0556332053305,89,6.38742958009933
"lmktm_OC1",15.320297800175,224,9.62099471870346
"lmktm_OC2",15.7886370860657,243,10.3278626730915
"lmktm_OC3",13.8848820738289,243,8.12854112024289
"lmktm_OC4",13.968042161457,242,8.44893906579929
"lmktm_OC5",20.1855667154559,243,8.92063105521332
"lmktm_OC6",30.082959811895,83,13.6134111884778
"lmktm_OC7",18.844614665428,243,8.68836478458536
"lmktm_OC8",20.3122994013777,242,10.4620835763255
"lmktm_OC9",31.1608330889051,243,13.7874462803197
"lmktm_ED0-2",25.0877542041724,242,12.8643722049814
"lmktm_ED3_4",16.6266242169709,249,7.48338750950666
"lmktm_ED5-8",17.4208792422266,249,10.5373516834636
"lmktm_Total",17.357180277783,257,8.9973560176738
"migrt_Total",0.569518907622713,276,0.29711206373928
"migrt_Y15-24",1.01989998800953,276,0.705193277194319
"migrt_Y25-64",0.66921260558626,276,0.408173230164812
