"Node","Eigenvector"
"UKC2","-0.0622100589319951"
"UKD7","-0.0621925726342002"
"UKN0","-0.0621792119961518"
"UKM3","-0.0621576413989312"
"MT00","-0.0621443003156127"
"UKG2","-0.0621151307777078"
"UKF1","-0.0620831031643119"
"UKD4","-0.0620727738864727"
"UKE4","-0.0620712153020523"
"FR25","-0.062031353291032"
"EE00","-0.0620251874363489"
"UKM2","-0.0619948179810057"
"UKH3","-0.0619597647573812"
"UKL1","-0.0619586048072033"
"UKJ4","-0.0619460466268037"
"DED2","-0.0619072102759982"
"FR21","-0.0619023304084205"
"UKG1","-0.0618911201027797"
"BE23","-0.0618780246318562"
"UKC1","-0.0618774824057934"
"UKE1","-0.0618640008181617"
"DED5","-0.0618347330566897"
"UKF2","-0.0618183869008363"
"UKH1","-0.0617802248426281"
"BE33","-0.0617525753199452"
"FR53","-0.0617418031350193"
"FR41","-0.0617248286792105"
"FR26","-0.0617215403041396"
"UKL2","-0.0617078423374747"
"UKG3","-0.0616894883672504"
"BE25","-0.061687479859655"
"UKD3","-0.0616825662299278"
"UKE3","-0.0616634877885307"
"UKK2","-0.0616510673434912"
"FR22","-0.0616420927803913"
"BE22","-0.0616243088888161"
"FR42","-0.0615938483931141"
"UKI5","-0.061592021892973"
"DE80","-0.0615786243941088"
"UKE2","-0.0615773644302642"
"FR24","-0.061574090201523"
"ITI3","-0.0615681809288941"
"PT17","-0.0615552095956981"
"FR23","-0.0615542734373133"
"DEG0","-0.0615430208526566"
"AT22","-0.0615421072793737"
"SI04","-0.0615229371242886"
"FR81","-0.0615149584395335"
"BE32","-0.0614883984696475"
"UKK1","-0.0614701917193405"
"SI03","-0.0614701395390465"
"AT12","-0.0614573706569815"
"DEA3","-0.0614547618704818"
"UKF3","-0.0614332686091726"
"DED4","-0.0614306515248468"
"FR72","-0.0614292818582257"
"DE40","-0.0614160176717728"
"UKD6","-0.0614076060541044"
"AT21","-0.0614030016327855"
"DE92","-0.061400663456167"
"DE72","-0.0613993890735901"
"ITI2","-0.0613330131656112"
"UKD1","-0.0613290680320924"
"BE35","-0.0613282615629691"
"DE94","-0.0613279690366208"
"BE21","-0.0613252491815695"
"ITF1","-0.0613235584120702"
"DE30","-0.061316652545387"
"DEE0","-0.0613148938225313"
"ITH4","-0.0613012809149898"
"UKK4","-0.061297999273085"
"PL63","-0.0612181991466397"
"DE73","-0.0612129579971796"
"DEC0","-0.0612045666054152"
"DE91","-0.0611986212832785"
"DEB3","-0.0611899460273082"
"UKH2","-0.0611476397318374"
"AT31","-0.0611430562250131"
"DEA4","-0.061134394264988"
"ITC3","-0.0611334580739141"
"DEB1","-0.0611192424627796"
"FR61","-0.0611148328660284"
"DE93","-0.0611137531805"
"LT00","-0.0611034096734908"
"UKJ3","-0.0611025681640445"
"BE24","-0.0610962844132544"
"DEF0","-0.0610499785657178"
"FR43","-0.0610066020955886"
"FI19","-0.0610006728675075"
"DE23","-0.0609973437731063"
"PL51","-0.0609937971394412"
"BE34","-0.0609730799011872"
"DE24","-0.060955650383133"
"UKK3","-0.0609367862405533"
"ITH2","-0.0609324693298502"
"AT11","-0.0609232330715724"
"ITI1","-0.0609216893869946"
"CY00","-0.0609124437959785"
"DE26","-0.0608868907076596"
"DE22","-0.0608741040903532"
"DE27","-0.0608527593027099"
"DEA5","-0.0608504922404941"
"DEB2","-0.0608411610130623"
"LV00","-0.0608395499044968"
"AT33","-0.06082985359393"
"UKJ2","-0.060821420925275"
"FR52","-0.0608021437164784"
"PL61","-0.0607912387505331"
"UKI6","-0.0607866813662391"
"FR51","-0.0607813235476612"
"CZ08","-0.0607773343119658"
"PT16","-0.0607681779474618"
"DE13","-0.0607640829182139"
"NL42","-0.060749386263363"
"FI1C","-0.0607479776410013"
"PL41","-0.0607445756287281"
"FI1D","-0.0607423398537452"
"PL21","-0.0607146637135638"
"ES21","-0.0607005776037888"
"UKI7","-0.0606891676378855"
"ES24","-0.060683795975384"
"CZ06","-0.0606809720578386"
"PT15","-0.0606700496455379"
"FR63","-0.0606658452851246"
"FR30","-0.060633607386292"
"DE12","-0.0606177617527694"
"SE31","-0.0606168654460619"
"IE01","-0.0606072490779811"
"ES53","-0.0606009840789984"
"PL31","-0.0605847025392889"
"PT18","-0.0605718673335934"
"ES22","-0.0605680688485006"
"PT11","-0.0605670506090573"
"DE25","-0.0605644119951819"
"DE14","-0.0605604806764855"
"FR62","-0.0605589088386718"
"ES41","-0.0605526504026739"
"PL11","-0.0605443322330465"
"HR04","-0.0605221919205253"
"FRA2","-0.0605204017427562"
"HU10","-0.0605202569924282"
"BE31","-0.0605051932849106"
"ITG2","-0.0604976800723269"
"AT32","-0.0604969730459316"
"CZ04","-0.0604968744411979"
"CZ05","-0.0604915373052843"
"UKJ1","-0.0604869348906127"
"NL21","-0.0604669996959345"
