"size","max_diss","av_diss","diameter","separation"
19,3.27302178146651,1.26959079444659,9.14222058865006,0.666827585714052
4,3.31270940966518,2.07327690482524,3.46504497306174,2.52726675787255
23,1.51050614666696,0.880074280995974,2.19149712536952,0.666827585714052
12,2.31012419122077,1.08316013996258,2.82886186518843,1.0393034054991
13,1.82409747449689,1.36558226688375,4.0420100871066,1.1050398624378
29,1.71668470695869,1.11966319398646,6.26156985656143,0.702977319872599
32,2.50184920111904,1.09140012843288,3.74868743863789,0.735757299494109
8,1.39624966021874,0.977399339764928,2.19841886738128,1.11086788728152
7,2.47749857799123,1.23237981738647,3.44890309760679,0.848336105614167
8,2.05249459329876,1.28514878882259,2.69260550525153,1.24993870775661
7,3.11162114633755,1.43417260546506,3.75333471238848,1.06007488073868
12,1.70025296594072,1.10373545144411,3.46737193480814,1.06007488073868
8,3.95240414610223,2.179532629512,5.00923478504754,1.76294572620897
13,2.04885071361675,1.05331961740875,2.85322545464138,1.49931116527632
7,1.7878991790358,1.34871087451641,3.19107439216274,1.43865124976161
3,2.8603350382151,1.35989885017673,3.40531091457988,1.65214856719379
8,2.9881257886716,1.81753330031058,5.21225905932743,1.36137259101526
2,2.79346672335656,1.39673336167828,2.79346672335656,3.19135341184933
16,1.80800145596714,1.08141005793084,2.90416277359482,0.974703880316369
4,2.96188152131433,1.81743940752203,5.02183727967607,1.55162854778161
15,2.96124232456296,1.38197678912547,6.24526985240186,0.702977319872599
11,1.98655280338609,1.17686179701499,2.78461051119934,1.85865903745276
5,2.01478763417021,1.19252524681846,2.75569422323941,1.62880248822117
9,2.85496014066011,1.20416219129548,3.14213548123502,0.735757299494109
1,0,0,0,8.00446370413689
