"","mean","n","stdev"
"pop_Total",1843541.33818182,275,1536030.99972337
"pop_Y0-14",15.6354943826734,275,2.50063991850691
"pop_Y15-24",11.4592430811288,275,1.47481902295174
"pop_Y25-64",54.2092521944465,275,2.65934716186509
"pop_Y65-74",9.80894567198748,275,1.54438311882438
"pop_YGE75",8.88706450756068,275,2.02479388239751
"ARPR",18.427380952381,84,8.99890691073458
"low_work",11.5333333333333,84,6.25795557927096
"rooms_pp",1.56860465116279,86,0.357856898085707
"mat_depriv",10.7357142857143,84,10.0114951142878
"ARPR_socexcl",26.4785714285714,84,11.9381848777592
"emp_Y15-24_ED0-2",24.5405676445895,238,12.4620786896347
"emp_Y25-64_ED0-2",18.4912109862152,276,11.9027707138753
"emp_Y15-24_ED3-4",60.7952637531441,269,12.6064118980987
"emp_Y25-64_ED3-4",47.8911767749182,276,13.5456478178355
"emp_Y15-24_ED5-8",18.1485958923602,199,10.1607238004112
"emp_Y25-64_ED5-8",33.2669815186476,276,10.0410975074529
"emp_TF",45.1778822911915,275,6.53342615189249
"emp_TP",12.04877067677,275,7.31257250158986
"emp_Y15-24",32.3943936398532,274,14.983266332396
"emp_Y25-64",70.9890429684194,275,9.07424733258392
"emp_YGE65",5.70944244720184,253,3.6532964247157
"emp_Y15-24_NaceA",11.1324908782446,72,13.5001198090939
"emp_Y25-64_NaceA",5.51824912851231,249,6.60470350249877
"emp_Y15-24_NaceB-E",17.960509306977,223,9.84980129185735
"emp_Y25-64_NaceB-E",17.3610743557802,272,7.33674471537692
"emp_Y15-24_NaceF",7.99201948498242,170,3.06313043295904
"emp_Y25-64_NaceF",6.97797930248545,272,1.53099373972251
"emp_Y15-24_NaceG-I",36.3009094033015,262,8.87157819682032
"emp_Y25-64_NaceG-I",22.7201157995412,276,4.39676360288596
"emp_Y15-24_NaceJ",3.6075718200966,54,1.68765967095811
"emp_Y25-64_NaceJ",2.77160509073063,242,1.72166736991692
"emp_Y15-24_NaceK",3.23886282969741,36,1.79987847404202
"emp_Y25-64_NaceK",2.91227300141089,256,1.58078420378786
"emp_Y15-24_NaceL",1.57424972457058,6,0.355778348679875
"emp_Y25-64_NaceL",0.96697396110503,163,0.459596999381729
"emp_Y15-24_NaceM_N",8.56297410103687,166,2.81418140204662
"emp_Y25-64_NaceM_N",8.97869599205403,273,3.11169509753375
"emp_Y15-24_NaceO-Q",17.5984053895505,214,6.20205287488777
"emp_Y25-64_NaceO-Q",27.5374233414235,276,6.48275076898906
"emp_Y15-24_NaceR-U",7.8040924182531,144,2.94409981976747
"emp_Y25-64_NaceR-U",4.90530423580493,273,1.78457641230807
"unemp_Y15-24",9.12086549869033,258,4.05916021982526
"unemp_YGE25",5.8641036039851,274,3.99915723161195
"GDP",26457.2463768116,276,11998.1143226374
"GVAgr",1.57247706422018,109,1.88290907510618
"disp_income",15079.1208791209,273,4276.03229238059
"training",11.1248175182482,274,7.05541935495479
