"","mean","n","stdev"
"mismatch",57.7461695120633,14,20.1727923953606
"lmktm_OC0",12.4284338105857,26,6.65687533179223
"lmktm_OC1",15.7468364912011,80,11.5800614436104
"lmktm_OC2",16.2285221605294,86,11.111113035923
"lmktm_OC3",14.4831737728741,86,8.98411460650263
"lmktm_OC4",14.6321624014231,85,9.38696697759296
"lmktm_OC5",20.5213075326265,86,9.90938000130685
"lmktm_OC6",30.2053342500043,25,13.2195008410262
"lmktm_OC7",19.5175712367084,86,9.96046531279851
"lmktm_OC8",21.0859853300625,85,11.7692352978554
"lmktm_OC9",31.5569848634701,86,14.8439342243182
"lmktm_ED0-2",26.0045333807797,85,14.1688878369893
"lmktm_ED3_4",17.1676010724199,88,8.44385777937219
"lmktm_ED5-8",17.867366807804,88,11.4594942538404
"lmktm_Total",17.6017665605804,92,10.1893670296976
"migrt_Total",0.618970009910577,98,0.376634724993383
"migrt_Y15-24",1.04703842419995,98,0.757196590065199
"migrt_Y25-64",0.741211280119868,98,0.549235082327411
