"","cluster","neighbor","sil_width"
"AT3",1,3,0.551286044308007
"AT1",1,3,0.546605261095302
"AT2",1,3,0.518303088200071
"BE1",2,9,0
"DE9",3,7,0.242650541423672
"DEB",3,8,0.236170855297827
"BE2",3,8,0.235677754889467
"DE7",3,1,0.219677711210337
"DEF",3,8,0.1123762898343
"DE3",3,8,0.071884601549364
"DEC",3,8,-0.0648839379091609
"UKN",4,21,0.0809628236294782
"MT0",4,8,0.000437689454111045
"IE0",4,21,-0.111799293527163
"SI0",4,6,-0.141479384830664
"BE3",4,8,-0.154336195634108
"EE0",4,8,-0.158296449405608
"UKC",4,21,-0.182636144285631
"CY0",4,11,-0.226654296060435
"BG4",5,6,0.355637228507766
"LV0",5,6,0.352030791592997
"RO4",5,23,0.250067561060116
"BG3",5,12,0.219157200580891
"HU3",5,12,0.181110575926139
"RO1",5,6,0.153717435803508
"RO3",5,6,0.0529156658856372
"RO2",5,23,-0.0200985282382924
"HU2",5,6,-0.0655811419222377
"HU1",5,6,-0.0933115458883252
"PL4",6,4,0.475958112598458
"PL2",6,4,0.468152164434531
"PL6",6,4,0.424171847438189
"PL3",6,5,0.382112438638787
"PL5",6,4,0.355389231004875
"PL1",6,8,0.311545135001268
"LT0",6,5,0.225192684924684
"SK0",6,5,0.186174517016189
"CZ0",6,15,0.144316683972488
"DE2",7,3,0.560727436789276
"DE1",7,3,0.367037553142085
"DEA",7,15,0.348412571851295
"DEG",8,3,0.512849860029202
"DE8",8,3,0.502126646074252
"DE4",8,3,0.474856377391969
"DEE",8,3,0.365626908082305
"DED",8,3,0.237991111522844
"DE6",9,3,0.397069176811878
"DE5",9,3,0.127905149333542
"DK0",10,21,0.357386192052468
"SE2",10,17,0.3101573587653
"SE1",10,17,0.30302952466501
"FI2",10,1,0.241523056669809
"SE3",10,17,0.137438910097149
"EL3",11,12,0
"EL6",12,11,0.528150476340507
"EL5",12,11,0.433517041841121
"EL4",12,23,0.415005811386165
"HR0",12,5,0.245392994512918
"ES4",13,16,0.352357335173385
"ES1",13,14,0.223299826628966
"ES3",14,17,0.523343608361512
"ES2",14,17,0.476288991517373
"ITI",15,17,0.330842191077682
"ITH",15,7,0.179757216875084
"ITC",15,7,0.13128586582961
"ES5",15,13,-0.000891581367320704
"PT1",15,13,-0.0264790879630907
"ES6",16,19,0.200924914908243
"ES7",16,23,0.133848069644612
"FR6",17,21,0.476791540067892
"FR5",17,21,0.450574967087771
"FR7",17,21,0.449999553460404
"FR8",17,21,0.399180510471676
"FR4",17,21,0.233720508549241
"FR2",17,15,0.221807515731215
"FR3",17,21,0.217477118751812
"FI1",17,10,0.0463796656621022
"UKI",18,1,0.438799814095391
"FR1",18,7,0.345289061631133
"ITG",19,23,0.290385565792149
"ITF",19,16,0.198095673803314
"FRA",19,16,-0.0293799707534385
"LU0",20,2,0
"UKF",21,17,0.448848305473748
"UKM",21,17,0.413608912914775
"UKE",21,17,0.400391192464233
"UKK",21,17,0.398871128181362
"UKG",21,17,0.390928274714309
"UKH",21,17,0.36296334663528
"UKD",21,17,0.294873525165524
"UKL",21,4,0.272399450338458
"UKJ",21,17,0.127287322249299
"NL1",21,1,0.0439597163158817
"NL2",22,21,0.513349784866078
"NL4",22,1,0.509738501040517
"NL3",22,21,0.416048631006408
"PT3",23,13,0.697358331071118
"PT2",23,13,0.663401941190006
