"","mean","n","stdev"
"pop_Total",5206799.57731959,97,3650387.44404642
"pop_Y0-14",15.4784000712532,97,2.12215261745084
"pop_Y15-24",11.4348714222311,97,1.45062859165099
"pop_Y25-64",54.6327260062131,97,2.45444065396149
"pop_Y65-74",9.72491156964245,97,1.34630658344766
"pop_YGE75",8.72909093066013,97,1.70782804751212
"ARPR",19.0275,40,7.37003592170211
"low_work",11.775,40,5.65117414620796
"rooms_pp",1.48222222222222,45,0.392132218476978
"mat_depriv",12.89,40,10.0997029659292
"ARPR_socexcl",28.38,40,10.4725820292311
"emp_Y15-24_ED0-2",23.831393569487,95,11.90555776592
"emp_Y25-64_ED0-2",17.9413332296039,98,12.3202726834552
"emp_Y15-24_ED3-4",59.9764013988103,95,11.8018862045074
"emp_Y25-64_ED3-4",47.4062152459504,98,13.5941229159242
"emp_Y15-24_ED5-8",16.7813688048714,88,9.22754406883036
"emp_Y25-64_ED5-8",34.3202519732968,98,9.2428028554886
"emp_TF",45.5650375749236,97,5.89877072777135
"emp_TP",11.7909503752298,97,7.02973797400014
"emp_Y15-24",31.7601510519711,96,13.4958796791209
"emp_Y25-64",71.088141530542,97,7.92126436057564
"emp_YGE65",5.45546058761585,95,3.30650727087548
"emp_Y15-24_NaceA",7.78448891058777,59,10.8117347672292
"emp_Y25-64_NaceA",5.21405991291956,92,6.30178339354279
"emp_Y15-24_NaceB-E",15.8042774956588,91,8.14606204265408
"emp_Y25-64_NaceB-E",16.5174724905971,97,6.30369447516968
"emp_Y15-24_NaceF",7.15490782192601,84,2.44642941708863
"emp_Y25-64_NaceF",6.89938043438378,97,1.37200581403653
"emp_Y15-24_NaceG-I",36.2285078523772,95,8.3196843135547
"emp_Y25-64_NaceG-I",23.172636682751,98,4.14025960723725
"emp_Y15-24_NaceJ",2.87779937499016,51,1.23501742644548
"emp_Y25-64_NaceJ",2.83009128625825,95,1.45809929603554
"emp_Y15-24_NaceK",2.2975572384733,39,1.12724203418852
"emp_Y25-64_NaceK",2.98538002362255,95,1.6062564774181
"emp_Y15-24_NaceL",1.04791709376233,8,0.512252075343167
"emp_Y25-64_NaceL",0.867374272564301,83,0.466124392376282
"emp_Y15-24_NaceM_N",8.05607535211332,83,2.51244030448128
"emp_Y25-64_NaceM_N",9.35477577194995,96,2.96436517967808
"emp_Y15-24_NaceO-Q",16.9337665804219,89,6.43212276753319
"emp_Y25-64_NaceO-Q",27.0028209157806,98,5.84344049500459
"emp_Y15-24_NaceR-U",6.91598230995075,81,2.50053887476039
"emp_Y25-64_NaceR-U",5.15913867334864,97,1.94381128099286
"unemp_Y15-24",8.96892625932028,94,4.07337410747403
"unemp_YGE25",6.09869286477987,96,4.05152874974181
"GDP",27029.5918367347,98,10340.5438567981
"GVAgr",1.3622641509434,53,1.48650680030196
"disp_income",14927.3684210526,95,3990.95898743869
"training",10.8520408163265,98,6.99791175908982
