"","cluster","neighbor","sil_width"
"FI1",1,2,0.414973493386096
"NL4",1,2,0.406492398799416
"AT1",1,2,0.402559797660764
"SE3",1,2,0.392452663078614
"SE1",1,2,0.390709838982794
"AT3",1,2,0.386281541294973
"SE2",1,2,0.385598365596513
"NL3",1,2,0.378181469223129
"NL2",1,2,0.365692228425496
"UKK",1,2,0.351603646133261
"UKH",1,2,0.347967219519653
"UKJ",1,2,0.34657730920558
"AT2",1,2,0.345538385446382
"FI2",1,2,0.345331601310618
"ES2",1,2,0.327181621800318
"UKI",1,2,0.322216450250751
"UKM",1,2,0.310764316962831
"DE7",1,2,0.30707722281918
"FR7",1,2,0.305484828098763
"DEB",1,2,0.297955393911983
"DE6",1,2,0.294097876557418
"DE5",1,2,0.292437939105695
"FR6",1,2,0.276696204813465
"DE1",1,2,0.275035636605925
"ITH",1,2,0.273295873126398
"DEF",1,2,0.268042413680156
"ES3",1,2,0.266010358761876
"UKF",1,2,0.265358117377314
"DE3",1,2,0.259332459228835
"FR1",1,2,0.258073676672684
"DK0",1,2,0.242069752858546
"FR5",1,2,0.238780530576898
"DE9",1,2,0.236107599994405
"UKD",1,2,0.224364671413096
"BE2",1,2,0.221355849260128
"FR4",1,2,0.21525123840701
"DEC",1,2,0.213569968638547
"FR8",1,2,0.21286843517529
"DE2",1,2,0.210846287544982
"NL1",1,2,0.210489983248569
"UKE",1,2,0.204255563342794
"UKG",1,2,0.192192376402674
"UKL",1,2,0.185392526145552
"BE1",1,2,0.169089108116556
"LU0",1,2,0.166233636525212
"DED",1,2,0.148989985806678
"FR2",1,2,0.140510753144547
"FR3",1,2,0.123551974755882
"DEG",1,2,0.122710578980196
"DE4",1,2,0.0923914848097422
"DEE",1,2,0.0677211867263947
"DE8",1,2,0.059139541070712
"IE0",1,2,-0.0113382618536203
"BE3",1,2,-0.0967164079610501
"CY0",1,2,-0.14404989351007
"PT3",1,2,-0.187279244119744
"PT1",1,2,-0.189082390086151
"HR0",1,2,-0.417882832935209
"FRA",2,1,0.48537948737309
"LV0",2,1,0.394893849958088
"SK0",2,1,0.389432802495574
"LT0",2,1,0.352732097267165
"HU3",2,1,0.34743056570601
"BG4",2,1,0.330101171124645
"RO1",2,1,0.322860877504833
"BG3",2,1,0.310089545792868
"RO4",2,1,0.306134891301962
"PL3",2,1,0.298336241647546
"EL4",2,1,0.292520452762145
"EL5",2,1,0.291559800813447
"PL6",2,1,0.288404841548306
"EL6",2,1,0.285948168812651
"HU2",2,1,0.278205110914431
"RO3",2,1,0.24298558264217
"PT2",2,1,0.227379314688459
"PL4",2,1,0.219367860665515
"PL5",2,1,0.213798879566934
"CZ0",2,1,0.204644868568383
"SI0",2,1,0.203787115089758
"RO2",2,1,0.192706621646907
"PL2",2,1,0.152907977679849
"HU1",2,1,0.152775780583534
"ITF",2,1,0.152103828434143
"EL3",2,1,0.136411251315446
"EE0",2,1,0.0851085074958884
"ITG",2,1,0.0839066526620322
"MT0",2,1,0.0648030539673862
"ES6",2,1,0.0589338698090203
"PL1",2,1,0.0400254515825574
"ES7",2,1,0.0395277092798644
"ES4",2,1,-0.0198051006977649
"ES5",2,1,-0.031964944645687
"UKN",2,1,-0.0443618490846589
"ES1",2,1,-0.114112890626861
"DEA",2,1,-0.114353059874529
"UKC",2,1,-0.125308941241064
"ITI",2,1,-0.162755310473474
"ITC",2,1,-0.172565898869395
