"K","Average silhouette width"
1,0
2,0.197658475362272
3,0.129558674686348
4,0.127998957156048
5,0.148559546001836
6,0.120275768022578
7,0.136515518127498
8,0.131007195383367
9,0.137421037093441
10,0.138430642094958
11,0.141996814199533
12,0.158178745863568
13,0.162627060745421
14,0.162816071015992
15,0.171369679471599
16,0.168060190604563
17,0.176877749696573
18,0.178497307229663
19,0.175277561461566
20,0.184316411682111
21,0.186944409997617
22,0.186400259228692
23,0.166289971956261
24,0.155177028904566
25,0.157221698726851
26,0.159952119777886
27,0.169528684971774
28,0.172965072696014
29,0.179750150208605
30,0.176511836703866
31,0.174913742739849
32,0.178401578320293
33,0.185178851358201
34,0.18137643001868
35,0.170712160623049
36,0.173759786015563
37,0.178788854620639
38,0.171287315231853
39,0.170776972452959
40,0.167506356272516
41,0.172139611948503
42,0.173718264127794
43,0.174882231843125
44,0.169737966421895
45,0.1633347944734
46,0.160634802811065
47,0.158905549883101
48,0.165682214196652
49,0.148523151314889
50,0.147741576778072
51,0.153428918077162
52,0.151418335320883
53,0.142247699786134
54,0.144389714861152
55,0.143003035640838
56,0.138226375822739
57,0.127444938329592
58,0.120072443274427
59,0.11380274123511
60,0.116446431381742
61,0.114312215274982
62,0.115451182779968
63,0.10683395753393
64,0.110581979551585
65,0.115002605418662
66,0.111967597214961
67,0.117399981885251
68,0.120112961510148
69,0.118505851447355
70,0.118593079573055
71,0.122815380043389
72,0.117404748927844
73,0.112481697446806
74,0.1076840915745
75,0.106329607867484
76,0.094879273269369
77,0.106183401429276
78,0.097990234523221
79,0.0924554788289487
80,0.0907520279135241
81,0.0897275594379596
82,0.0818008967131812
83,0.0751910805849942
84,0.0735621662959324
85,0.0736841518316245
86,0.0702246323140378
87,0.0652384759756156
88,0.0550730479322201
89,0.0488615912570898
90,0.0376664868609402
91,0.0327854712047113
92,0.0316466498413409
93,0.023737038713215
94,0.0202972012046839
95,0.0160546833531804
96,0.0162907677300521
97,0.00864286618553739
