"Node","Eigenvector"
"UKG","-0.114607201379345"
"UKE","-0.114369380136278"
"UKM","-0.113916900045203"
"UKD","-0.113281303267291"
"UKF","-0.112997469170945"
"UKC","-0.112304411987921"
"MT0","-0.11198337433405"
"UKN","-0.111712326349905"
"UKH","-0.11167413581552"
"UKL","-0.111619141033319"
"BE3","-0.110864797971612"
"UKK","-0.110761523721395"
"DE3","-0.110624122456493"
"BE2","-0.110380695611011"
"DED","-0.110380613626381"
"FR8","-0.110265228590087"
"FR4","-0.110100266845261"
"EE0","-0.110041098588297"
"FRA","-0.109423298983003"
"FR3","-0.108518920642392"
"AT2","-0.108388694698923"
"DE4","-0.1078030118827"
"FR6","-0.107789219064942"
"AT1","-0.107760335156224"
"DEG","-0.107697067706287"
"DE9","-0.107453057922472"
"LT0","-0.107258070010216"
"FR5","-0.107192749767999"
"SI0","-0.106767069418505"
"DE8","-0.106715094728924"
"DEB","-0.106668026430935"
"FR2","-0.106329349463751"
"PT1","-0.106233509880582"
"DEF","-0.10605254601966"
"AT3","-0.105789605253201"
"UKJ","-0.105477565335898"
"SK0","-0.105084710613882"
"FR7","-0.105030104296059"
"DEE","-0.104917635145204"
"ES2","-0.103975919363799"
"DE7","-0.103913647254513"
"PL1","-0.103637032631455"
"LV0","-0.103586701137337"
"DEC","-0.103211295163391"
"PL2","-0.103166398964772"
"PL5","-0.102894335582946"
"ITI","-0.102426273988734"
"PL4","-0.102384955062352"
"RO3","-0.102224244342305"
"CZ0","-0.102089376775117"
"ES3","-0.101998345230362"
"PL6","-0.101986190263312"
"HR0","-0.101843575301659"
"FI1","-0.101835935019118"
"ES1","-0.101388232029825"
"ITH","-0.1012492881505"
"SE3","-0.100729117330819"
"CY0","-0.0998914053074413"
"HU1","-0.0998622660091846"
"EL3","-0.0996080141176849"
"PL3","-0.0993689390594735"
"HU2","-0.0990438840028678"
"IE0","-0.0986189078405985"
"NL4","-0.098361589574307"
"NL2","-0.0982976983495856"
"HU3","-0.0974634034891587"
"ES4","-0.0974581342384117"
"DE1","-0.0969233572212094"
"NL3","-0.0960993613753543"
"BG4","-0.095755685262627"
"DE5","-0.095505937651536"
"SE2","-0.0948437259242542"
"EL4","-0.0948371466069649"
"PT3","-0.0947742625698886"
"RO1","-0.0941278987208997"
"EL5","-0.0937743907729036"
"ES5","-0.0934771800900801"
"PT2","-0.0932305396486779"
"DE2","-0.0930845456831814"
"EL6","-0.092960621705447"
"ITG","-0.0916423734595496"
"ITC","-0.090735955783646"
"UKI","-0.0905589673921568"
"FR1","-0.0905480044262806"
"DK0","-0.0902539893870225"
"RO4","-0.0897045603954261"
"SE1","-0.0896235033547772"
"BG3","-0.086970794563339"
"BE1","-0.0868233514775076"
"ITF","-0.086693848930521"
"DEA","-0.0866848042050383"
"ES7","-0.0857764179607022"
"DE6","-0.0850918471846879"
"RO2","-0.0845493626036443"
"ES6","-0.0836194683712341"
"NL1","-0.0823949615403874"
"LU0","-0.072361212062989"
"FI2","-0.0641367703113208"
