"K","Average silhouette width"
1,0
2,0.274764019390047
3,0.196781895284675
4,0.199072163366218
5,0.196853775673206
6,0.171525403422693
7,0.173722236968703
8,0.196339705421887
9,0.18523726125686
10,0.215006499972603
11,0.201487281148628
12,0.197901596103058
13,0.195427300673784
14,0.217831705863869
15,0.209473637030358
16,0.202037356124564
17,0.215671719522516
18,0.221585776085956
19,0.217997270843955
20,0.208691499629768
21,0.223520067259551
22,0.245030192945546
23,0.257332004220405
24,0.244264540728304
25,0.244028244213913
26,0.236119115774395
27,0.233648949743055
28,0.235712020955812
29,0.237768276960766
30,0.213228866369784
31,0.220215669568564
32,0.235844991291643
33,0.232772539722681
34,0.233613291984415
35,0.232561684963182
36,0.209970821261483
37,0.204006074899848
38,0.2125511644747
39,0.205560309902869
40,0.199285334347948
41,0.208480910406545
42,0.200538903167939
43,0.186687486660597
44,0.176116489478663
45,0.175405547661228
46,0.184406265198887
47,0.186835230481585
48,0.185511573526422
49,0.202842261959179
50,0.196776314611325
51,0.196775008958632
52,0.192947317370175
53,0.196986343054069
54,0.194947297440394
55,0.191852299665471
56,0.188240634464911
57,0.179221254377222
58,0.177341096028763
59,0.161394045393313
60,0.162529942274784
61,0.164916294621319
62,0.169759040358378
63,0.160516575533147
64,0.159173167537558
65,0.16088527806613
66,0.159944129986532
67,0.155995347357367
68,0.155445329232305
69,0.147233709763519
70,0.149736355944302
71,0.139749869055955
72,0.146323162647512
73,0.145524109980943
74,0.14315740109053
75,0.13519402929895
76,0.122065389443604
77,0.11466973323211
78,0.113210758914041
79,0.106282074316986
80,0.0979746293392026
81,0.0963879189453291
82,0.0908156234352271
83,0.077277217007953
84,0.0747741155497367
85,0.070732784451029
86,0.0711380770276155
87,0.0608708666313901
88,0.0557829951398976
89,0.0501877950015184
90,0.038959031746203
91,0.0374711309339341
92,0.0324332643554008
93,0.0243366685794403
94,0.0207412169334572
95,0.0163063935716412
96,0.0162312341069039
97,0.00837632092351078
