"Node","Degree"
"UKG","73.7739514302503"
"UKE","73.5776062492029"
"UKM","73.1649149602452"
"FR4","72.9757661740563"
"UKD","72.9369101119037"
"FR8","72.9004790903808"
"UKF","72.6871893363772"
"UKC","72.49753767736"
"DE3","72.309543111491"
"UKN","72.2848492357438"
"FR3","72.1794978280395"
"UKL","72.1035221450827"
"UKH","72.0053897435007"
"DED","71.8961802965441"
"BE3","71.836681493393"
"UKK","71.4210094461952"
"BE2","71.4165213697319"
"FR6","71.368917726022"
"MT0","71.3507463398245"
"EE0","71.2753642267957"
"FR5","70.9463529894261"
"DE4","70.6187285780766"
"DEG","70.5521420359645"
"FR2","70.4938191909103"
"DE8","70.320063260991"
"DE9","70.1698867666133"
"DEB","69.7040477615925"
"FR7","69.6542187199649"
"SI0","69.6454795383714"
"LT0","69.6301224897039"
"DEF","69.4974385858937"
"DEE","69.3609282832359"
"DEC","68.6872091190533"
"SK0","68.6682348985429"
"PT1","68.6175681087902"
"UKJ","68.3166634566022"
"AT2","68.1413339081943"
"DE7","68.1197893052355"
"AT1","68.0295089907483"
"PL1","67.584792165092"
"PL5","67.578379279098"
"PL2","67.5084226473871"
"PL4","67.1633652209604"
"PL6","67.0126140539411"
"ES2","66.9563259483883"
"AT3","66.6521363503942"
"CZ0","66.2166251030631"
"ES3","66.1167729381604"
"ES1","65.9350500284247"
"FRA","65.7168472784767"
"PL3","65.4056976341538"
"LV0","65.3406636529383"
"ITI","65.2327567414023"
"RO3","64.8604899381165"
"HU1","64.7676199290865"
"DE5","64.5979700041113"
"CY0","64.5859145024739"
"IE0","64.5798984442965"
"HU2","64.3125437627024"
"ITH","64.216954785863"
"DE1","63.7954611312148"
"HU3","63.7184848978281"
"PT3","63.6773291235695"
"ES4","63.6537673576459"
"PT2","63.6004661490123"
"NL2","63.2175610305035"
"NL4","63.0763924004346"
"FI1","62.8014168758671"
"SE3","62.6845069010262"
"NL3","61.9416699692432"
"DE2","61.3709514608195"
"ES5","61.1979586072433"
"RO1","60.8237960729646"
"FR1","60.7800109195056"
"BG4","60.7238679987201"
"HR0","60.3645673153446"
"DK0","60.2670031108227"
"UKI","59.7541010183633"
"SE2","59.520954521324"
"ITG","59.185551095035"
"RO4","58.5613269820771"
"BE1","58.4375953227095"
"ITC","58.2288463221426"
"EL3","57.9584891248819"
"DE6","57.5974248324757"
"DEA","57.5374651117459"
"ES7","57.1285943442668"
"SE1","56.5776395424452"
"ITF","56.2779054797325"
"BG3","55.9477308971387"
"ES6","55.3174705667847"
"RO2","55.1514189242749"
"EL4","54.165046224744"
"NL1","54.0890403504552"
"EL5","53.2253346017354"
"EL6","52.6303453489494"
"LU0","49.0010623249295"
"FI2","47.4397881557674"
