"size","max_diss","av_diss","diameter","separation"
7,2.44235674218657,1.31284394054719,3.29775254162701,1.15282944833257
1,0,0,0,3.10392213439003
5,1.67532887746634,1.00336191637095,2.36947385603486,1.15282944833257
3,2.03057401348114,1.13986879911729,2.73436350541781,1.82537518647105
12,2.24210527769329,1.42995966732733,5.57987339441565,1.35591813944499
13,2.47407439799394,1.21348378744925,6.46796838096909,1.06460452700661
12,2.30897595558341,1.37270159278114,6.70647498843785,1.06460452700661
2,0.768238958436648,0.384119479218324,0.768238958436648,1.59471592382972
5,1.47614438755006,0.764747825453511,2.15523684189337,1.3268062077033
4,1.55877438559305,1.13379100270671,2.51062552869465,1.72216989524547
4,1.43196157227526,1.02404350013767,2.30255970584796,1.53268851198134
4,1.52541656980071,0.951019634746926,1.6957513391014,1.35999350512384
2,1.86518539938316,0.932592699691582,1.86518539938316,2.06300303070468
8,1.64474438671939,1.0150911288179,2.52835227089849,1.34006598460016
1,0,0,0,3.0514740102124
2,1.78460523674713,0.892302618373564,1.78460523674713,2.42380435718868
1,0,0,0,3.34553582829738
1,0,0,0,2.46807853408151
3,1.59088153378717,0.802736298840205,1.66791112318762,2.10285424858764
6,1.57997137644278,0.938232547096106,1.89959129444201,1.35591813944499
2,0.996293615814107,0.498146807907053,0.996293615814107,2.18419274418926
