PC_UP95,AT31	: 	: 	10.2 e	7.7 e	7.2 e	5.7 e	8.3 e	6.6 e	6.4 e	: 	: 	: 	: 	: 
PC_UP95,AT32	: 	: 	12.0 e	6.7 e	7.3 e	6.7 e	7.6 e	7.5 e	7.2 e	: 	: 	: 	: 	: 
PC_UP95,AT33	: 	: 	12.0 e	5.6 e	8.2 e	7.0 e	5.8 e	6.0 e	11.5 e	: 	: 	: 	: 	: 
PC_UP95,AT34	: 	: 	10.5 e	7.5 e	7.7 e	8.9 e	7.9 e	6.2 e	8.9 e	: 	: 	: 	: 	: 
PC_Y_LT60,CY	: 	10.9 	9.7 	7.9 	6.4 	4.9 	4.8 	4.0 	4.5 b	3.7 	3.8 	4.4 	: 	: 
PC_Y_LT60,CZ	: 	6.8 	7.6 	6.9 	6.8 	6.6 	6.4 	6.0 	7.2 	8.6 	8.9 	8.8 	: 	: 
PC_Y_LT60,CZ01	: 	4.0 	5.7 	5.9 	4.5 	3.7 	2.3 	4.7 	2.7 	4.6 	4.7 	2.8 	: 	: 
PC_Y_LT60,CZ02	: 	4.2 	3.9 	4.6 	5.1 	5.5 	6.1 	5.1 	6.1 	7.8 	8.9 	5.1 	: 	: 
PC_Y_LT60,CZ03	: 	5.0 	5.8 	5.2 	4.8 	3.4 	4.5 	3.5 	5.0 	6.7 	5.7 	7.9 	: 	: 
PC_Y_LT60,CZ04	: 	14.0 	18.1 	14.0 	13.5 	14.1 	11.1 	9.6 	10.2 	13.6 	11.1 	14.9 	: 	: 
PC_Y_LT60,CZ05	: 	3.8 	6.2 	5.7 	6.4 	4.7 	4.6 	5.3 	7.3 	8.0 	7.2 	7.9 	: 	: 
PC_Y_LT60,CZ06	: 	4.5 	4.3 	3.2 	4.9 	5.3 	6.2 	4.1 	6.3 	5.9 	7.2 	6.0 	: 	: 
PC_Y_LT60,CZ07	: 	6.1 	6.2 	6.8 	7.1 	7.3 	6.8 	7.1 	7.9 	8.7 	8.8 	8.4 	: 	: 
PC_Y_LT60,CZ08	: 	15.3 	12.9 	12.1 	9.5 	9.7 	10.0 	9.2 	11.9 	14.5 	17.6 	18.3 	: 	: 
PC_Y_LT60,DE	: 	9.7 	9.9 	9.9 	9.8 	11.1 	11.1 	10.8 	11.6 	11.4 	13.5 	11.9 	: 	: 
PC_Y_LT60,DK	: 	11.1 	11.7 	11.4 	9.9 	10.3 	10.3 	8.5 	8.3 	9.9 	9.3 	9.9 	9.1 	9.5 
PC_Y_LT60,DK01	: 	13.2 	11.7 	12.5 	11.1 	10.3 	11.7 	11.8 	11.3 	10.4 	: 	: 	: 	: 
PC_Y_LT60,DK02	: 	11.0 	14.3 	10.7 	10.0 	8.3 	8.5 	7.4 	6.7 	5.6 	: 	: 	: 	: 
PC_Y_LT60,DK03	: 	9.2 	9.9 	8.8 	8.4 	12.9 	8.3 	6.5 	6.0 	6.2 	: 	: 	: 	: 
PC_Y_LT60,DK04	: 	9.1 	12.8 	13.8 	9.9 	9.6 	11.9 	7.6 	7.8 	7.4 	: 	: 	: 	: 
PC_Y_LT60,DK05	: 	14.1 	9.3 	8.5 	9.1 	7.8 	8.8 	7.7 	8.0 	7.0 	: 	: 	: 	: 
PC_Y_LT60,EE	: 	6.5 	7.5 b	8.4 	9.0 	9.9 	8.9 	5.6 	5.3 	6.2 	7.0 	9.4 	9.6 	: 
PC_Y_LT60,EL	: 	16.6 	17.0 	18.0 	14.1 	11.8 	7.5 	6.5 	7.4 	8.0 	8.0 	7.5 	7.4 	8.4 
PC_Y_LT60,EL3	: 	16.8 	17.0 	17.6 	13.6 	13.2 	6.8 	6.8 	8.0 	9.0 	9.2 	7.4 	7.6 	9.0 
PC_Y_LT60,EL4	: 	13.0 	13.5 	12.4 	9.9 	5.3 	6.5 	3.9 	3.9 	7.3 	6.0 	9.9 	5.6 	6.1 
PC_Y_LT60,EL5	: 	17.3 	17.7 	19.7 	14.8 	11.4 	7.4 	5.8 	7.3 	7.0 	6.7 	6.9 	7.6 	8.4 
PC_Y_LT60,EL6	: 	17.1 	17.8 	19.1 	15.8 	12.4 	9.2 	8.0 	8.0 	7.9 	8.7 	7.4 	7.5 	8.4 
PC_Y_LT60,ES	: 	15.4 	17.1 	15.7 	14.2 	13.3 	10.8 	7.6 	6.6 	6.8 	6.4 	6.9 	7.3 	: 
PC_Y_LT60,ES1	: 	14.7 	16.0 	14.3 	16.1 	12.3 	10.9 	7.9 	8.2 	8.6 	8.5 	9.7 	9.0 	: 
PC_Y_LT60,ES11	: 	13.8 	14.8 	14.2 	14.6 	11.8 	12.1 	7.9 	7.6 	7.5 	8.7 	9.7 	9.7 	: 
PC_Y_LT60,ES12	: 	16.4 	17.9 	16.5 	22.6 	12.8 	8.8 	8.7 	9.1 	12.3 	10.3 	11.5 	10.2 	: 
PC_Y_LT60,ES13	: 	15.5 	18.3 	11.1 	11.9 	13.6 	8.9 	6.8 	9.2 	6.6 	4.3 	6.6 	3.4 	: 
PC_Y_LT60,ES2	: 	10.7 	10.8 	11.2 	10.8 	8.6 	7.7 	4.4 	5.2 	5.2 	5.8 	6.0 	5.8 	: 
PC_Y_LT60,ES21	: 	14.3 	12.1 	13.0 	11.0 	9.7 	8.8 	5.5 	6.5 	6.2 	6.4 	7.3 	7.8 	: 
PC_Y_LT60,ES22	: 	7.1 	7.5 	7.9 	8.0 	5.0 	5.1 	3.8 	3.1 	3.6 	5.2 	4.7 	3.4 	: 
PC_Y_LT60,ES23	: 	10.4 	10.6 	10.4 	10.4 	13.1 	13.8 	5.1 	3.2 	7.3 	5.9 	4.3 	4.6 	: 
PC_Y_LT60,ES24	: 	6.8 	10.5 	10.2 	11.8 	7.5 	5.6 	2.6 	4.7 	4.0 	4.9 	4.9 	3.9 	: 
PC_Y_LT60,ES3	: 	10.4 	9.6 	9.3 	8.2 	7.9 	5.6 	5.1 	3.5 	4.5 	3.7 	3.9 	3.9 	: 
PC_Y_LT60,ES30	: 	10.4 	9.6 	9.3 	8.2 	7.9 	5.6 	5.1 	3.5 	4.5 	3.7 	3.9 	3.9 	: 
PC_Y_LT60,ES4	: 	16.7 	17.5 	16.5 	13.4 	11.8 	11.6 	7.9 	5.9 	6.1 	6.5 	7.3 	7.3 	: 
PC_Y_LT60,ES41	: 	16.4 	17.7 	12.7 	9.6 	8.1 	10.4 	8.3 	5.5 	5.8 	6.1 	7.4 	8.4 	: 
PC_Y_LT60,ES42	: 	15.6 	14.9 	19.8 	15.2 	14.8 	11.3 	6.0 	5.0 	5.1 	4.7 	5.1 	5.0 	: 
PC_Y_LT60,ES43	: 	19.3 	22.1 	17.8 	17.9 	14.0 	15.0 	10.6 	8.8 	8.4 	10.5 	11.0 	8.7 	: 
PC_Y_LT60,ES5	: 	12.1 	13.8 	12.7 	12.6 	12.9 	10.8 	6.4 	5.6 	5.4 	4.7 	4.7 	5.0 	: 
PC_Y_LT60,ES51	: 	8.8 	11.9 	10.8 	11.5 	11.6 	9.0 	5.6 	5.2 	5.3 	4.1 	4.7 	4.8 	: 
PC_Y_LT60,ES52	: 	18.1 	18.1 	16.8 	15.0 	14.6 	13.5 	7.8 	6.4 	5.8 	6.0 	5.2 	5.4 	: 
PC_Y_LT60,ES53	: 	8.4 	7.5 	7.1 	10.4 	13.1 	11.2 	5.0 	5.0 	4.4 	2.8 	2.0 	4.2 	: 
PC_Y_LT60,ES6	: 	23.3 	26.5 	24.0 	19.8 	19.2 	14.1 	10.9 	9.5 	10.6 	9.7 	10.3 	12.3 	: 
PC_Y_LT60,ES61	: 	24.8 	27.3 	25.2 	20.6 	20.1 	14.6 	11.4 	10.1 	11.5 	10.0 	10.7 	13.3 	: 
PC_Y_LT60,ES62	: 	16.1 	22.1 	17.3 	16.0 	14.5 	11.2 	7.6 	5.5 	5.0 	6.9 	7.2 	6.3 	: 
PC_Y_LT60,ES63	: 	10.0 	26.1 	24.7 	23.1 	17.2 	21.8 	25.3 	22.4 	13.3 	17.6 	19.8 	18.2 	: 
PC_Y_LT60,ES64	: 	14.5 	17.8 	20.5 	9.6 	17.8 	10.4 	13.6 	6.0 	11.6 	12.7 	: 	: 	: 
PC_Y_LT60,ES7	: 	20.8 	28.1 	22.7 	21.5 	19.9 	14.7 	11.9 	9.2 	6.3 	6.1 	8.1 	7.1 	: 
PC_Y_LT60,ES70	: 	20.8 	28.1 	22.7 	21.5 	19.9 	14.7 	11.9 	9.2 	6.3 	6.1 	8.1 	7.1 	: 
PC_Y_LT60,FI	: 	10.5 	9.8 	8.9 	9.1 	9.8 	9.1 	8.2 	7.3 	8.7 	8.9 	9.8 	9.3 	: 
PC_Y_LT60,FI1	: 	10.5 	9.8 	8.8 	9.1 	9.8 	9.1 	8.2 	7.4 	8.7 	8.9 	9.9 	9.3 	: 
PC_Y_LT60,FI13	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.8 	10.7 	13.2 	12.8 	: 
PC_Y_LT60,FI18	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.1 	8.7 	8.7 	8.6 	: 
PC_Y_LT60,FI19_20	: 	11.4 	9.2 	8.4 	9.1 	10.0 	8.1 	8.7 	6.7 	7.0 	8.9 	9.9 	9.4 	: 
PC_Y_LT60,FI1A	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.4 	8.1 	10.7 	8.7 	: 
PC_Y_LT60,FI1B	: 	8.5 	7.6 	6.4 	7.2 	7.9 	8.3 	5.9 	6.0 	: 	: 	: 	: 	: 
PC_Y_LT60,FI1C	: 	11.6 	10.4 	10.0 	10.1 	9.8 	9.6 	9.3 	8.3 	: 	: 	: 	: 	: 
PC_Y_LT60,FI1D	: 	11.3 	12.7 	11.5 	10.6 	12.1 	10.8 	9.6 	8.8 	: 	: 	: 	: 	: 
PC_Y_LT60,FI2	: 	10.5 	11.7 	14.6 	14.3 	8.4 	6.5 	4.5 	0.2 	0.0 	4.4 	4.2 	1.0 	: 
PC_Y_LT60,FR	: 	8.5 	9.6 	8.0 	8.4 	9.3 	9.8 	8.3 	8.8 	9.5 	9.1 	8.6 	10.2 	: 
PC_Y_LT60,HR	: 	14.4 	14.6 	14.7 	16.7 	15.9 	13.9 	: 	: 	: 	: 	: 	: 	: 
PC_Y_LT60,HU	8.1 	9.4 	12.7 	13.5 	13.4 	12.7 	11.8 	11.3 	12.0 	11.3 	13.0 	9.5 	: 	: 
PC_Y_LT60,HU1	7.0 	9.5 	12.8 	12.0 	10.7 	9.1 	8.1 	6.6 	7.4 	6.9 	7.0 	5.3 	: 	: 
PC_Y_LT60,HU2	7.0 	9.0 	11.3 	11.9 	12.3 	11.9 	10.4 	9.4 	9.2 	8.4 	11.4 	7.6 	: 	: 
PC_Y_LT60,HU3	9.9 	9.6 	13.7 	15.9 	16.1 	15.9 	15.6 	15.8 	17.2 	16.4 	18.4 	13.7 	: 	: 
PC_Y_LT60,IE	: 	18.9 	20.8 	23.7 	23.2 	24.1 	22.8 	19.8 	13.6 	14.2 	12.8 	14.6 	12.8 	11.4 
PC_Y_LT60,IE01	: 	18.3 	22.7 	28.9 	27.0 	27.6 	24.2 	24.4 	17.0 	19.1 	16.2 	18.7 	19.0 	14.7 
PC_Y_LT60,IE02	: 	19.2 	20.1 	21.9 	21.9 	22.9 	22.3 	18.2 	12.4 	12.5 	11.6 	13.1 	10.8 	10.3 
PC_Y_LT60,IS	: 	5.1 	4.8 	6.1 	6.0 	6.2 	5.6 	2.1 	2.6 	2.4 	2.8 	3.2 	3.6 	: 
PC_Y_LT60,IT	: 	11.7 	12.1 	11.3 	10.6 	10.5 	10.6 	9.2 	10.4 	10.2 	11.3 	11.0 	12.2 	: 
PC_Y_LT60,ITC	: 	6.0 	7.3 	6.6 	6.1 	6.6 	7.5 	6.3 	6.5 	7.5 	8.4 	6.8 	8.3 	: 
PC_Y_LT60,ITC1	: 	6.7 	7.2 	6.9 	8.3 	8.6 	8.2 	6.5 	6.7 	8.2 	9.1 	7.4 	8.9 	: 
PC_Y_LT60,ITC2	: 	6.6 	6.6 	9.5 	8.6 	6.3 	9.3 	3.6 	3.2 	4.9 	6.3 	7.8 	7.4 	: 
PC_Y_LT60,ITC3	: 	8.7 	10.0 	9.4 	7.6 	7.2 	9.5 	9.1 	12.3 	12.8 	12.5 	11.0 	12.4 	: 
PC_Y_LT60,ITC4	: 	5.3 	7.0 	6.0 	4.9 	5.7 	6.9 	5.8 	5.5 	6.5 	7.5 	5.9 	7.4 	: 
PC_Y_LT60,ITF	: 	17.4 	19.7 	17.1 	16.7 	15.5 	16.1 	14.2 	16.2 	14.3 	16.2 	16.7 	18.0 	: 
PC_Y_LT60,ITF1	: 	11.8 	11.6 	9.8 	10.5 	8.6 	10.2 	7.4 	9.5 	10.0 	8.8 	7.0 	8.0 	: 
PC_Y_LT60,ITF2	: 	11.3 	15.6 	18.0 	11.5 	15.0 	10.5 	11.2 	10.0 	10.4 	7.7 	7.2 	8.0 	: 
PC_Y_LT60,ITF3	: 	19.4 	22.8 	19.5 	18.6 	18.1 	18.1 	15.6 	19.9 	15.8 	18.0 	20.3 	21.0 	: 
PC_Y_LT60,ITF4	: 	17.7 	16.8 	14.8 	15.6 	13.3 	14.7 	13.3 	13.3 	12.8 	17.2 	14.8 	17.3 	: 
PC_Y_LT60,ITF5	: 	14.1 	19.6 	20.6 	15.0 	18.2 	16.0 	14.0 	12.9 	14.0 	13.4 	12.7 	11.1 	: 
PC_Y_LT60,ITF6	: 	16.5 	22.0 	17.9 	18.4 	15.6 	17.4 	16.8 	17.2 	16.2 	15.0 	18.6 	19.8 	: 
PC_Y_LT60,ITG	: 	26.1 	23.6 	22.7 	18.3 	19.8 	15.2 	15.9 	17.9 	17.6 	18.0 	19.0 	20.1 	: 
PC_Y_LT60,ITG1	: 	28.3 	24.9 	25.1 	19.1 	20.6 	16.1 	16.4 	18.8 	19.4 	19.5 	20.8 	22.4 	: 
PC_Y_LT60,ITG2	: 	19.1 	19.4 	15.2 	16.1 	17.5 	12.3 	14.1 	15.2 	12.2 	13.3 	13.8 	13.2 	: 
PC_Y_LT60,ITH	: 	6.1 	5.2 	6.1 	5.8 	5.9 	6.5 	4.6 	5.3 	5.6 	6.3 	5.9 	6.8 	: 
PC_Y_LT60,ITH1	: 	3.5 	2.4 	6.5 	2.9 	3.5 	6.2 	4.2 	5.3 	4.9 	4.3 	5.3 	7.4 	: 
PC_Y_LT60,ITH2	: 	5.1 	6.8 	3.4 	7.1 	6.8 	4.9 	3.2 	2.8 	2.9 	5.1 	3.7 	2.9 	: 
PC_Y_LT60,ITH3	: 	7.2 	5.5 	6.8 	5.4 	6.2 	6.9 	4.3 	5.4 	5.7 	6.6 	5.8 	7.0 	: 
PC_Y_LT60,ITH4	: 	7.8 	6.0 	5.8 	6.9 	5.6 	6.4 	5.8 	7.9 	8.5 	10.3 	9.1 	8.1 	: 
PC_Y_LT60,ITH5	: 	4.9 	4.9 	5.6 	6.1 	5.8 	6.2 	4.8 	4.8 	5.0 	5.1 	5.6 	6.5 	: 
PC_Y_LT60,ITI	: 	9.4 	9.0 	8.7 	9.1 	8.4 	8.9 	7.2 	8.5 	8.4 	9.6 	8.8 	10.2 	: 
PC_Y_LT60,ITI1	: 	7.1 	8.6 	8.5 	9.1 	9.3 	8.4 	6.6 	7.6 	6.1 	6.5 	7.3 	6.7 	: 
PC_Y_LT60,ITI2	: 	11.7 	10.6 	8.4 	8.4 	8.3 	7.4 	6.6 	7.5 	8.2 	9.4 	8.1 	9.8 	: 
PC_Y_LT60,ITI3	: 	9.1 	8.4 	8.2 	8.3 	6.9 	8.0 	5.8 	4.6 	6.9 	7.6 	8.4 	8.0 	: 
PC_Y_LT60,ITI4	: 	10.5 	9.1 	9.0 	9.4 	8.2 	9.6 	8.1 	10.3 	10.4 	12.1 	9.9 	13.0 	: 
PC_Y_LT60,LT	: 	9.2 	8.7 	10.9 	11.3 	12.6 	9.4 	7.2 	6.1 	6.4 	8.3 	9.5 	: 	: 
PC_Y_LT60,LU	: 	5.6 	6.1 	6.6 	6.1 	5.8 	5.5 	6.3 	4.7 	5.0 	5.2 	5.7 	6.2 	6.1 
PC_Y_LT60,LV	7.2 	7.8 	9.6 	9.9 	11.7 	12.5 	12.5 	7.4 	5.4 	6.2 	7.1 	8.3 	: 	: 
PC_Y_LT60,MK	: 	17.4 	17.2 	17.6 	19.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 
