unit,isced11,geo\time	2014 	2013 	2012 
PC_GDP,ED4,UK	: 	: z	: z
PC_GDP,ED4,US	: 	: 	: d
PC_GDP,ED44,AT	: 	: z	: z
PC_GDP,ED44,BG	: 	: z	: z
PC_GDP,ED44,CH	: d	: 	: 
PC_GDP,ED44,CY	: 	: z	: z
PC_GDP,ED44,CZ	: 	0.00 	0.00 
PC_GDP,ED44,DE	: 	0.04 	0.04 
PC_GDP,ED44,DK	: 	: z	: z
PC_GDP,ED44,EE	: 	: z	: z
PC_GDP,ED44,ES	: z	: z	: z
PC_GDP,ED44,EU28	: 	0.01 d	: d
PC_GDP,ED44,FI	: z	: z	: z
PC_GDP,ED44,FR	: 	0.00 	: d
PC_GDP,ED44,HR	: 	: z	: z
PC_GDP,ED44,HU	: 	: z	: z
PC_GDP,ED44,IE	: 	: z	: z
PC_GDP,ED44,IS	: 	: z	: z
PC_GDP,ED44,IT	: 	: z	: z
PC_GDP,ED44,JP	: 	: d	: 
PC_GDP,ED44,LI	: 	: z	: 
PC_GDP,ED44,LT	: z	: z	: z
PC_GDP,ED44,LU	: 	: z	: z
PC_GDP,ED44,LV	: 	: z	: z
PC_GDP,ED44,MT	0.01 	0.01 	0.00 
PC_GDP,ED44,NL	: z	: z	: z
PC_GDP,ED44,NO	: 	: z	: z
PC_GDP,ED44,PL	: 	: z	: z
PC_GDP,ED44,PT	: 	: z	: z
PC_GDP,ED44,RO	: 	: z	: z
PC_GDP,ED44,RS	: 	: d	: 
PC_GDP,ED44,SE	: 	0.02 	0.02 
PC_GDP,ED44,SI	: 	: z	: d
PC_GDP,ED44,SK	: z	: z	: z
PC_GDP,ED44,TR	: 	: z	: z
PC_GDP,ED44,UK	: 	: z	: z
PC_GDP,ED44,US	: 	: 	: z
PC_GDP,ED45,AT	: 	0.02 	0.02 
PC_GDP,ED45,BG	: 	0.01 	0.00 
PC_GDP,ED45,CH	: d	: 	: 
PC_GDP,ED45,CY	: 	: d	0.00 
PC_GDP,ED45,CZ	: 	0.00 	0.00 
PC_GDP,ED45,DE	: 	0.14 	0.13 
PC_GDP,ED45,DK	: 	: z	: z
PC_GDP,ED45,EE	: 	0.22 	0.26 
PC_GDP,ED45,ES	: d	: d	: 
PC_GDP,ED45,EU28	: 	0.06 d	: d
PC_GDP,ED45,FI	0.00 d	: d	: 
PC_GDP,ED45,FR	: 	0.02 	: d
PC_GDP,ED45,HR	: 	: z	: z
PC_GDP,ED45,HU	: 	0.11 	0.10 
PC_GDP,ED45,IE	: 	0.39 	0.40 
PC_GDP,ED45,IS	: 	0.06 	0.06 
PC_GDP,ED45,IT	: 	0.10 	0.12 
PC_GDP,ED45,JP	: 	: d	: 
PC_GDP,ED45,LI	: 	: z	: 
PC_GDP,ED45,LT	0.16 	0.19 	0.15 
PC_GDP,ED45,LU	: 	0.00 	0.00 
PC_GDP,ED45,LV	: 	0.03 	0.03 
PC_GDP,ED45,MT	0.20 	0.17 	0.10 
PC_GDP,ED45,NL	0.00 	0.00 	0.00 
PC_GDP,ED45,NO	: 	: d	: d
PC_GDP,ED45,PL	: 	0.03 	0.04 
PC_GDP,ED45,PT	: 	: d	: d
PC_GDP,ED45,RO	: 	0.03 	0.02 
PC_GDP,ED45,RS	: 	: d	: 
PC_GDP,ED45,SE	: 	0.03 	0.03 
PC_GDP,ED45,SI	: 	: z	: d
PC_GDP,ED45,SK	: 	0.05 	: d
PC_GDP,ED45,TR	: 	: z	: z
PC_GDP,ED45,UK	: 	: z	: z
PC_GDP,ED45,US	: 	: 	: d
PC_GDP,ED5-8,AT	: 	1.86 	1.89 
PC_GDP,ED5-8,BE	: 	1.49 	1.43 
PC_GDP,ED5-8,BG	: 	0.68 	0.66 
PC_GDP,ED5-8,CH	: 	1.40 	1.40 
PC_GDP,ED5-8,CY	: 	1.58 	1.17 
PC_GDP,ED5-8,CZ	: 	0.93 	1.05 
PC_GDP,ED5-8,DE	: 	1.35 	1.37 
PC_GDP,ED5-8,DK	: 	: d	2.25 
PC_GDP,ED5-8,EE	: 	1.39 	1.06 
PC_GDP,ED5-8,ES	0.96 	0.97 	1.02 
PC_GDP,ED5-8,EU28	: 	1.29 d	1.28 d
PC_GDP,ED5-8,FI	2.00 	2.11 	2.13 
PC_GDP,ED5-8,FR	: 	: 	1.27 
PC_GDP,ED5-8,HU	: 	0.93 	0.82 
PC_GDP,ED5-8,IE	: 	1.26 	1.32 
PC_GDP,ED5-8,IS	: 	1.59 	1.60 
PC_GDP,ED5-8,IT	: 	0.84 	0.81 
PC_GDP,ED5-8,JP	: 	0.79 	0.77 
PC_GDP,ED5-8,LI	: 	: d	: 
PC_GDP,ED5-8,LT	1.33 	1.34 	1.40 
PC_GDP,ED5-8,LU	: 	: 	0.45 
PC_GDP,ED5-8,LV	: 	0.66 	: 
PC_GDP,ED5-8,MT	1.46 	1.60 	1.50 
PC_GDP,ED5-8,NL	1.69 	1.75 	1.70 
PC_GDP,ED5-8,NO	: 	1.95 	: d
PC_GDP,ED5-8,PL	: 	1.22 	1.15 
PC_GDP,ED5-8,PT	: 	0.92 	: 
PC_GDP,ED5-8,RO	: 	0.73 	0.78 
PC_GDP,ED5-8,SE	: 	2.03 	2.01 
PC_GDP,ED5-8,SI	: 	1.15 	1.23 
PC_GDP,ED5-8,SK	: 	0.99 	: d
PC_GDP,ED5-8,TR	: 	1.59 	1.36 d
PC_GDP,ED5-8,UK	: 	1.56 	1.47 
PC_GDP,ED5-8,US	: 	: 	1.45 
PC_GDP,ED9,AT	: 	: z	: z
PC_GDP,ED9,BE	: 	0.14 	0.14 
PC_GDP,ED9,BG	: 	0.00 	0.00 
PC_GDP,ED9,CH	: 	0.09 	0.09 
PC_GDP,ED9,CY	: 	: z	0.00 
PC_GDP,ED9,CZ	: 	0.15 	0.16 
PC_GDP,ED9,DE	: 	0.08 	0.08 
PC_GDP,ED9,DK	: 	0.17 	0.17 
PC_GDP,ED9,EE	: 	: z	0.02 
PC_GDP,ED9,ES	0.00 	0.00 	0.00 
PC_GDP,ED9,EU28	: 	0.04 d	0.04 d
PC_GDP,ED9,FI	: z	: z	0.00 
PC_GDP,ED9,FR	: 	: z	: z
PC_GDP,ED9,HR	: 	0.20 	0.01 
PC_GDP,ED9,HU	: 	0.25 	0.22 
PC_GDP,ED9,IE	: 	: z	: z
PC_GDP,ED9,IS	: 	0.40 	0.39 
PC_GDP,ED9,IT	: 	: z	0.00 
PC_GDP,ED9,JP	: 	0.21 	0.21 
PC_GDP,ED9,LT	: z	: z	: z
PC_GDP,ED9,LU	: 	: z	: z
PC_GDP,ED9,LV	: 	: z	: z
PC_GDP,ED9,MT	1.27 	1.40 	: z
PC_GDP,ED9,NL	0.00 	0.00 	0.00 
PC_GDP,ED9,NO	: 	0.24 	0.23 
PC_GDP,ED9,PL	: 	: z	: z
PC_GDP,ED9,PT	: 	0.08 	0.11 
PC_GDP,ED9,RO	: 	0.38 	0.35 
PC_GDP,ED9,SE	: 	: z	: z
PC_GDP,ED9,SI	: 	0.01 	0.00 
PC_GDP,ED9,SK	: 	0.08 	0.10 
PC_GDP,ED9,TR	: 	: z	0.00 
PC_GDP,ED9,UK	: 	: z	0.00 
PC_GDP,ED9,US	: 	: 	: z
