unit,isced11,geo\time	2014 	2013 	2012 
PC_GDP,ED02-8,SE	: 	7.43 	7.38 
PC_GDP,ED02-8,SI	: 	5.22 	5.44 
PC_GDP,ED02-8,SK	: 	4.12 	3.05 
PC_GDP,ED02-8,TR	: 	: 	4.07 d
PC_GDP,ED02-8,UK	: 	: 	6.10 
PC_GDP,ED02-8,US	: 	: 	: d
PC_GDP,ED1,AT	: 	0.94 	0.88 
PC_GDP,ED1,BE	: 	1.59 	1.61 
PC_GDP,ED1,BG	: 	0.84 	0.69 
PC_GDP,ED1,CH	: 	1.58 	1.56 
PC_GDP,ED1,CY	: 	2.16 	2.18 
PC_GDP,ED1,CZ	: 	0.77 	0.75 
PC_GDP,ED1,DE	: 	0.65 	0.65 
PC_GDP,ED1,DK	: 	2.20 	2.23 
PC_GDP,ED1,EE	: 	1.51 	1.31 
PC_GDP,ED1,ES	1.12 	1.13 	1.15 
PC_GDP,ED1,EU28	: 	1.19 d	1.17 d
PC_GDP,ED1,FI	1.37 	1.40 	1.37 d
PC_GDP,ED1,FR	: 	1.17 	1.20 
PC_GDP,ED1,HU	: 	0.90 	0.75 
PC_GDP,ED1,IE	: 	2.12 	2.27 
PC_GDP,ED1,IS	: 	2.35 	2.33 
PC_GDP,ED1,IT	: 	1.05 	1.01 
PC_GDP,ED1,JP	: 	1.25 	1.28 
PC_GDP,ED1,LT	0.68 	0.71 	0.74 
PC_GDP,ED1,LU	: 	1.19 	1.43 
PC_GDP,ED1,LV	: 	1.01 	0.91 
PC_GDP,ED1,MT	1.59 	1.68 	1.54 
PC_GDP,ED1,NL	1.24 	1.42 	1.40 
PC_GDP,ED1,NO	: 	1.71 	1.66 
PC_GDP,ED1,PL	: 	1.52 	1.50 
PC_GDP,ED1,PT	: 	1.61 	1.44 
PC_GDP,ED1,RO	: 	0.51 	0.48 
PC_GDP,ED1,SE	: 	1.79 	1.75 
PC_GDP,ED1,SI	: 	1.56 	1.60 
PC_GDP,ED1,SK	: 	0.83 	0.75 
PC_GDP,ED1,TR	: 	0.98 	0.88 
PC_GDP,ED1,UK	: 	1.84 	1.83 
PC_GDP,ED1,US	: 	: 	1.58 
PC_GDP,ED1_2,AT	: 	2.21 	2.13 
PC_GDP,ED1_2,BE	: 	2.51 	2.54 
PC_GDP,ED1_2,BG	: 	1.67 	1.39 
PC_GDP,ED1_2,CH	: 	2.69 	2.67 
PC_GDP,ED1_2,CY	: 	3.53 	3.54 
PC_GDP,ED1_2,CZ	: 	1.70 	1.70 
PC_GDP,ED1_2,DE	: 	1.93 	1.94 
PC_GDP,ED1_2,DK	: 	3.38 	3.44 
PC_GDP,ED1_2,EE	: 	2.23 	2.07 
PC_GDP,ED1_2,ES	1.87 	1.89 	2.00 
PC_GDP,ED1_2,EU28	: 	2.24 d	2.18 d
PC_GDP,ED1_2,FI	2.46 	2.53 	2.50 d
PC_GDP,ED1_2,FR	: 	2.44 	2.48 
