unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
PC_LW95,AT	: 	: 	3.2 e	3.5 e	3.3 e	3.3 e	3.6 e	3.8 e	5.0 e	: 	: 	: 	: 	: 
PC_LW95,AT11	: 	: 	0.0 e	0.4 e	0.0 e	0.0 e	0.1 e	1.0 e	0.4 e	: 	: 	: 	: 	: 
PC_LW95,AT12	: 	: 	1.3 e	1.6 e	0.9 e	0.7 e	1.7 e	2.4 e	3.5 e	: 	: 	: 	: 	: 
PC_LW95,AT13	: 	: 	6.8 e	8.0 e	9.3 e	8.2 e	7.5 e	6.7 e	9.4 e	: 	: 	: 	: 	: 
PC_LW95,AT21	: 	: 	0.3 e	0.5 e	0.2 e	2.0 e	1.0 e	1.6 e	2.9 e	: 	: 	: 	: 	: 
PC_LW95,AT22	: 	: 	0.8 e	1.2 e	1.4 e	1.2 e	2.4 e	2.0 e	2.6 e	: 	: 	: 	: 	: 
PC_LW95,AT31	: 	: 	0.6 e	0.8 e	0.7 e	0.5 e	0.6 e	1.0 e	1.4 e	: 	: 	: 	: 	: 
PC_LW95,AT32	: 	: 	0.9 e	0.4 e	1.0 e	0.9 e	1.8 e	3.0 e	1.8 e	: 	: 	: 	: 	: 
PC_LW95,AT33	: 	: 	1.0 e	0.8 e	0.8 e	0.4 e	0.1 e	0.6 e	0.6 e	: 	: 	: 	: 	: 
PC_LW95,AT34	: 	: 	0.4 e	0.4 e	0.0 e	1.0 e	0.1 e	0.1 e	2.0 e	: 	: 	: 	: 	: 
PC_POP,DK	: 	3.7 	3.2 	3.6 	2.7 	2.3 	2.7 	2.3 	2.0 	3.3 	3.1 	3.2 	2.9 	2.0 
PC_POP,DK01	: 	3.0 	3.3 	3.5 	3.2 	3.7 	2.9 	2.7 	2.7 	4.4 	: 	: 	: 	: 
PC_POP,DK02	: 	2.8 	4.0 	4.8 	5.6 	3.0 	2.8 	1.4 	2.1 	3.9 	: 	: 	: 	: 
PC_POP,DK03	: 	3.5 	3.8 	2.7 	1.0 	1.4 	2.2 	2.9 	1.1 	2.4 	: 	: 	: 	: 
PC_POP,DK04	: 	5.0 	2.3 	4.0 	2.0 	2.0 	3.1 	2.0 	2.3 	3.0 	: 	: 	: 	: 
PC_POP,DK05	: 	3.9 	3.1 	3.4 	2.8 	0.3 	1.6 	1.3 	0.8 	1.8 	: 	: 	: 	: 
PC_POP,EE	: 	4.5 	6.2 b	7.6 	9.4 	8.7 	9.0 	6.2 	4.9 b	5.6 	7.0 	12.4 	9.4 	: 
PC_POP,EL	: 	22.2 	21.5 	20.3 	19.5 	15.2 	11.6 	11.0 	11.2 	11.5 	11.5 	12.8 	14.1 	16.9 
PC_POP,EL3	: 	20.9 	20.0 	20.7 	19.0 	14.9 	9.5 	9.5 	10.5 	9.5 	8.3 	9.7 	12.9 	13.3 
PC_POP,EL4	: 	23.7 	23.9 	16.7 	15.6 	10.3 	11.1 	12.2 	11.1 	13.4 	13.5 	15.2 	18.4 	18.0 
PC_POP,EL5	: 	20.2 	20.5 	21.0 	20.1 	16.7 	12.8 	11.7 	11.4 	12.0 	11.7 	13.9 	12.7 	18.2 
PC_POP,EL6	: 	25.7 	24.0 	20.4 	21.1 	15.8 	14.0 	12.0 	11.9 	13.1 	15.3 	15.7 	16.1 	21.0 
PC_POP,ES	: 	6.4 	7.1 	6.2 	5.8 	4.5 	4.9 	4.5 	3.6 	3.5 	4.1 	4.1 	4.8 	: 
PC_POP,ES1	: 	4.8 	5.1 	4.4 	3.6 	2.0 	3.2 	2.6 	2.4 	3.1 	3.4 	3.5 	4.2 	: 
PC_POP,ES11	: 	4.2 	5.5 	4.6 	4.1 	2.5 	4.4 	3.4 	3.0 	3.8 	3.7 	4.7 	5.4 	: 
PC_POP,ES12	: 	6.9 	5.1 	4.2 	3.3 	0.8 	1.1 	1.4 	1.6 	2.2 	2.8 	1.9 	2.4 	: 
PC_POP,ES13	: 	3.5 	3.5 	3.9 	2.3 	1.5 	1.5 	1.2 	1.0 	1.0 	3.2 	0.6 	1.9 	: 
PC_POP,ES2	: 	3.5 	4.2 	3.9 	2.8 	3.2 	2.5 	2.1 	1.9 	1.8 	1.4 	2.3 	1.3 	: 
PC_POP,ES21	: 	4.6 	4.8 	4.8 	2.1 	4.0 	2.1 	3.4 	2.8 	1.5 	1.5 	3.2 	1.3 	: 
PC_POP,ES22	: 	2.2 	1.2 	0.6 	4.1 	4.4 	2.5 	2.1 	1.5 	1.7 	2.3 	1.2 	0.4 	: 
