unit,worktime,isco08,isced11,mgstatus,time\geo	BE 	BG 	CZ 	DE 	EE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	NO 	CH 
THS_PER,NORM,TOTAL,TOTAL,NBO,2014	1824.3 	1536.5 	2158.4 	13604.6 	260.6 	809.6 	6186.7 	10625.9 	370.7 	8077.4 	134.4 	404.4 	616.2 	52.7 	1866.0 	68.2 	1526.9 	4796.5 	1664.7 	3018.4 	252.3 	843.2 	904.4 	2180.3 	9831.7 	1041.4 	1194.8 
THS_PER,NORM,TOTAL,TOTAL,NBO_IMG,2014	183.4 	: u	82.1 	690.5 	57.5 	6.8 	102.2 	1720.7 	38.2 	151.8 	3.6 	84.0 	37.0 	16.8 	23.2 	2.4 u	156.6 	101.7 	46.3 	: c	31.3 	15.4 	12.2 	270.1 	1112.9 	49.3 	287.1 
THS_PER,NORM,TOTAL,TOTAL,NBO_IMGFOR,2014	66.6 	: u	17.7 	366.2 	29.4 	3.4 u	19.4 	699.9 	14.5 u	3.8 u	: u	37.1 	9.4 	8.4 	3.0 u	: u	58.5 	36.7 	: u	: c	10.3 u	3.4 u	: c	70.7 	544.9 	7.3 	127.1 
THS_PER,NORM,TOTAL,TOTAL,NBO_IMGMIX,2014	116.8 	: u	64.4 	324.3 	28.1 	3.5 u	82.8 	1020.8 	23.7 u	148.0 	3.2 	46.9 	27.6 	8.4 	20.2 	1.8 u	98.1 	65.0 	39.4 	: c	21.0 	12.0 	11.7 	199.4 	568.0 	42.0 	159.9 
THS_PER,NORM,TOTAL,TOTAL,NBO_NAT,2014	1640.9 	1531.5 	2076.4 	12914.1 	203.1 	802.8 	6084.5 	8905.2 	332.5 	7925.6 	130.7 	320.4 	579.3 	35.9 	1842.8 	65.8 	1370.2 	4694.8 	1618.3 	3017.4 	221.0 	827.8 	892.2 	1910.2 	8718.8 	992.1 	907.7 
THS_PER,NORM,TOTAL,TOTAL,NRP,2014	: u	8.6 u	4.9 u	: 	: u	58.9 	: c	472.1 	: 	: 	: 	8.5 	4.8 u	2.9 u	: u	: 	: 	12.3 u	16.3 	17.5 	: 	: c	: u	: 	82.2 	: c	4.9 u
THS_PER,NORM,TOTAL,TOTAL,TOTAL,2014	2129.6 	1549.9 	2226.5 	15597.7 	289.7 	956.7 	7127.9 	12504.5 	398.7 	9301.1 	159.3 	454.4 	646.0 	120.5 	1907.7 	73.8 	1812.4 	4819.9 	1854.2 	3039.6 	271.5 	849.9 	956.6 	2612.3 	11515.4 	1238.4 	1675.3 
THS_PER,NORM,TOTAL,TOTAL,UNK,2014	: 	: 	: 	: 	: c	1.9 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: u	8.1 u	: u	2.6 u	: c
THS_PER,NRP,NRP,ED0-2,NRP,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
THS_PER,NRP,NRP,ED0-2,TOTAL,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
THS_PER,NRP,NRP,ED3_4,FBO,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
THS_PER,NRP,NRP,ED3_4,IMG,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: 	: 
