unit,worktime,isco08,isced11,mgstatus,time\geo	BE 	BG 	CZ 	DE 	EE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	NO 	CH 
THS_PER,ATYP,NRP,ED0-2,NBO,2014	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: c	: 	: c	: 	: 	: 	: c	: 	: 	: c	: 	: 	: u	: u	: 	: 
THS_PER,ATYP,NRP,ED0-2,NBO_NAT,2014	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: c	: 	: c	: 	: 	: 	: c	: 	: 	: c	: 	: 	: u	: u	: 	: 
THS_PER,ATYP,NRP,ED0-2,TOTAL,2014	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: c	: 	: c	: 	: 	: 	: c	: 	: 	: c	: 	: 	: u	: u	: 	: 
THS_PER,ATYP,NRP,ED3_4,FBO,2014	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: c	: c	: 	: 
THS_PER,ATYP,NRP,ED3_4,IMG,2014	: 	: 	: 	: 	: c	: 	: 	: c	: c	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: c	: c	: 	: 
THS_PER,ATYP,NRP,ED3_4,NBO,2014	: 	: 	: 	: 	: c	: 	: 	: u	: c	: 	: 	: c	: 	: c	: 	: 	: 	7.4 u	: 	: 	2.9 u	: 	: u	: u	: u	: 	: c
THS_PER,ATYP,NRP,ED3_4,NBO_IMG,2014	: 	: 	: 	: 	: c	: 	: 	: c	: c	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: c	: 	: 	: 
THS_PER,ATYP,NRP,ED3_4,NBO_IMGFOR,2014	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 
THS_PER,ATYP,NRP,ED3_4,NBO_IMGMIX,2014	: 	: 	: 	: 	: 	: 	: 	: c	: c	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 
THS_PER,ATYP,NRP,ED3_4,NBO_NAT,2014	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: c	: 	: c	: 	: 	: 	7.4 u	: 	: 	2.6 u	: 	: u	: u	: u	: 	: c
THS_PER,ATYP,NRP,ED3_4,NRP,2014	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,ATYP,NRP,ED3_4,TOTAL,2014	: 	: 	: 	: 	: c	: 	: 	: u	: c	: 	: 	: c	: 	: u	: 	: 	: 	7.4 u	: 	: 	3.2 u	: 	: u	: u	: u	: 	: c
THS_PER,ATYP,NRP,ED5-8,FBO,2014	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: c	: 	: u	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: c	: 	2.5 u
THS_PER,ATYP,NRP,ED5-8,IMG,2014	: 	: 	: 	: 	: c	: 	: 	: c	: c	: 	: 	: c	: 	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: c	: 	2.9 u
THS_PER,ATYP,NRP,ED5-8,NBO,2014	: 	: 	: 	: c	: u	: 	: 	: u	: 	: 	: 	: 	: 	: c	: 	: 	: 	: u	: 	: 	1.8 u	: 	: c	: u	: u	: 	2.7 u
THS_PER,ATYP,NRP,ED5-8,NBO_IMG,2014	: 	: 	: 	: 	: c	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: c
THS_PER,ATYP,NRP,ED5-8,NBO_IMGFOR,2014	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c
THS_PER,ATYP,NRP,ED5-8,NBO_IMGMIX,2014	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 
THS_PER,ATYP,NRP,ED5-8,NBO_NAT,2014	: 	: 	: 	: c	: c	: 	: 	: u	: 	: 	: 	: 	: 	: c	: 	: 	: 	: u	: 	: 	1.3 u	: 	: c	: u	: u	: 	: c
THS_PER,ATYP,NRP,ED5-8,TOTAL,2014	: 	: 	: 	: c	: u	: 	: 	: u	: c	: 	: 	: c	: 	: u	: 	: 	: 	: u	: 	: 	2.0 u	: 	: c	: u	: u	: 	5.2 
THS_PER,ATYP,NRP,NRP,FBO,2014	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
THS_PER,ATYP,NRP,NRP,IMG,2014	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
THS_PER,ATYP,NRP,NRP,NBO,2014	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
THS_PER,ATYP,NRP,NRP,NBO_IMG,2014	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,ATYP,NRP,NRP,NBO_IMGMIX,2014	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,ATYP,NRP,NRP,NBO_NAT,2014	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
THS_PER,ATYP,NRP,NRP,NRP,2014	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,ATYP,NRP,NRP,TOTAL,2014	: 	: 	: 	: 	: 	: 	: 	64.2 u	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
THS_PER,ATYP,NRP,TOTAL,FBO,2014	: 	: 	: 	: 	: c	: 	: 	: c	: c	: 	: 	: c	: 	: u	: 	: 	: 	: 	: 	: 	: c	: 	: 	: c	: u	: 	2.5 u
THS_PER,ATYP,NRP,TOTAL,IMG,2014	: 	: 	: 	: 	: c	: 	: 	: u	: c	: 	: 	: c	: 	: u	: 	: 	: 	: 	: 	: 	1.3 u	: 	: 	: c	: u	: 	2.9 u
THS_PER,ATYP,NRP,TOTAL,NBO,2014	: 	: 	: 	: u	: u	: 	: 	91.3 u	: c	: 	: 	: c	: 	: u	: 	: 	: 	13.0 u	: 	: 	5.0 u	: 	: u	9.4 u	21.8 	: 	3.3 u
THS_PER,ATYP,NRP,TOTAL,NBO_IMG,2014	: 	: 	: 	: 	: c	: 	: 	: u	: c	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: u	: 	: 	: c	: 	: 	: c
THS_PER,ATYP,NRP,TOTAL,NBO_IMGFOR,2014	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: c
THS_PER,ATYP,NRP,TOTAL,NBO_IMGMIX,2014	: 	: 	: 	: 	: 	: 	: 	: u	: c	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: c	: 	: 	: 
THS_PER,ATYP,NRP,TOTAL,NBO_NAT,2014	: 	: 	: 	: u	: c	: 	: 	76.5 u	: 	: 	: 	: c	: 	: u	: 	: 	: 	13.0 u	: 	: 	4.2 u	: 	: u	9.2 u	21.8 	: 	2.8 u
THS_PER,ATYP,NRP,TOTAL,NRP,2014	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,ATYP,NRP,TOTAL,TOTAL,2014	: 	: 	: 	: u	: u	: 	: 	109.0 	: c	: 	: 	: u	: 	: u	: 	: 	: 	13.0 u	: 	: 	5.5 u	: 	: u	10.0 u	28.7 	: 	5.7 
THS_PER,ATYP,OC0,ED0-2,FBO,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 
THS_PER,ATYP,OC0,ED0-2,IMG,2014	: c	: 	: 	: 	: 	: 	: c	: 	: c	: u	: 	: 	: 	: u	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 
THS_PER,ATYP,OC0,ED0-2,NBO,2014	: u	: c	: 	: u	: c	1.5 u	10.2 	: c	: c	35.1 	: 	: 	: 	: c	: c	: u	: c	: 	: u	: c	: 	: 	: 	: c	: u	1.3 u	: 
THS_PER,ATYP,OC0,ED0-2,NBO_IMG,2014	: c	: 	: 	: 	: 	: 	: c	: 	: c	: 	: 	: 	: 	: c	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,ATYP,OC0,ED0-2,NBO_IMGFOR,2014	: 	: 	: 	: 	: 	: 	: c	: 	: c	: 	: 	: 	: 	: c	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,ATYP,OC0,ED0-2,NBO_IMGMIX,2014	: c	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,ATYP,OC0,ED0-2,NBO_NAT,2014	: u	: c	: 	: u	: c	1.5 u	9.7 	: c	: c	35.1 	: 	: 	: 	: c	: c	: u	: c	: 	: u	: c	: 	: 	: 	: c	: u	1.3 u	: 
THS_PER,ATYP,OC0,ED0-2,NRP,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,ATYP,OC0,ED0-2,TOTAL,2014	: u	: c	: 	: u	: c	1.5 u	10.2 	: c	: c	36.3 	: 	: 	: 	: u	: c	: u	: c	: 	: u	: c	: 	: 	: 	: c	: u	2.0 u	: 
THS_PER,ATYP,OC0,ED3_4,FBO,2014	: c	: 	: c	: c	: 	: c	: c	: c	: c	: u	: u	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: c	: 	: u	: c	: 
THS_PER,ATYP,OC0,ED3_4,IMG,2014	: c	: 	: c	: u	: c	: u	: u	: u	: c	5.2 u	: u	: 	: 	: 	: 	: 	: c	: 	: c	: 	: c	: 	: c	: c	: u	1.1 u	: 
THS_PER,ATYP,OC0,ED3_4,NBO,2014	9.0 u	6.0 u	6.3 u	78.6 	: u	24.0 	14.9 	: u	6.1 u	102.0 	0.9 u	: u	: u	: c	6.5 	: u	5.6 u	39.8 	: u	18.9 	2.0 u	6.7 	: u	: u	23.1 	3.3 u	: 
THS_PER,ATYP,OC0,ED3_4,NBO_IMG,2014	: c	: 	: c	: c	: c	: c	: c	: u	: 	: u	: c	: 	: 	: 	: 	: 	: c	: 	: c	: 	: c	: 	: 	: c	: c	: c	: 
THS_PER,ATYP,OC0,ED3_4,NBO_IMGFOR,2014	: 	: 	: 	: 	: 	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: c	: 
THS_PER,ATYP,OC0,ED3_4,NBO_IMGMIX,2014	: c	: 	: c	: c	: c	: 	: 	: u	: 	: u	: c	: 	: 	: 	: 	: 	: c	: 	: c	: 	: 	: 	: 	: c	: c	: 	: 
THS_PER,ATYP,OC0,ED3_4,NBO_NAT,2014	7.9 u	6.0 u	6.1 u	77.2 	: u	23.8 	14.7 	: u	6.1 u	99.1 	0.8 u	: u	: u	: c	6.5 	: u	5.2 u	39.8 	: u	18.9 	1.9 u	6.7 	: u	: u	21.5 	3.0 u	: 
THS_PER,ATYP,OC0,ED3_4,NRP,2014	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: c	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,ATYP,OC0,ED3_4,TOTAL,2014	9.1 u	6.0 u	6.7 	83.6 	: u	25.5 	16.0 	: u	6.6 u	104.2 	1.3 u	: u	: u	: c	6.5 	: u	5.6 u	39.8 	7.8 	18.9 	2.0 u	6.7 	: u	: u	27.9 	4.1 u	: 
THS_PER,ATYP,OC0,ED5-8,FBO,2014	: c	: c	: c	: 	: 	: c	: c	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	1.1 u	: 
THS_PER,ATYP,OC0,ED5-8,IMG,2014	: c	: c	: c	: c	: c	: c	: c	: c	: 	: c	: u	: 	: c	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: u	1.5 u	: 
THS_PER,ATYP,OC0,ED5-8,NBO,2014	: u	: u	3.1 u	: u	: c	25.0 	17.4 	57.5 u	: u	15.7 	2.1 	: 	: u	: c	: u	: c	: u	14.5 u	: u	12.6 	1.2 u	: u	3.4 u	: u	16.4 u	5.8 	: 
THS_PER,ATYP,OC0,ED5-8,NBO_IMG,2014	: 	: 	: 	: c	: c	: 	: c	: c	: 	: c	: c	: 	: c	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: c	: 
THS_PER,ATYP,OC0,ED5-8,NBO_IMGFOR,2014	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: c	: 
THS_PER,ATYP,OC0,ED5-8,NBO_IMGMIX,2014	: 	: 	: 	: c	: c	: 	: c	: 	: 	: c	: c	: 	: 	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: c	: 
THS_PER,ATYP,OC0,ED5-8,NBO_NAT,2014	: u	: u	3.1 u	: u	: c	25.0 	16.8 	56.0 u	: u	15.6 	2.0 	: 	: u	: 	: u	: c	: u	14.5 u	: u	12.6 	: u	: u	3.4 u	: u	16.4 u	5.4 	: 
THS_PER,ATYP,OC0,ED5-8,NRP,2014	: 	: 	: 	: 	: 	1.3 u	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,ATYP,OC0,ED5-8,TOTAL,2014	: u	: u	3.4 u	: u	: c	26.5 	17.6 	57.5 u	: u	15.7 	2.4 	: 	: u	: c	: u	: c	: u	14.5 u	: u	12.6 	1.2 u	: u	3.4 u	: u	21.1 	6.9 	: 
THS_PER,ATYP,OC0,NRP,NBO,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
THS_PER,ATYP,OC0,NRP,NBO_NAT,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
THS_PER,ATYP,OC0,NRP,TOTAL,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
THS_PER,ATYP,OC0,NRP,UNK,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
THS_PER,ATYP,OC0,TOTAL,FBO,2014	: c	: c	: c	: c	: 	: u	: u	: c	: c	: u	0.6 u	: 	: 	: c	: 	: 	: 	: 	: c	: 	: 	: 	: c	: 	: u	2.6 u	: 
THS_PER,ATYP,OC0,TOTAL,IMG,2014	: u	: c	: c	: u	: c	: u	2.7 u	: u	: c	6.4 u	0.8 u	: 	: c	: u	: 	: 	: c	: 	: c	: 	: u	: 	: c	: c	11.1 u	3.3 u	: 
THS_PER,ATYP,OC0,TOTAL,NBO,2014	12.9 	7.6 u	9.5 	106.1 	: u	50.5 	42.5 	97.9 u	8.4 u	152.8 	3.0 	: u	: u	: u	8.9 	1.5 u	7.3 u	54.4 	12.9 	31.7 	3.2 u	8.4 	4.9 	12.9 u	48.2 	10.4 	: 
THS_PER,ATYP,OC0,TOTAL,NBO_IMG,2014	: u	: 	: c	: c	: c	: c	: u	: u	: c	: u	: c	: 	: c	: c	: 	: 	: c	: 	: c	: 	: u	: 	: 	: c	: c	: c	: 
THS_PER,ATYP,OC0,TOTAL,NBO_IMGFOR,2014	: 	: 	: 	: 	: 	: c	: c	: c	: c	: 	: 	: 	: c	: c	: 	: 	: c	: 	: 	: 	: c	: 	: 	: 	: 	: c	: 
THS_PER,ATYP,OC0,TOTAL,NBO_IMGMIX,2014	: u	: 	: c	: c	: c	: 	: c	: u	: 	: u	: c	: 	: 	: c	: 	: 	: c	: 	: c	: 	: c	: 	: 	: c	: c	: c	: 
THS_PER,ATYP,OC0,TOTAL,NBO_NAT,2014	11.1 	7.6 u	9.2 	100.4 	: u	50.3 	41.1 	91.6 u	8.3 u	149.8 	2.9 	: u	: u	: c	8.9 	1.5 u	6.7 u	54.4 	12.0 	31.7 	2.6 u	8.4 	4.9 	12.0 u	46.6 	9.7 	: 
THS_PER,ATYP,OC0,TOTAL,NRP,2014	: 	: 	: 	: 	: 	2.0 u	: 	: 	: 	: 	: 	: c	: c	: c	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,ATYP,OC0,TOTAL,TOTAL,2014	13.0 	7.8 u	10.1 	111.2 	: u	53.5 	43.8 	101.4 	9.0 u	156.2 	3.6 	: u	: u	: u	8.9 	1.5 u	7.3 u	54.4 	13.6 	31.7 	3.2 u	8.4 	5.1 	12.9 u	59.1 	13.0 	: 
THS_PER,ATYP,OC0,TOTAL,UNK,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
THS_PER,ATYP,OC1,ED0-2,FBO,2014	: u	: 	: 	: c	: 	: 	: c	: c	: 	: 	: 	: 	: 	: 	: 	: c	: c	: 	: c	: 	: 	: 	: c	: c	14.1 u	: c	2.2 u
THS_PER,ATYP,OC1,ED0-2,IMG,2014	: u	: 	: 	: c	: c	: 	: c	: u	: 	: c	: 	: 	: 	: c	: 	: c	: c	: 	: u	: 	: 	: 	: c	: c	26.7 	: c	4.5 u
THS_PER,ATYP,OC1,ED0-2,NBO,2014	7.4 u	: 	: c	: u	: c	: 	10.2 	: u	: 	5.8 u	: u	: 	: 	: c	: c	: u	: u	: c	11.6 	: 	: c	: 	: u	: u	158.8 	5.8 	4.2 u
THS_PER,ATYP,OC1,ED0-2,NBO_IMG,2014	: c	: 	: 	: 	: c	: 	: 	: u	: 	: c	: 	: 	: 	: c	: 	: 	: c	: 	: c	: 	: 	: 	: 	: 	12.6 u	: c	2.3 u
THS_PER,ATYP,OC1,ED0-2,NBO_IMGFOR,2014	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: u	: 	: c
THS_PER,ATYP,OC1,ED0-2,NBO_IMGMIX,2014	: 	: 	: 	: 	: c	: 	: 	: c	: 	: c	: 	: 	: 	: c	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: u	: c	: c
THS_PER,ATYP,OC1,ED0-2,NBO_NAT,2014	6.1 u	: 	: c	: u	: 	: 	10.2 	: u	: 	4.4 u	: u	: 	: 	: 	: c	: u	: u	: c	10.9 	: 	: c	: 	: u	: u	146.1 	5.6 	1.8 u
THS_PER,ATYP,OC1,ED0-2,NRP,2014	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
THS_PER,ATYP,OC1,ED0-2,TOTAL,2014	8.8 u	: 	: c	: u	: c	: 	10.7 	: u	: 	5.8 u	: u	: 	: 	: c	: c	: u	: u	: c	12.3 	: 	: c	: 	: u	: u	173.4 	6.4 	6.3 
THS_PER,ATYP,OC1,ED3_4,FBO,2014	: u	: 	: 	: u	: u	: c	: c	: u	: 	4.2 u	: c	: c	: c	: u	: c	: c	: u	: 	: u	: 	: u	: 	: 	: u	46.3 	3.2 u	11.3 
THS_PER,ATYP,OC1,ED3_4,IMG,2014	6.9 u	: 	1.4 u	: u	: u	: c	: c	: u	: 	5.2 u	: c	: u	: c	: u	: u	: c	7.9 u	: c	: u	: 	: u	: 	: 	: u	95.0 	5.4 	18.3 
THS_PER,ATYP,OC1,ED3_4,NBO,2014	31.2 	7.6 u	22.8 	357.4 	5.9 	3.4 u	14.5 	77.6 u	: u	27.9 	0.8 u	: u	5.0 u	: c	30.8 	1.8 u	35.4 	127.8 	16.9 	7.6 u	4.7 u	6.2 	2.5 u	17.7 	456.7 	25.7 	36.0 
THS_PER,ATYP,OC1,ED3_4,NBO_IMG,2014	: u	: 	1.4 u	: u	: u	: 	: 	: c	: 	: c	: 	: u	: 	: c	: c	: 	5.0 u	: c	: c	: 	: c	: 	: 	: u	48.7 	2.1 u	7.0 
THS_PER,ATYP,OC1,ED3_4,NBO_IMGFOR,2014	: c	: 	: c	: c	: c	: 	: 	: c	: 	: 	: 	: c	: 	: c	: c	: 	: u	: 	: c	: 	: c	: 	: 	: c	21.1 	: c	2.5 u
THS_PER,ATYP,OC1,ED3_4,NBO_IMGMIX,2014	: u	: 	1.2 u	: u	: u	: 	: 	: c	: 	: c	: 	: c	: 	: c	: c	: 	: u	: c	: c	: 	: c	: 	: 	: u	27.6 	1.9 u	4.4 u
THS_PER,ATYP,OC1,ED3_4,NBO_NAT,2014	26.4 	7.6 u	21.4 	340.0 	5.0 u	3.4 u	14.5 	73.2 u	: u	26.9 	0.8 u	: u	5.0 u	: c	30.4 	1.8 u	30.4 	126.9 	16.1 	7.6 u	4.6 u	6.2 	2.5 u	15.2 	408.0 	23.6 	29.0 
THS_PER,ATYP,OC1,ED3_4,NRP,2014	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: u	: 	: 
THS_PER,ATYP,OC1,ED3_4,TOTAL,2014	33.4 	7.6 u	22.8 	370.7 	6.6 	4.1 	14.8 	86.2 u	: u	32.1 	1.0 u	4.2 u	5.4 u	: u	30.9 	2.0 u	38.3 	127.8 	18.4 	7.6 u	5.5 u	6.2 	2.8 u	19.6 	510.2 	29.0 	47.3 
THS_PER,ATYP,OC1,ED3_4,UNK,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
THS_PER,ATYP,OC1,ED5-8,FBO,2014	12.9 	: 	2.0 u	: u	: u	: c	15.6 	: u	: 	: u	0.9 u	: u	: u	: u	: u	: u	8.6 u	: c	: u	: c	2.4 u	: c	: u	: u	137.5 	2.7 u	53.3 
THS_PER,ATYP,OC1,ED5-8,IMG,2014	19.0 	: 	5.0 u	: u	3.2 u	: c	17.9 	127.0 	: c	: u	0.9 u	: u	: u	2.0 u	: u	: u	14.6 	8.5 u	: u	: c	4.3 u	: u	: u	: u	209.0 	3.8 u	75.1 
THS_PER,ATYP,OC1,ED5-8,NBO,2014	89.3 	13.1 	29.5 	497.9 	10.2 	11.9 	132.6 	359.1 	6.1 u	60.6 	2.1 	4.8 u	15.9 	: u	32.1 	2.2 u	42.2 	229.0 	40.5 	27.2 	20.5 	19.8 	31.0 	29.0 	602.6 	29.4 	103.0 
THS_PER,ATYP,OC1,ED5-8,NBO_IMG,2014	6.2 u	: 	3.0 u	: u	: u	: 	: c	95.9 u	: c	: c	: c	: c	: c	: u	: u	: c	6.0 u	6.8 u	: c	: 	2.0 u	: c	: u	: u	71.6 	1.1 u	21.8 
THS_PER,ATYP,OC1,ED5-8,NBO_IMGFOR,2014	: c	: 	1.3 u	: c	: u	: 	: 	: u	: c	: 	: 	: 	: c	: c	: c	: c	: u	: c	: 	: 	: c	: 	: 	: c	26.7 	: c	9.3 
THS_PER,ATYP,OC1,ED5-8,NBO_IMGMIX,2014	5.9 u	: 	1.7 u	: u	: u	: 	: c	59.8 u	: c	: c	: c	: c	: c	: c	: c	: 	: u	6.1 u	: c	: 	1.6 u	: c	: u	: u	44.9 	: u	12.6 
THS_PER,ATYP,OC1,ED5-8,NBO_NAT,2014	83.1 	13.1 	26.4 	484.9 	8.1 	11.9 	130.3 	263.2 	5.5 u	59.3 	2.0 	4.5 u	15.2 	: u	31.2 	2.1 u	36.2 	222.2 	40.4 	27.2 	18.5 	18.9 	30.2 	27.0 	531.1 	28.3 	81.2 
THS_PER,ATYP,OC1,ED5-8,NRP,2014	: 	: 	: 	: 	: 	: c	: 	: u	: 	: 	: 	: c	: 	: c	: 	: 	: 	: c	: c	: 	: 	: 	: 	: 	: u	: 	: c
THS_PER,ATYP,OC1,ED5-8,TOTAL,2014	102.2 	13.1 	31.5 	530.6 	11.3 	12.9 	148.2 	405.6 	6.1 u	61.9 	2.9 	6.0 u	16.8 	2.4 u	33.5 	3.1 	50.8 	231.2 	45.4 	28.0 	22.9 	20.4 	32.1 	32.2 	743.3 	32.1 	157.9 
THS_PER,ATYP,OC1,ED5-8,UNK,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c
THS_PER,ATYP,OC1,NRP,FBO,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: c	: c
THS_PER,ATYP,OC1,NRP,IMG,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: c	: c
THS_PER,ATYP,OC1,NRP,NBO,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.7 u	: 	: c
THS_PER,ATYP,OC1,NRP,NBO_IMG,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
THS_PER,ATYP,OC1,NRP,NBO_IMGMIX,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
THS_PER,ATYP,OC1,NRP,NBO_NAT,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.1 u	: 	: c
THS_PER,ATYP,OC1,NRP,NRP,2014	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
