unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
AVG,EL5	: 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 
AVG,EL6	: 	1.2 	1.3 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.1 	1.2 	1.2 	1.2 
AVG,ES	: 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 b	1.9 	1.9 	1.8 	1.7 	1.5 	: 
AVG,ES1	: 	2.1 	2.1 	2.1 	2.1 	2.0 	2.0 	2.0 	2.0 	2.0 	1.9 	1.9 	1.5 	: 
AVG,ES11	: 	2.2 	2.1 	2.1 	2.1 	2.0 	2.0 	2.0 	2.0 	2.0 	1.9 	1.8 	1.5 	: 
AVG,ES12	: 	2.1 	2.1 	2.1 	2.0 	2.0 	2.1 	2.0 	2.0 	2.0 	1.9 	1.9 	1.6 	: 
AVG,ES13	: 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	1.9 	1.9 	1.9 	1.8 	1.6 	: 
AVG,ES2	: 	2.0 	2.1 	2.0 	2.1 	2.0 	2.0 	2.0 	2.0 	1.9 	1.9 	1.8 	1.6 	: 
AVG,ES21	: 	2.0 	2.0 	2.0 	2.1 	2.0 	2.0 	1.9 	1.9 	1.9 	1.9 	1.8 	1.5 	: 
AVG,ES22	: 	2.1 	1.9 	2.0 	2.1 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	1.9 	1.6 	: 
AVG,ES23	: 	2.1 	2.1 	2.1 	2.1 	2.0 	2.0 	1.9 	2.0 	2.0 	1.9 	1.9 	1.6 	: 
AVG,ES24	: 	2.0 	2.1 	2.1 	2.1 	2.0 	2.1 	2.1 	2.0 	1.9 	1.9 	1.9 	1.6 	: 
AVG,ES3	: 	1.7 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.7 	1.7 	1.6 	1.4 	: 
AVG,ES30	: 	1.7 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.7 	1.7 	1.6 	1.4 	: 
AVG,ES4	: 	2.1 	2.1 	2.0 	2.1 	2.0 	2.1 	2.0 	2.0 	2.0 	2.0 	1.9 	1.6 	: 
AVG,ES41	: 	2.2 	2.2 	2.2 	2.2 	2.2 	2.1 	2.1 	2.1 	2.1 	2.0 	2.0 	1.7 	: 
AVG,ES42	: 	2.0 	2.0 	1.9 	1.9 	1.9 	2.0 	2.0 	2.0 	2.0 	2.0 	1.9 	1.6 	: 
