unit,iscedf13,isced11,sex,geo\time	2015 	2014 	2013 
NR,F00,ED45,M,LU	0 	: 	: 
NR,F00,ED45,M,LV	0 	: 	: 
NR,F00,ED45,M,MK	0 	: 	: 
NR,F00,ED45,M,MT	0 	: 	: 
NR,F00,ED45,M,NL	: z	: 	: 
NR,F00,ED45,M,NO	0 	: 	: 
NR,F00,ED45,M,PL	0 	: 	: 
NR,F00,ED45,M,PT	0 	: 	: 
NR,F00,ED45,M,RO	0 	: 	: 
NR,F00,ED45,M,SE	145 	: 	: 
NR,F00,ED45,M,SI	: z	: 	: 
NR,F00,ED45,M,SK	0 	: 	: 
NR,F00,ED45,M,UK	: z	: 	: 
NR,F00,ED45,T,AT	0 	: 	: 
NR,F00,ED45,T,BE	521 	: 	: 
NR,F00,ED45,T,BG	0 	: 	: 
NR,F00,ED45,T,CH	614 	: 	: 
NR,F00,ED45,T,CY	0 	: 	: 
NR,F00,ED45,T,CZ	: d	: 	: 
NR,F00,ED45,T,DE	0 	0 	0 
NR,F00,ED45,T,DK	: z	: 	: 
NR,F00,ED45,T,EE	0 	: 	: 
NR,F00,ED45,T,ES	0 	: 	: 
NR,F00,ED45,T,FI	0 	: 	: 
NR,F00,ED45,T,FR	0 	: 	: 
NR,F00,ED45,T,HR	: z	: 	: 
NR,F00,ED45,T,HU	0 	: 	: 
NR,F00,ED45,T,LI	: z	: 	: 
NR,F00,ED45,T,LT	0 	: 	: 
NR,F00,ED45,T,LU	0 	: 	: 
NR,F00,ED45,T,LV	0 	: 	: 
NR,F00,ED45,T,MK	0 	: 	: 
NR,F00,ED45,T,MT	0 	: 	: 
NR,F00,ED45,T,NL	: z	: 	: 
NR,F00,ED45,T,NO	0 	: 	: 
NR,F00,ED45,T,PL	0 	: 	: 
NR,F00,ED45,T,PT	0 	: 	: 
NR,F00,ED45,T,RO	0 	: 	: 
NR,F00,ED45,T,SE	195 	: 	: 
NR,F00,ED45,T,SI	: z	: 	: 
NR,F00,ED45,T,SK	0 	: 	: 
NR,F00,ED45,T,UK	: z	: 	: 
NR,F00,ED5,F,AT	18 	: 	: 
NR,F00,ED5,F,BE	0 	: 	: 
NR,F00,ED5,F,BG	: z	: 	: 
NR,F00,ED5,F,CH	0 	: 	: 
NR,F00,ED5,F,CY	0 	: 	: 
NR,F00,ED5,F,CZ	0 	: 	: 
NR,F00,ED5,F,DE	0 	0 	0 
NR,F00,ED5,F,DK	0 	: 	: 
NR,F00,ED5,F,EE	: z	: 	: 
NR,F00,ED5,F,ES	0 	: 	: 
NR,F00,ED5,F,FI	: z	: 	: 
NR,F00,ED5,F,FR	0 	: 	: 
NR,F00,ED5,F,HR	0 	: 	: 
NR,F00,ED5,F,HU	0 	: 	: 
NR,F00,ED5,F,LI	: z	: 	: 
NR,F00,ED5,F,LT	: z	: 	: 
NR,F00,ED5,F,LU	0 	: 	: 
NR,F00,ED5,F,LV	0 	: 	: 
NR,F00,ED5,F,MK	: z	: 	: 
NR,F00,ED5,F,MT	0 	: 	: 
NR,F00,ED5,F,NL	0 	: 	: 
NR,F00,ED5,F,NO	0 	: 	: 
NR,F00,ED5,F,PL	0 	: 	: 
NR,F00,ED5,F,PT	0 	: 	: 
NR,F00,ED5,F,RO	: z	: 	: 
NR,F00,ED5,F,RS	: z	: 	: 
NR,F00,ED5,F,SE	0 	: 	: 
NR,F00,ED5,F,SI	0 	: 	: 
NR,F00,ED5,F,SK	0 	: 	: 
NR,F00,ED5,F,UK	13415 	: 	: 
NR,F00,ED5,M,AT	29 	: 	: 
NR,F00,ED5,M,BE	0 	: 	: 
NR,F00,ED5,M,BG	: z	: 	: 
NR,F00,ED5,M,CH	0 	: 	: 
NR,F00,ED5,M,CY	0 	: 	: 
NR,F00,ED5,M,CZ	0 	: 	: 
NR,F00,ED5,M,DE	0 	0 	0 
NR,F00,ED5,M,DK	0 	: 	: 
NR,F00,ED5,M,EE	: z	: 	: 
NR,F00,ED5,M,ES	0 	: 	: 
NR,F00,ED5,M,FI	: z	: 	: 
NR,F00,ED5,M,FR	0 	: 	: 
NR,F00,ED5,M,HR	0 	: 	: 
NR,F00,ED5,M,HU	0 	: 	: 
NR,F00,ED5,M,LI	: z	: 	: 
NR,F00,ED5,M,LT	: z	: 	: 
NR,F00,ED5,M,LU	0 	: 	: 
NR,F00,ED5,M,LV	0 	: 	: 
NR,F00,ED5,M,MK	: z	: 	: 
NR,F00,ED5,M,MT	0 	: 	: 
