unit,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
PCH_PRE,DE5	0.8 	-0.7 	2.7 	2.4 	4.6 	-9.3 	0.3 	1.8 	4.3 	0.9 	0.3 	1.0 	1.9 	2.0 	4.7 
PCH_PRE,DE50	0.8 	-0.7 	2.7 	2.4 	4.6 	-9.3 	0.3 	1.8 	4.3 	0.9 	0.3 	1.0 	1.9 	2.0 	4.7 
PCH_PRE,DE6	0.8 	2.4 	0.1 	0.7 	1.3 	-4.7 	3.3 	2.1 	1.8 	1.6 	0.4 	-2.1 	0.7 	5.4 	2.7 
PCH_PRE,DE60	0.8 	2.4 	0.1 	0.7 	1.3 	-4.7 	3.3 	2.1 	1.8 	1.6 	0.4 	-2.1 	0.7 	5.4 	2.7 
PCH_PRE,DE7	2.4 	0.3 	-0.6 	2.9 	3.1 	-7.6 	0.8 	2.8 	3.2 	0.3 	-0.1 	0.5 	-1.4 	2.4 	3.6 
PCH_PRE,DE8	1.0 	0.5 	-0.8 	1.9 	-0.2 	-0.7 	1.6 	4.4 	1.7 	-0.1 	1.1 	-0.1 	0.8 	-0.8 	0.4 
PCH_PRE,DE80	1.0 	0.5 	-0.8 	1.9 	-0.2 	-0.7 	1.6 	4.4 	1.7 	-0.1 	1.1 	-0.1 	0.8 	-0.8 	0.4 
PCH_PRE,DE9	1.0 	-1.1 	0.2 	4.4 	5.0 	-5.1 	1.8 	3.0 	3.7 	1.3 	1.7 	-0.5 	-1.6 	-0.3 	2.8 
PCH_PRE,DEA	1.8 	0.2 	0.2 	2.7 	2.5 	-5.3 	1.4 	4.0 	2.9 	0.5 	1.4 	-1.2 	0.4 	1.3 	2.4 
PCH_PRE,DEB	0.8 	0.1 	0.6 	3.3 	4.9 	-4.7 	0.6 	2.7 	3.5 	0.0 	2.6 	-0.4 	1.2 	-1.3 	2.2 
PCH_PRE,DEC	1.3 	-1.7 	-0.8 	4.6 	5.2 	-10.6 	0.3 	2.3 	3.0 	3.5 	3.1 	-0.3 	-1.3 	2.0 	4.4 
