unit,na_item,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
EUR_HAB,B5N,BG32	: 	2700.00 	2600.00 	2600.00 	2200.00 	2000.00 	2300.00 	2000.00 	1900.00 	1700.00 	1400.00 	1300.00 	1400.00 	1100.00 	900.00 
EUR_HAB,B5N,BG33	: 	3300.00 	3100.00 	2800.00 	2500.00 	2200.00 	2300.00 	2000.00 	1900.00 	1700.00 	1600.00 	1400.00 	1200.00 	1100.00 	1000.00 
EUR_HAB,B5N,BG34	: 	2900.00 	2900.00 	3100.00 	2600.00 	2300.00 	2600.00 	2100.00 	2000.00 	1700.00 	1600.00 	1500.00 	1300.00 	1100.00 	1000.00 
EUR_HAB,B5N,BG4	: 	3500.00 	3500.00 	3400.00 	3100.00 	3200.00 	3300.00 	2700.00 	2200.00 	2000.00 	1800.00 	1600.00 	1500.00 	1400.00 	1200.00 
EUR_HAB,B5N,BG41	: 	3900.00 	3900.00 	3800.00 	3500.00 	4000.00 	4000.00 	3200.00 	2600.00 	2300.00 	2100.00 	1900.00 	1800.00 	1700.00 	1400.00 
EUR_HAB,B5N,BG42	: 	2900.00 	2700.00 	2800.00 	2400.00 	2200.00 	2400.00 	2000.00 	1700.00 	1600.00 	1400.00 	1300.00 	1100.00 	1100.00 	1000.00 
EUR_HAB,B5N,CY	: 	12300.00 	13500.00 	14100.00 	14300.00 	14400.00 	15100.00 	14000.00 	13000.00 	12200.00 	11400.00 	10300.00 	9900.00 	10100.00 	9400.00 
EUR_HAB,B5N,CY0	: 	12300.00 	13500.00 	14100.00 	14300.00 	14400.00 	15100.00 	14000.00 	13000.00 	12200.00 	11400.00 	10300.00 	9900.00 	10100.00 	9400.00 
EUR_HAB,B5N,CY00	: 	12300.00 	13500.00 	14100.00 	14300.00 	14400.00 	15100.00 	14000.00 	13000.00 	12200.00 	11400.00 	10300.00 	9900.00 	10100.00 	9400.00 
EUR_HAB,B5N,CZ	: 	8600.00 	8800.00 	9000.00 	8600.00 	8200.00 	8800.00 	7600.00 	7000.00 	6200.00 	5500.00 	5200.00 	5100.00 	4400.00 	3900.00 
EUR_HAB,B5N,CZ0	: 	8600.00 	8800.00 	9000.00 	8600.00 	8200.00 	8800.00 	7600.00 	7000.00 	6200.00 	5500.00 	5200.00 	5100.00 	4400.00 	3900.00 
EUR_HAB,B5N,CZ01	: 	11900.00 	12100.00 	12600.00 	12300.00 	11300.00 	12300.00 	10800.00 	10200.00 	9000.00 	8000.00 	7600.00 	7300.00 	6100.00 	5300.00 
EUR_HAB,B5N,CZ02	: 	9500.00 	10000.00 	10000.00 	9600.00 	9000.00 	9400.00 	8300.00 	7600.00 	6700.00 	6000.00 	5800.00 	5600.00 	4600.00 	4100.00 
EUR_HAB,B5N,CZ03	: 	8400.00 	8600.00 	8700.00 	8300.00 	8100.00 	8800.00 	7500.00 	6900.00 	6200.00 	5500.00 	5100.00 	5000.00 	4400.00 	3900.00 
EUR_HAB,B5N,CZ04	: 	7400.00 	7500.00 	7900.00 	7500.00 	7200.00 	7600.00 	6500.00 	6200.00 	5500.00 	4900.00 	4700.00 	4600.00 	4100.00 	3700.00 
EUR_HAB,B5N,CZ05	: 	8000.00 	8200.00 	8200.00 	7900.00 	7600.00 	8100.00 	7000.00 	6500.00 	5900.00 	5100.00 	4800.00 	4900.00 	4200.00 	3700.00 
