nace_r2,sizeclas,isco08,indic_em,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
A,GE10,OC1,JOBRATE,HU10	0.3 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBRATE,HU2	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBRATE,HU21	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBRATE,HU22	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBRATE,HU23	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBRATE,HU3	0.1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBRATE,HU31	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBRATE,HU32	0.1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBRATE,HU33	0.1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBRATE,LV	: 	0.3 	0.1 	0 	0 	0 	0.1 	: 
A,GE10,OC1,JOBRATE,LV0	0.3 	0.3 	: 	: 	0 	0 	0.1 	: 
A,GE10,OC1,JOBRATE,LV00	: 	: 	: 	: 	0 	0 	0.1 	: 
A,GE10,OC1,JOBVAC,HU	2 p	3 p	: c	: c	2 p	3 p	3 p	: 
A,GE10,OC1,JOBVAC,HU1	1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBVAC,HU10	1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBVAC,HU2	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBVAC,HU21	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBVAC,HU22	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBVAC,HU23	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBVAC,HU3	1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBVAC,HU31	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBVAC,HU32	1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBVAC,HU33	1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC1,JOBVAC,LV	: 	3 	1 	0 	0 	0 	2 	: 
A,GE10,OC1,JOBVAC,LV0	3 	3 	: 	: 	0 	0 	2 	: 
A,GE10,OC1,JOBVAC,LV00	: 	: 	: 	: 	0 	0 	2 	: 
A,GE10,OC2,CH_Y_Y,HU	-0.4 p	-0.1 p	0.8 p	-0.1 p	0 p	0.1 p	: 	: 
A,GE10,OC2,CH_Y_Y,LV	: 	0.3 	0.1 	0 	0 	-0.2 	: 	: 
A,GE10,OC2,CH_Y_Y,LV0	0 	0.4 	: 	: 	0 	-0.2 	: 	: 
A,GE10,OC2,CH_Y_Y,LV00	: 	: 	: 	: 	0 	-0.2 	: 	: 
A,GE10,OC2,JOBOCC,HU	3078 p	: c	2856 p	3148 p	: c	: c	: c	: 
A,GE10,OC2,JOBOCC,HU1	269 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBOCC,HU10	269 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBOCC,HU2	1252 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBOCC,HU21	381 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBOCC,HU22	391 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBOCC,HU23	478 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBOCC,HU3	1558 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBOCC,HU31	330 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBOCC,HU32	590 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBOCC,HU33	638 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBOCC,LV	: 	1490 	1553 	1614 	1530 	1542 	1709 	: 
A,GE10,OC2,JOBOCC,LV0	1520 	1490 	: 	: 	1530 	1542 	1709 	: 
A,GE10,OC2,JOBOCC,LV00	: 	: 	: 	: 	1530 	1542 	1709 	: 
A,GE10,OC2,JOBRATE,HU	0.4 p	0.8 p	0.9 p	0.1 p	0.2 p	0.2 p	0.1 p	: 
A,GE10,OC2,JOBRATE,HU1	0.7 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBRATE,HU10	0.7 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBRATE,HU2	0.3 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBRATE,HU21	0.5 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBRATE,HU22	0.3 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBRATE,HU23	0.4 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBRATE,HU3	0.4 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBRATE,HU31	0.6 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBRATE,HU32	0.5 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBRATE,HU33	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBRATE,LV	: 	0.5 	0.2 	0.1 	0.1 	0.1 	0.3 	: 
A,GE10,OC2,JOBRATE,LV0	0.5 	0.5 	: 	: 	0.1 	0.1 	0.3 	: 
A,GE10,OC2,JOBRATE,LV00	: 	: 	: 	: 	0.1 	0.1 	0.3 	: 
A,GE10,OC2,JOBVAC,HU	11 p	24 p	: c	: c	7 p	5 p	3 p	: 
A,GE10,OC2,JOBVAC,HU1	2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBVAC,HU10	2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBVAC,HU2	4 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBVAC,HU21	2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBVAC,HU22	1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBVAC,HU23	2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBVAC,HU3	6 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBVAC,HU31	2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBVAC,HU32	3 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBVAC,HU33	1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC2,JOBVAC,LV	: 	8 	3 	2 	1 	2 	5 	: 
A,GE10,OC2,JOBVAC,LV0	7 	8 	: 	: 	1 	2 	5 	: 
A,GE10,OC2,JOBVAC,LV00	: 	: 	: 	: 	1 	2 	5 	: 
A,GE10,OC3,CH_Y_Y,HU	-0.2 p	0.2 p	-0.2 p	0.4 p	0 p	0 p	: 	: 
A,GE10,OC3,CH_Y_Y,LV	: 	-0.1 	0.4 	0 	0.1 	-0.2 	: 	: 
A,GE10,OC3,CH_Y_Y,LV0	0 	0.3 	: 	: 	0.1 	-0.2 	: 	: 
A,GE10,OC3,CH_Y_Y,LV00	: 	: 	: 	: 	0.1 	-0.2 	: 	: 
