nace_r2,sizeclas,isco08,indic_em,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
A,TOTAL,OC3,CH_Y_Y,LV00	: 	: 	: 	: 	0.1 	-0.1 	: 	: 
A,TOTAL,OC3,JOBOCC,HU	6079 p	: c	5073 p	5417 p	: c	: c	: c	: 
A,TOTAL,OC3,JOBOCC,HU1	550 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBOCC,HU10	550 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBOCC,HU2	2498 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBOCC,HU21	823 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBOCC,HU22	847 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBOCC,HU23	828 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBOCC,HU3	3031 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBOCC,HU31	718 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBOCC,HU32	1138 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBOCC,HU33	1175 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBOCC,LV	: 	2341 	1927 	2277 	1609 	1762 	1803 	: 
A,TOTAL,OC3,JOBOCC,LV0	2147 	2341 	: 	: 	1609 	1762 	1803 	: 
A,TOTAL,OC3,JOBOCC,LV00	: 	: 	: 	: 	1609 	1762 	1803 	: 
A,TOTAL,OC3,JOBRATE,HU	0.4 p	0.5 p	0.3 p	0.5 p	0.1 p	0.1 p	0.1 p	: 
A,TOTAL,OC3,JOBRATE,HU1	0.4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBRATE,HU10	0.4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBRATE,HU2	0.4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBRATE,HU21	0.5 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBRATE,HU22	0.5 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBRATE,HU23	0.4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBRATE,HU3	0.4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBRATE,HU31	0.6 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBRATE,HU32	0.4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBRATE,HU33	0.3 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBRATE,LV	: 	0.3 	0.4 	0.1 	0.1 	0 	0.1 	: 
A,TOTAL,OC3,JOBRATE,LV0	0.3 	0.3 	: 	: 	0.1 	0 	0.1 	: 
A,TOTAL,OC3,JOBRATE,LV00	: 	: 	: 	: 	0.1 	0 	0.1 	: 
A,TOTAL,OC3,JOBVAC,HU	24 p	29 p	: c	: c	6 p	4 p	6 p	: 
A,TOTAL,OC3,JOBVAC,HU1	2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBVAC,HU10	2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBVAC,HU2	11 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBVAC,HU21	4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBVAC,HU22	4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBVAC,HU23	3 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBVAC,HU3	12 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBVAC,HU31	4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBVAC,HU32	4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBVAC,HU33	4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC3,JOBVAC,LV	: 	7 	7 	3 	1 	0 	2 	: 
A,TOTAL,OC3,JOBVAC,LV0	6 	7 	: 	: 	1 	0 	2 	: 
A,TOTAL,OC3,JOBVAC,LV00	: 	: 	: 	: 	1 	0 	2 	: 
A,TOTAL,OC4,CH_Y_Y,HU	-0.1 p	0 p	0.1 p	0.2 p	-0.2 p	0.1 p	: 	: 
A,TOTAL,OC4,CH_Y_Y,LV	: 	0.3 	0 	-0.2 	0 	0.2 	: 	: 
A,TOTAL,OC4,CH_Y_Y,LV0	3.5 	0.1 	: 	: 	0 	0.2 	: 	: 
A,TOTAL,OC4,CH_Y_Y,LV00	: 	: 	: 	: 	0 	0.2 	: 	: 
A,TOTAL,OC4,JOBOCC,HU	5680 p	: c	4900 p	5310 p	: c	: c	: c	: 
A,TOTAL,OC4,JOBOCC,HU1	499 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBOCC,HU10	499 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBOCC,HU2	2276 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBOCC,HU21	743 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBOCC,HU22	670 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBOCC,HU23	863 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBOCC,HU3	2905 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBOCC,HU31	565 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBOCC,HU32	1092 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBOCC,HU33	1249 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBOCC,LV	: 	384 	463 	592 	552 	516 	570 	: 
A,TOTAL,OC4,JOBOCC,LV0	331 	384 	: 	: 	552 	516 	570 	: 
A,TOTAL,OC4,JOBOCC,LV00	: 	: 	: 	: 	552 	516 	570 	: 
A,TOTAL,OC4,JOBRATE,HU	0.2 p	0.3 p	0.3 p	0.2 p	0 p	0.2 p	0.1 p	: 
A,TOTAL,OC4,JOBRATE,HU1	0.4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBRATE,HU10	0.4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBRATE,HU2	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBRATE,HU21	0.1 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBRATE,HU22	0.1 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBRATE,HU23	0.1 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBRATE,HU3	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBRATE,HU31	0.5 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBRATE,HU32	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBRATE,HU33	0.1 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBRATE,LV	: 	0.3 	0 	0 	0.2 	0.2 	0 	: 
A,TOTAL,OC4,JOBRATE,LV0	3.8 	0.3 	: 	: 	0.2 	0.2 	0 	: 
A,TOTAL,OC4,JOBRATE,LV00	: 	: 	: 	: 	0.2 	0.2 	0 	: 
A,TOTAL,OC4,JOBVAC,HU	11 p	16 p	: c	: c	2 p	9 p	8 p	: 
A,TOTAL,OC4,JOBVAC,HU1	2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBVAC,HU10	2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBVAC,HU2	4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBVAC,HU21	1 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBVAC,HU22	1 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBVAC,HU23	1 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBVAC,HU3	6 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBVAC,HU31	3 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBVAC,HU32	2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBVAC,HU33	1 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC4,JOBVAC,LV	: 	1 	0 	0 	1 	1 	0 	: 
A,TOTAL,OC4,JOBVAC,LV0	13 	1 	: 	: 	1 	1 	0 	: 
A,TOTAL,OC4,JOBVAC,LV00	: 	: 	: 	: 	1 	1 	0 	: 
A,TOTAL,OC5,CH_Y_Y,HU	-0.2 p	0.1 p	0.7 p	-0.7 p	0.6 p	-0.1 p	: 	: 
A,TOTAL,OC5,CH_Y_Y,LV	: 	0.4 	0 	-0.1 	0.1 	-0.2 	: 	: 
A,TOTAL,OC5,CH_Y_Y,LV0	0 	0.3 	: 	: 	0.1 	-0.2 	: 	: 
A,TOTAL,OC5,CH_Y_Y,LV00	: 	: 	: 	: 	0.1 	-0.2 	: 	: 
A,TOTAL,OC5,JOBOCC,HU	1238 p	: c	1197 p	1366 p	: c	: c	: c	: 
A,TOTAL,OC5,JOBOCC,HU1	118 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBOCC,HU10	118 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBOCC,HU2	514 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBOCC,HU21	218 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBOCC,HU22	82 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBOCC,HU23	215 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBOCC,HU3	606 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBOCC,HU31	91 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBOCC,HU32	267 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBOCC,HU33	248 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBOCC,LV	: 	540 	503 	567 	701 	439 	540 	: 
A,TOTAL,OC5,JOBOCC,LV0	540 	540 	: 	: 	701 	439 	540 	: 
A,TOTAL,OC5,JOBOCC,LV00	: 	: 	: 	: 	701 	439 	540 	: 
A,TOTAL,OC5,JOBRATE,HU	0.6 p	0.8 p	0.7 p	0 p	0.7 p	0.1 p	0.2 p	: 
A,TOTAL,OC5,JOBRATE,HU1	0 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBRATE,HU10	0 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBRATE,HU2	0.6 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBRATE,HU21	0 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBRATE,HU22	0 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBRATE,HU23	0.9 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBRATE,HU3	0.8 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBRATE,HU31	1.1 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBRATE,HU32	1.5 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBRATE,HU33	0 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBRATE,LV	: 	0.4 	0 	0 	0.1 	0 	0.2 	: 
A,TOTAL,OC5,JOBRATE,LV0	0.4 	0.4 	: 	: 	0.1 	0 	0.2 	: 
A,TOTAL,OC5,JOBRATE,LV00	: 	: 	: 	: 	0.1 	0 	0.2 	: 
A,TOTAL,OC5,JOBVAC,HU	8 p	10 p	: c	: c	10 p	1 p	3 p	: 
A,TOTAL,OC5,JOBVAC,HU1	0 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBVAC,HU10	0 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBVAC,HU2	3 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBVAC,HU21	0 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBVAC,HU22	0 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBVAC,HU23	2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBVAC,HU3	5 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBVAC,HU31	1 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBVAC,HU32	4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBVAC,HU33	0 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC5,JOBVAC,LV	: 	2 	0 	0 	1 	0 	1 	: 
A,TOTAL,OC5,JOBVAC,LV0	2 	2 	: 	: 	1 	0 	1 	: 
A,TOTAL,OC5,JOBVAC,LV00	: 	: 	: 	: 	1 	0 	1 	: 
A,TOTAL,OC6,CH_Y_Y,HU	-0.6 p	0.5 p	-0.5 p	0.5 p	-0.1 p	0 p	: 	: 
A,TOTAL,OC6,CH_Y_Y,LV	: 	-0.3 	0.3 	0 	0.1 	-0.1 	: 	: 
A,TOTAL,OC6,CH_Y_Y,LV0	0.1 	0 	: 	: 	0.1 	-0.1 	: 	: 
A,TOTAL,OC6,CH_Y_Y,LV00	: 	: 	: 	: 	0.1 	-0.1 	: 	: 
A,TOTAL,OC6,JOBOCC,HU	23222 p	: c	23402 p	23744 p	: c	: c	: c	: 
A,TOTAL,OC6,JOBOCC,HU1	1963 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBOCC,HU10	1963 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBOCC,HU2	8599 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBOCC,HU21	2637 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBOCC,HU22	2928 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBOCC,HU23	3034 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBOCC,HU3	12659 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBOCC,HU31	1969 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBOCC,HU32	5879 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBOCC,HU33	4812 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBOCC,LV	: 	4866 	4491 	4528 	3871 	2866 	2608 	: 
A,TOTAL,OC6,JOBOCC,LV0	4907 	4866 	: 	: 	3871 	2866 	2608 	: 
A,TOTAL,OC6,JOBOCC,LV00	: 	: 	: 	: 	3871 	2866 	2608 	: 
A,TOTAL,OC6,JOBRATE,HU	0.2 p	0.8 p	0.3 p	0.8 p	0.3 p	0.4 p	0.4 p	: 
A,TOTAL,OC6,JOBRATE,HU1	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBRATE,HU10	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBRATE,HU2	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBRATE,HU21	0.3 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBRATE,HU22	0.3 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBRATE,HU23	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBRATE,HU3	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBRATE,HU31	0.4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBRATE,HU32	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBRATE,HU33	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBRATE,LV	: 	0.1 	0.4 	0.1 	0.1 	0 	0.1 	: 
A,TOTAL,OC6,JOBRATE,LV0	0.2 	0.1 	: 	: 	0.1 	0 	0.1 	: 
A,TOTAL,OC6,JOBRATE,LV00	: 	: 	: 	: 	0.1 	0 	0.1 	: 
A,TOTAL,OC6,JOBVAC,HU	52 p	183 p	: c	: c	57 p	105 p	99 p	: 
A,TOTAL,OC6,JOBVAC,HU1	4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBVAC,HU10	4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBVAC,HU2	21 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBVAC,HU21	7 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBVAC,HU22	10 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBVAC,HU23	5 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBVAC,HU3	27 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBVAC,HU31	7 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBVAC,HU32	10 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBVAC,HU33	10 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC6,JOBVAC,LV	: 	3 	17 	3 	3 	1 	2 	: 
A,TOTAL,OC6,JOBVAC,LV0	11 	3 	: 	: 	3 	1 	2 	: 
A,TOTAL,OC6,JOBVAC,LV00	: 	: 	: 	: 	3 	1 	2 	: 
A,TOTAL,OC7,CH_Y_Y,HU	-0.3 p	0.5 p	-0.1 p	0 p	0 p	0 p	: 	: 
A,TOTAL,OC7,CH_Y_Y,LV	: 	0.4 	0 	0 	0 	0 	: 	: 
A,TOTAL,OC7,CH_Y_Y,LV0	1.1 	0.4 	: 	: 	0 	0 	: 	: 
A,TOTAL,OC7,CH_Y_Y,LV00	: 	: 	: 	: 	0 	0 	: 	: 
A,TOTAL,OC7,JOBOCC,HU	4389 p	: c	4062 p	4079 p	: c	: c	: c	: 
A,TOTAL,OC7,JOBOCC,HU1	291 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBOCC,HU10	291 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBOCC,HU2	1673 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBOCC,HU21	757 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBOCC,HU22	391 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBOCC,HU23	526 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBOCC,HU3	2426 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBOCC,HU31	310 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBOCC,HU32	856 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBOCC,HU33	1260 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBOCC,LV	: 	1181 	1226 	1468 	1228 	1570 	1838 	: 
A,TOTAL,OC7,JOBOCC,LV0	1073 	1181 	: 	: 	1228 	1570 	1838 	: 
A,TOTAL,OC7,JOBOCC,LV00	: 	: 	: 	: 	1228 	1570 	1838 	: 
A,TOTAL,OC7,JOBRATE,HU	0.3 p	0.6 p	0.1 p	0.2 p	0.2 p	0.2 p	0.2 p	: 
A,TOTAL,OC7,JOBRATE,HU1	0 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBRATE,HU10	0 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBRATE,HU2	0.4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBRATE,HU21	0.3 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBRATE,HU22	1 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBRATE,HU23	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBRATE,HU3	0.3 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBRATE,HU31	1 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBRATE,HU32	0.5 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBRATE,HU33	0.1 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBRATE,LV	: 	0.5 	0.1 	0.1 	0.1 	0.1 	0.1 	: 
A,TOTAL,OC7,JOBRATE,LV0	1.6 	0.5 	: 	: 	0.1 	0.1 	0.1 	: 
A,TOTAL,OC7,JOBRATE,LV00	: 	: 	: 	: 	0.1 	0.1 	0.1 	: 
A,TOTAL,OC7,JOBVAC,HU	14 p	27 p	: c	: c	9 p	11 p	13 p	: 
A,TOTAL,OC7,JOBVAC,HU1	0 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBVAC,HU10	0 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBVAC,HU2	6 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBVAC,HU21	2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBVAC,HU22	4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBVAC,HU23	1 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBVAC,HU3	8 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBVAC,HU31	3 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBVAC,HU32	4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBVAC,HU33	1 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC7,JOBVAC,LV	: 	6 	1 	2 	1 	1 	1 	: 
A,TOTAL,OC7,JOBVAC,LV0	18 	6 	: 	: 	1 	1 	1 	: 
A,TOTAL,OC7,JOBVAC,LV00	: 	: 	: 	: 	1 	1 	1 	: 
A,TOTAL,OC8,CH_Y_Y,HU	-0.1 p	0.1 p	0 p	-0.2 p	0 p	0.1 p	: 	: 
A,TOTAL,OC8,CH_Y_Y,LV	: 	-0.2 	0.1 	-0.8 	1 	-0.1 	: 	: 
A,TOTAL,OC8,CH_Y_Y,LV0	0.7 	-0.9 	: 	: 	1 	-0.1 	: 	: 
A,TOTAL,OC8,CH_Y_Y,LV00	: 	: 	: 	: 	1 	-0.1 	: 	: 
A,TOTAL,OC8,JOBOCC,HU	12659 p	: c	11739 p	13290 p	: c	: c	: c	: 
A,TOTAL,OC8,JOBOCC,HU1	923 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBOCC,HU10	923 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBOCC,HU2	4927 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBOCC,HU21	1596 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBOCC,HU22	1485 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBOCC,HU23	1846 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBOCC,HU3	6809 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBOCC,HU31	1144 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBOCC,HU32	2589 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBOCC,HU33	3077 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBOCC,LV	: 	3521 	4110 	2622 	2640 	2772 	3005 	: 
A,TOTAL,OC8,JOBOCC,LV0	3526 	3521 	: 	: 	2640 	2772 	3005 	: 
A,TOTAL,OC8,JOBOCC,LV00	: 	: 	: 	: 	2640 	2772 	3005 	: 
A,TOTAL,OC8,JOBRATE,HU	0.2 p	0.3 p	0.2 p	0.2 p	0.4 p	0.4 p	0.3 p	: 
A,TOTAL,OC8,JOBRATE,HU1	0.6 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBRATE,HU10	0.6 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBRATE,HU2	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBRATE,HU21	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBRATE,HU22	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBRATE,HU23	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBRATE,HU3	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBRATE,HU31	0.3 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBRATE,HU32	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBRATE,HU33	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBRATE,LV	: 	0.1 	0.3 	0.2 	1 	0 	0.1 	: 
A,TOTAL,OC8,JOBRATE,LV0	0.8 	0.1 	: 	: 	1 	0 	0.1 	: 
A,TOTAL,OC8,JOBRATE,LV00	: 	: 	: 	: 	1 	0 	0.1 	: 
A,TOTAL,OC8,JOBVAC,HU	29 p	37 p	: c	: c	56 p	50 p	38 p	: 
A,TOTAL,OC8,JOBVAC,HU1	6 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBVAC,HU10	6 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBVAC,HU2	9 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBVAC,HU21	3 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBVAC,HU22	3 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBVAC,HU23	3 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBVAC,HU3	14 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBVAC,HU31	4 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBVAC,HU32	6 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBVAC,HU33	5 p	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,OC8,JOBVAC,LV	: 	5 	11 	4 	26 	1 	3 	: 
A,TOTAL,OC8,JOBVAC,LV0	27 	5 	: 	: 	26 	1 	3 	: 
A,TOTAL,OC8,JOBVAC,LV00	: 	: 	: 	: 	26 	1 	3 	: 
A,TOTAL,OC9,CH_Y_Y,HU	-0.6 p	0.8 p	-0.2 p	0.4 p	-0.2 p	-0.4 p	: 	: 
A,TOTAL,OC9,CH_Y_Y,LV	: 	0.2 	0 	-0.3 	0.3 	-0.1 	: 	: 
A,TOTAL,OC9,CH_Y_Y,LV0	0.2 	-0.1 	: 	: 	0.3 	-0.1 	: 	: 
A,TOTAL,OC9,CH_Y_Y,LV00	: 	: 	: 	: 	0.3 	-0.1 	: 	: 
