isco,nace,skills1,skills2
OC8,J,OC8_J,F00
OC8,K,OC8_K,F00
OC8,L,OC8_L,F00
OC8,M,OC8_M,F00
OC8,N,OC8_N,F00
OC8,O,OC8_O,F00
OC8,P,OC8_P,F00
OC8,Q,OC8_Q,F00
OC8,R,OC8_R,F00
OC8,S,OC8_S,F00
OC9,A-S,OC9_A-S,F00
OC9,B-S,OC9_B-S,F00
OC9,A,OC9_A,F00
OC9,B,OC9_B,F00
OC9,C,OC9_C,F00
OC9,D,OC9_D,F00
OC9,E,OC9_E,F00
OC9,F,OC9_F,F00
OC9,G,OC9_G,F00
OC9,H,OC9_H,F00
OC9,I,OC9_I,F00
OC9,J,OC9_J,F00
OC9,K,OC9_K,F00
OC9,L,OC9_L,F00
OC9,M,OC9_M,F00
OC9,N,OC9_N,F00
OC9,O,OC9_O,F00
OC9,P,OC9_P,F00
OC9,Q,OC9_Q,F00
OC9,R,OC9_R,F00
OC9,S,OC9_S,F00
