"","pop_Total","pop_Y0-14","pop_Y15-24","pop_Y25-64","pop_Y65-74","pop_YGE75","emp_Y15-24_ED0-2","emp_Y25-64_ED0-2","emp_Y15-24_ED3-4","emp_Y25-64_ED3-4","emp_Y15-24_ED5-8","emp_Y25-64_ED5-8","emp_FT","emp_PT","emp_Y15-24","emp_Y25-64","emp_YGE65","emp_Y25-64_NaceA","emp_Y15-24_NaceB-E","emp_Y25-64_NaceB-E","emp_Y15-24_NaceF","emp_Y25-64_NaceF","emp_Y15-24_NaceG-I","emp_Y25-64_NaceG-I","emp_Y25-64_NaceJ","emp_Y25-64_NaceK","emp_Y25-64_NaceM_N","emp_Y15-24_NaceO-Q","emp_Y25-64_NaceO-Q","emp_Y25-64_NaceR-U","unemp_Y15-24","unemp_YGE25","GDP","disp_income","training","earn_OC1_B-F","earn_OC2_B-F","earn_OC3_B-F","earn_OC4_B-F","earn_OC5_B-F","earn_OC7_B-F","earn_OC8_B-F","earn_OC9_B-F","earn_OC1_G-N","earn_OC2_G-N","earn_OC3_G-N","earn_OC4_G-N","earn_OC5_G-N","earn_OC7_G-N","earn_OC8_G-N","earn_OC9_G-N","earn_OC1_P-S","earn_OC2_P-S","earn_OC3_P-S","earn_OC4_P-S","earn_OC5_P-S","earn_OC7_P-S","earn_OC8_P-S","earn_OC9_P-S","pop_Total","pop_Y0-14","pop_Y15-24","pop_Y25-64","pop_Y65-74","pop_YGE75","emp_Y15-24_ED0-2","emp_Y25-64_ED0-2","emp_Y15-24_ED3-4","emp_Y25-64_ED3-4","emp_Y15-24_ED5-8","emp_Y25-64_ED5-8","emp_FT","emp_PT","emp_Y15-24","emp_Y25-64","emp_YGE65","emp_Y25-64_NaceA","emp_Y15-24_NaceB-E","emp_Y25-64_NaceB-E","emp_Y15-24_NaceF","emp_Y25-64_NaceF","emp_Y15-24_NaceG-I","emp_Y25-64_NaceG-I","emp_Y25-64_NaceJ","emp_Y25-64_NaceK","emp_Y25-64_NaceM_N","emp_Y15-24_NaceO-Q","emp_Y25-64_NaceO-Q","emp_Y25-64_NaceR-U","unemp_Y15-24","unemp_YGE25","GDP","disp_income","training","earn_OC1_B-F","earn_OC2_B-F","earn_OC3_B-F","earn_OC4_B-F","earn_OC5_B-F","earn_OC7_B-F","earn_OC8_B-F","earn_OC9_B-F","earn_OC1_G-N","earn_OC2_G-N","earn_OC3_G-N","earn_OC4_G-N","earn_OC5_G-N","earn_OC7_G-N","earn_OC8_G-N","earn_OC9_G-N","earn_OC1_P-S","earn_OC2_P-S","earn_OC3_P-S","earn_OC4_P-S","earn_OC5_P-S","earn_OC7_P-S","earn_OC8_P-S","earn_OC9_P-S"
"mismatch",0.147252747252747,-0.164835164835165,0.331868131868132,0.661538461538462,-0.573626373626374,-0.481318681318681,-0.349450549450549,-0.367032967032967,-0.235164835164835,-0.569230769230769,0.0274725274725275,-0.173626373626374,-0.692307692307692,-0.2,-0.52967032967033,-0.70989010989011,-0.41978021978022,-0.0945054945054945,0.138461538461538,-0.010989010989011,-0.175824175824176,-0.41978021978022,-0.257142857142857,-0.446153846153846,-0.186813186813187,-0.226373626373626,-0.107692307692308,-0.595238095238095,-0.327472527472527,-0.283516483516484,0.243956043956044,-0.16043956043956,0.0285714285714286,0.266226783761737,-0.120879120879121,0.475211025991666,0.26286083098141,0.345397282306138,0.345397282306138,0.345397282306138,0.21558353862061,0.345397282306138,0.345397282306138,0.465938615728414,0.21558353862061,0.336124872042886,0.345397282306138,0.351221644202978,0.21558353862061,0.322216256648008,0.336124872042886,0.433485179807032,0.345397282306138,0.206311128357358,0.345397282306138,0.345397282306138,0.336124872042886,0.118223230856463,0.336124872042886,0.158971414154341,0.114351018385243,0.00115503977524882,5.25723928513021e-13,1.85362512348273e-09,1.03980522537804e-06,0.00059625029544864,0.000295942326883617,0.0232623847444674,2.62157288495223e-09,0.793782811976356,0.0960297675964936,1.51742517721056e-14,0.0545916084612668,4.78047609606285e-08,1.6300460806249e-15,2.80599953281979e-05,0.36755070644272,0.185635637431926,0.916737610151187,0.0918314877016907,2.80599953281979e-05,0.0128373314926247,7.38892250252429e-06,0.0729704126523133,0.0291130965140937,0.304188484862578,3.12278717782958e-10,0.00135459556513084,0.00588889771743941,0.0184465067910926,0.124472739515711,0.785728229425862,0.00989708000019914,0.248423091179426,1.48502674018205e-06,0.0109094053753457,0.000696810839119586,0.000696810839119586,0.000696810839119586,0.0379526754200867,0.000696810839119586,0.000696810839119586,2.518153179578e-06,0.0379526754200867,0.000987638360705234,0.000696810839119586,0.000556632881042179,0.0379526754200867,0.00163398852955513,0.000987638360705234,1.42223994663151e-05,0.000696810839119586,0.0472464628359906,0.000696810839119586,0.000696810839119586,0.000987638360705234,0.259046644470779,0.000987638360705234
"lmktm_OC0",-0.573771466023084,0.804960096190246,0.827969391135793,-0.511682892360497,-0.209640242837206,-0.590206676698475,0.196492074296893,-0.737393118969196,0.660695469150706,0.215849100203464,0.872892300315194,0.718401319966522,0.473699294355149,0.646086392994803,0.799481692631783,0.714749050927546,0.734836530641913,-0.510221984744907,0.240972818680447,-0.0719497000678215,0.702699846254797,0.703061790002824,0.81043849974871,-0.104454894514705,0.445576822755036,0.59239803812186,0.437176603965392,0.829430298751384,0.78487261647588,-0.25711974034389,-0.481003832433101,-0.610659383316739,0.075079801448384,0.173206399028841,0.716091810799254,-0.928989465470152,0.695669137729224,0.531798673429575,-0.240733515411627,-0.142091152815013,0.531798673429575,-0.928989465470152,-0.240733515411627,-0.775263363246196,0.581413241837376,-0.240733515411627,-0.240733515411627,-0.928989465470152,0.695669137729224,0.0074131876706984,-0.928989465470152,-0.0870074131876707,-0.0870074131876707,0.00273117440499415,-0.240733515411627,-0.240733515411627,0.93029490616622,0.742627345844504,-0.240733515411627,1.83237756774052e-09,2.41459360711176e-22,1.3827427904448e-24,1.58970140373897e-07,0.0437137805944005,4.78319438630432e-10,0.0590635644990252,3.49528460328415e-17,5.75987512088593e-13,0.0377108373288459,4.14925880086167e-30,5.21129460048974e-16,1.62026436873127e-06,2.67954540388273e-12,7.46510595175061e-22,8.54412389541604e-16,5.09659241400471e-17,1.74739458532817e-07,0.0199743981117931,0.493115153923658,4.13955287071677e-15,3.95245934506222e-15,7.53167907338221e-23,0.319040427814605,7.61698071082263e-06,3.97611523861054e-10,1.1783550518317e-05,9.7109281572317e-25,1.28630922445757e-20,0.012845691766764,1.0592642509566e-06,8.06425913799555e-11,0.4744475709947,0.096848937566692,7.13041939586228e-16,4.67920811754187e-41,1.00285886527509e-14,4.1276180376206e-08,0.020101535020021,0.174257677217111,4.1276180376206e-08,4.67920811754187e-41,0.020101535020021,7.43614307181016e-20,9.90442004307162e-10,0.020101535020021,0.020101535020021,4.67920811754187e-41,1.00285886527509e-14,0.943776387707156,4.67920811754187e-41,0.406937379253266,0.406937379253266,0.97927144407322,0.020101535020021,0.020101535020021,2.07154690123868e-41,1.59268722950953e-17,0.020101535020021
"lmktm_OC1",-0.13181627607033,0.598969569698764,0.421479178267866,-0.61014904430369,-0.128581665677775,-0.0851387231792244,0.107980881766182,0.22979899964043,0.230405150589074,-0.257824419610962,0.611098272797635,0.414915516303411,-0.143137412444273,0.427251895355309,0.332976780634008,0.193096796317606,0.253639456935449,-0.382306172647355,-0.265687919040018,-0.359709099326728,0.261475173860863,0.234202089317556,0.383120779789619,-0.147198383156094,0.24551107833646,0.397391906266755,0.261553344427631,0.396623359065572,0.641503515846122,0.196776843147747,0.0741349650367171,-0.174029847195913,0.195580118975138,0.316873144450891,0.645176946053909,-0.0482984946850253,0.344010843975173,0.275165870014982,0.208238934418737,0.472980652813125,0.309909395733752,0.153765665501415,0.360657297091627,0.0632803024898338,0.331973651256984,0.249554112862952,0.24444127369147,0.295260516991272,0.304344724263394,0.397826448835937,0.325033887422416,0.107155596775344,0.0793322394235571,0.335544933533091,0.180970726023162,0.387244060783335,0.617408960966096,0.648721579523899,0.177736557989108,0.207849215912179,2.26533191511001e-10,2.58341130736005e-05,8.44365924328466e-11,0.219322240240633,0.417125429428596,0.302886907529008,0.0267001624383095,0.0262913658832508,0.0125929603124568,7.75113094267205e-11,3.5465287351096e-05,0.17107504962567,1.94438430990488e-05,0.00110912246230467,0.0636723668822902,0.0141596542191023,0.000155775149906316,0.0100533935592,0.00039815273501453,0.0113517527262494,0.0238497932087776,0.000150398912510196,0.159127036816301,0.0176907456449148,8.00688216906416e-05,0.0113263876396698,8.28948524697435e-05,4.2672580204383e-12,0.0586897253035318,0.480041911317892,0.0952479289309484,0.0602738614125464,0.00197047855181348,2.94059935633073e-12,0.645700831804033,0.0007346169912794,0.00759744273100026,0.0451730832013091,1.68855937651451e-06,0.00250252267948511,0.14113593427858,0.000383302029874859,0.546772121859833,0.00115059621100982,0.0158494725257114,0.0182077528113188,0.00406298228382251,0.0030170144887363,7.85108571825022e-05,0.00147833161527447,0.306618952668708,0.449710488492942,0.00100906425416004,0.0825674614165516,0.000125725163851399,4.3561953521335e-11,2.04316492882509e-12,0.0882976322863931
"lmktm_OC2",-0.128244936403105,0.59132069887223,0.436389809305007,-0.634709534523817,-0.0465270218779595,-0.0465611325978114,0.217840779576181,0.234829565700268,0.384668534661696,-0.255193665451839,0.669889560413474,0.509966632025504,-0.137568533162618,0.567079347297496,0.453326770908855,0.330191768166164,0.418733166311321,-0.467614284728727,-0.264508124923254,-0.372332135998159,0.380079897428625,0.291632628018342,0.53568136009622,-0.151701741421245,0.317878811615085,0.421306667414798,0.389377209881975,0.503274135194955,0.746399401558811,0.220023029509628,0.0753358605085475,-0.311347107001123,0.262168770761678,0.331549794519043,0.705820948554055,-0.0204941494355522,0.392938105378855,0.335714776396235,0.249654936034999,0.494399657558679,0.367200201506721,0.171074626182135,0.359575004007236,0.0755192232831856,0.365509151641815,0.287467655881477,0.286322731332005,0.264340179982139,0.378145680199675,0.401662430445834,0.297016326624075,0.122232144901651,0.170960133727187,0.315747292253441,0.213482631494584,0.373886560875638,0.651686980644996,0.740203696330641,0.229007808385427,0.220541804842992,4.35503634279092e-10,1.22678649789262e-05,8.38631686373586e-12,0.657865623652515,0.657630527238464,0.0359378623333038,0.0234655282026877,0.000140654297175431,0.0135591165567406,2.0938694014658e-13,1.7764414380667e-07,0.188515984567612,3.10057564563871e-09,5.04023384732264e-06,0.00122775755507585,2.95197636565956e-05,2.29155841337974e-06,0.0104031955080706,0.000237715798267038,0.000171388686921804,0.00456399574954072,3.14937415253654e-08,0.146616128980686,0.00190272985481133,2.60523565314302e-05,0.000114486987032635,2.72355789303796e-07,8.93278893699169e-18,0.0340760296938306,0.472937543750875,0.00238312697964438,0.0111284141800574,0.00116854005390205,2.77173736973923e-15,0.845404004682788,9.77801223394349e-05,0.00100274599309068,0.0158057583272703,4.73373216703102e-07,0.000293920022545423,0.101092071539723,0.000400295086157316,0.471857820226386,0.000314968531024644,0.00520643359804361,0.00539656608270799,0.0104538462382568,0.000186116046396961,6.59299347457339e-05,0.00383861744050558,0.243127855571599,0.10132401635452,0.0020489010047762,0.0399119974115676,0.000222760009839322,1.50108732407708e-12,2.29723664523807e-17,0.0272418637178574
"lmktm_OC3",-0.156806979159076,0.557687529098279,0.373398679978541,-0.663794608317516,-0.0120979353074655,0.0100626623563036,0.177392281016757,0.195693199790215,0.301605108823534,-0.192270757565077,0.525336997775375,0.421119577051317,-0.0959534549433286,0.459767022643493,0.36915657022189,0.286780192034676,0.351903608023963,-0.356924155703867,-0.248597215116457,-0.321711964813628,0.364153960939095,0.242948489500384,0.416119982186794,-0.162389766974833,0.294506868843194,0.321217660582499,0.309549609065333,0.43397390357361,0.67913306201091,0.165082200057015,0.0548730119109556,-0.211641424672637,0.232501302135224,0.327164906519406,0.662251964805244,0.031577019074443,0.348331844931419,0.312610198987887,0.263951699223714,0.52728829278733,0.380275239861693,0.230908383137551,0.428133086029631,0.116690710082206,0.341587706177366,0.305259783380275,0.296901834169128,0.361521375741339,0.35982688740812,0.445490142199629,0.383000160289437,0.155320464381397,0.0665888117973026,0.332669277094639,0.246525153992352,0.448375352064299,0.597359396873916,0.653356622699426,0.275056673765199,0.133344651639123,6.36159448483278e-09,0.000227357886948438,4.1114905436356e-13,0.908370177884549,0.923734409839121,0.0889257313787642,0.060122697535076,0.00330361011401057,0.0648367366076511,6.42633824191271e-08,2.6290992653403e-05,0.360223095496041,3.54857875824823e-06,0.000271189255300223,0.00531987043507459,0.000542032100363867,0.000444880348939815,0.0162695891691546,0.00166336321248758,0.000332828670587675,0.0189508853642217,3.34784313612822e-05,0.119900331898598,0.00416282496892731,0.00169261894358665,0.00253323097206957,1.3874305971815e-05,7.29680815389085e-14,0.11380166807714,0.601382756936736,0.0416978359589351,0.0249184444629241,0.00136966851369798,4.86513038106533e-13,0.763815499684067,0.00062258722387831,0.00228249110048304,0.0105718361511146,5.62763518576378e-08,0.000169962864149636,0.0259560313927122,1.86099331434205e-05,0.265315567415136,0.000805218756385825,0.00292638083972527,0.00385290311500125,0.000370213864423814,0.000396279608782928,7.65180598727218e-06,0.00015118399122385,0.137110907042348,0.525964228870024,0.00112168917809121,0.017212401398637,6.56947032350063e-06,2.60320579718001e-10,1.2599778669727e-12,0.00762241397723477
"lmktm_OC4",-0.165083181494492,0.566918594458665,0.364342264764337,-0.640783401853619,-0.0535717589832668,0.0143196438181363,0.177004370920684,0.169026100732132,0.286535597903045,-0.19085381830817,0.546517369547962,0.477046007164789,-0.078516035477679,0.450626087243116,0.351149852332453,0.302695784947101,0.338869858783626,-0.338857548458421,-0.257522322247407,-0.321364163293638,0.351492083334682,0.248021962329802,0.407952804876111,-0.138002173317406,0.284415467692885,0.294804105722666,0.305990905917553,0.430253924524226,0.683695112718355,0.170179412301641,0.0692790785172677,-0.167089254361014,0.223308091457078,0.297575129253966,0.67741024551507,-0.00332929062329077,0.360157903498133,0.311312453924996,0.251616592813911,0.48587877739616,0.380490356947516,0.229958859480155,0.416898527977932,0.10727450001189,0.34296417932236,0.294023923331193,0.285534232241802,0.350241373570189,0.36817198164134,0.46205797721814,0.38127511830872,0.110603790635181,0.032246557751302,0.309505124729495,0.209055670495351,0.428027870918646,0.605199177108659,0.64343156376072,0.249958383867209,0.113799489665909,3.139546843429e-09,0.000330292473529826,4.58770300676543e-12,0.610046860128451,0.89163714159541,0.0896376705895827,0.10530539909476,0.00536075662164013,0.0668742202817355,1.45350437028304e-08,1.33519686034272e-06,0.454401934104212,5.82695906807857e-06,0.000558190710732506,0.00318671350512307,0.000891735488821264,0.000892145933943209,0.0127007717201013,0.00168389992356609,0.000550800239162407,0.0165267516897587,4.92816643209188e-05,0.187113275614972,0.00572701205723386,0.00412318880486544,0.00285572978441123,1.67381819056638e-05,4.27562214460882e-14,0.102916772073116,0.509343150456629,0.109413881059831,0.0314266033052707,0.00376957031614382,8.90671006536631e-14,0.974733332084689,0.000391058881260985,0.00238594337154274,0.0149757508516151,7.93272174950776e-07,0.000168405402093442,0.0265918301200534,3.22500082179272e-05,0.306079417484444,0.000764388876740886,0.00422795034747351,0.00553106867234851,0.000578251993439356,0.00028241835815666,3.12674675552856e-06,0.00016283491068489,0.291223782794735,0.758958683432663,0.00253705121938238,0.0443177147441604,1.87077119044287e-05,1.3132672591976e-10,3.51191424748697e-12,0.0156748201793083
"lmktm_OC5",-0.0365098404814585,0.477277192167456,0.260651380628139,-0.635459970360558,0.0209212415091509,0.108369756969412,0.13057193328288,0.208041280376595,0.183623949509372,-0.166710458156071,0.450279615698635,0.404609988643008,-0.2644831514915,0.501723208061301,0.27813942473851,0.235500409857355,0.16971029113707,-0.375124497498027,-0.313444923193887,-0.300179503936626,0.341715936012109,0.206376360225739,0.286159746424661,-0.204368692872543,0.232878343627889,0.316451517400008,0.344791471545675,0.310181617812347,0.546419621307209,0.19931692403909,0.0642645431702981,-0.190274234876928,0.365282839563782,0.456723050787742,0.644157928484608,0.303496599574088,0.399235190400953,0.440360880217994,0.435077539378388,0.726046942997788,0.51336126949234,0.429575690961966,0.594261638158045,0.298229946646516,0.445151876967446,0.458153007716791,0.450894186073138,0.519452268095532,0.451352155892927,0.590918458473586,0.566142291223008,0.421378031187745,0.296970529642097,0.491745093998305,0.42444642898033,0.595269171761581,0.644905665223925,0.688650287049999,0.458061413752834,0.72825918769116,1.31736776879224e-06,0.0116220899949556,7.78961758839005e-12,0.842223471614458,0.301138703292612,0.212211101146361,0.045382130678058,0.0780913660527312,0.110231769461976,5.93587011925467e-06,5.75664791342895e-05,0.0104107136595416,3.00318377174356e-07,0.00694459239878739,0.0230605617254762,0.103883206343852,0.000211475896380656,0.00221810285017973,0.00346218919666426,0.000801332735162326,0.0471750404831692,0.00542412759897784,0.0494145612552336,0.0246780856832499,0.00199952438135289,0.000713106147078208,0.00247951112278621,1.46385787377144e-08,0.0554399217830218,0.540540372920909,0.0677224312256935,0.000317888379727328,4.19247021171559e-06,3.26222935365526e-12,0.00310325838817789,7.36517239669688e-05,1.00008057837119e-05,1.31174152767808e-05,1.80436844442432e-16,1.42524012505829e-07,1.73166582220631e-05,3.39413856930255e-10,0.00369007334027271,7.78914634530534e-06,3.87737794984748e-06,5.74397748506594e-06,9.54135373194484e-08,5.60479429844171e-06,4.50520634367813e-10,3.33443818177636e-09,2.59618659764058e-05,0.0038443260218124,5.56810112919488e-07,2.23377679620689e-05,3.11450269488684e-10,3.02310430209856e-12,2.36622197782379e-14,3.89687239242547e-06
"lmktm_OC6",0.650679463332231,-0.509721181234592,-0.549136056323505,0.0948629197055204,-0.193734131792964,0.561828982199596,-0.663396275667036,0.730177262240379,-0.562410894125216,-0.559824836008634,-0.602805046741944,-0.571181664424084,-0.650011414601911,-0.364754606755029,-0.742630959646003,-0.722828726206853,-0.522016741508487,-0.10098538154182,-0.574882588067656,-0.279651825808118,-0.634446561085655,-0.705344049538254,-0.700683185774785,-0.197074375444567,-0.419477738712177,-0.261008370754244,-0.254793885736286,-0.832740992406397,-0.70746360540948,0.523570362762977,0.44433567878401,0.509587771472571,-0.421538748832277,-0.23155407715975,-0.775528476798959,0.356701030927835,-0.674226804123711,-0.319587628865979,-0.319587628865979,-0.0515463917525773,-0.34020618556701,-0.34020618556701,-0.34020618556701,-0.385567010309278,-0.385567010309278,-0.0515463917525773,-0.319587628865979,-0.34020618556701,-0.628865979381443,-0.628865979381443,-0.34020618556701,0.319587628865979,0.463917525773196,-0.402061855670103,-0.319587628865979,-0.34020618556701,-0.397938144329897,-0.0515463917525773,-0.0515463917525773,1.66749421699121e-12,1.80479406427011e-07,1.20078641948322e-08,0.365733471718787,0.0627856469774835,4.64651379253349e-09,4.29452011956193e-13,1.00229366652581e-16,4.44432784065653e-09,5.41235723340364e-09,1.62164227569422e-10,2.24916256558469e-09,1.78749371550627e-12,0.00032480077327676,1.59181276028101e-17,2.83191576420391e-16,8.03912126053539e-08,0.335466485685848,1.67722311536013e-09,0.00663195654357977,8.60564959638502e-12,2.94792442183511e-15,5.34957197359827e-15,0.0583011968696132,2.84746194860127e-05,0.0115042575382159,0.013711436006284,4.30524775455788e-25,2.23951900921179e-15,7.24160640558152e-08,8.13013545279076e-06,1.8203844321929e-07,2.57591483346147e-05,0.0255310983372257,7.09301302312105e-20,0.000448833749005017,1.28286848626232e-13,0.00179242119368395,0.00179242119368395,0.623639537798936,0.000848190169285137,0.000848190169285137,0.000848190169285137,0.000135269180059432,0.000135269180059432,0.623639537798936,0.00179242119368395,0.000848190169285137,1.47988893427589e-11,1.47988893427589e-11,0.000848190169285137,0.00179242119368395,2.81960166682906e-06,6.47338785018666e-05,0.00179242119368395,0.000848190169285137,7.81149733711155e-05,0.623639537798936,0.623639537798936
"lmktm_OC7",-0.220093734724258,-0.195841012909574,-0.26613183628434,-0.114612018702305,0.161116300100363,0.418026871784746,0.476945654406117,-0.0721441724867188,0.0814704635445494,0.171508699415235,-0.0780971898816578,0.153987159651321,-0.163128832571624,0.452876657233414,0.188940261149351,0.247598345164821,0.0436292786030127,-0.218017773520137,0.00904485052980941,-0.037540145607931,0.293162074553563,0.0781496112970136,0.0954120695382515,0.168575177507974,0.205046106433881,0.197297937837747,0.35585206999984,0.35192997360336,0.122991885545916,0.182081511275701,-0.228145491080615,-0.0600642329726896,0.459390915590051,0.559959120290816,0.149295701947929,0.611229419981223,0.531702960774885,0.622129101692198,0.658716490476229,0.385127583172814,0.624144168899269,0.66611710288292,0.560257379038721,0.692931235831559,0.585371168356713,0.646630487050903,0.667536809324265,0.567493302191386,0.530764122644318,0.568363444848984,0.592040484532069,0.663621167365071,0.512376634379794,0.701632662407547,0.67436055963912,0.564951569691557,0.290350753265435,0.301884126841423,0.622197797165167,0.0340170884026343,0.059925570552075,0.00992446678391634,0.273981662214062,0.122871158155728,3.05442143495775e-05,1.34300691732376e-06,0.491944180085823,0.437549163566503,0.100216479097373,0.45681990141044,0.14055714182141,0.118201741215793,5.16400327415605e-06,0.0697077661143649,0.0167183641969269,0.677956785700332,0.0357837431709639,0.931428715697851,0.720901850676018,0.00434643201277471,0.456516887451166,0.362952230546995,0.106250986800444,0.0486493121398528,0.0580106457110759,0.000464172439845408,0.000541474725266709,0.240188959353847,0.0806692501326779,0.0278428557621563,0.567375363179886,3.62276073482591e-06,5.35748040606785e-09,0.153205030118947,7.65985395523851e-11,4.15505505110686e-08,2.80703728639538e-11,7.12870562857658e-13,0.000137878612616335,2.32161212142763e-11,3.18521181527921e-13,5.23749084743942e-09,1.40581130762492e-14,7.15671859246673e-10,2.53420236233997e-12,2.72197399418683e-13,3.00234069898986e-09,4.43356030536288e-08,2.80547121159481e-09,4.09822201710497e-10,4.19023995696028e-13,1.51964698128466e-07,4.74243998856382e-15,1.26346605276624e-13,3.65603416564113e-09,0.00475375851032819,0.00327334553362548,2.78898911384009e-11
"lmktm_OC8",-0.259642412313347,-0.19430092135425,-0.0797437708091598,-0.207321998956397,0.285779008696986,0.390809405275683,0.741820309720965,-0.203154781917814,0.592337879090913,0.325727627559784,0.270585382824367,0.249985801725354,-0.0564876303955336,0.783554854727931,0.69367914501308,0.564663811301811,0.408705774173581,-0.49141943565681,0.239354988981214,0.0143226368041733,0.640595686570432,0.42423454013457,0.629373903699635,0.270526758232821,0.326672312944125,0.395338030125663,0.529159984441071,0.782023278831113,0.402189567386716,0.112766239769844,-0.460237484175829,-0.513812332818205,0.511520686484712,0.69281867732632,0.25494605173259,0.479774559463509,0.653539749351977,0.718698722979239,0.683941702732672,0.240394356452769,0.631495089296331,0.517799814510951,0.427076645026278,0.568761741694609,0.679518368955246,0.603386364176833,0.694418682076526,0.358635942070343,0.557204347102328,0.426434567548929,0.370550046372262,0.532638938431904,0.561770231385698,0.679650900097501,0.651827542745714,0.436565123302656,0.327519554077138,0.436277468822646,0.526931583077691,0.0119608339368848,0.0620055364606628,0.447355333421374,0.0461496533731131,0.00548899962625118,0.000107472369188919,1.80010050390591e-17,0.0508107064346506,3.99641269044175e-10,0.00144212856101821,0.00870907531799516,0.0156630356938572,0.590708817001646,1.6448604797608e-20,1.28238475627462e-14,3.73809399923872e-09,4.75757253829676e-05,5.67957101447743e-07,0.0208475215647836,0.891614629897065,4.67497137447787e-12,2.25719563677799e-05,1.40927241382198e-11,0.00872418354149945,0.00139412188020663,8.78291480880096e-05,4.95105245487339e-08,2.18427376409542e-20,6.43557339478015e-05,0.281834482165015,3.45780183385013e-06,1.3838798897076e-07,1.60651830577102e-07,1.42535398420522e-14,0.0136532851946397,1.13858776472781e-06,1.23592923671375e-12,5.00394114849863e-16,4.15271597383928e-14,0.0202829124420775,1.14788062063024e-11,1.06470130331284e-07,1.96138076791393e-05,2.71953735568967e-09,6.97731180602996e-14,1.54093061847094e-10,1.17067736931194e-14,0.000415597114433644,6.59725055216807e-09,2.02484784307764e-05,0.000255999064772275,3.89404929621702e-08,4.66740897065778e-09,6.87057428937454e-14,1.47918458237554e-12,1.21583596872977e-05,0.00135230464005978,1.23385212842344e-05,5.76619862238025e-08
