"module","eigenvar","p.eigenvar","meanVarTS","p.meanVarTS"
"yellow",0.305494505494505,0.288169885875457,0.135531135531136,0.994477681429419
"greenyellow",0.164835164835165,0.573346405013138,0.123076923076923,0.945914308253474
"black",0.16043956043956,0.583752752641341,0.147399106166583,0.997053634367877
"grey",0.147252747252747,0.615418762484725,0.147252747252747,0.947445737714573
"green",0.0989010989010989,0.736585369925317,-0.00677100677100677,0.999960291931809
"red",0.0813186813186813,0.791708933888788,0.108791208791209,0.999716477485216
"purple",-0.032967032967033,0.910918653071845,-0.0164835164835165,0.997053634367877
"tan",-0.0857142857142857,0.770785031118676,-0.0153846153846154,0.994574166057473
"pink",-0.138461538461538,0.636884991265019,-0.173626373626374,0.994574166057473
"brown",-0.142857142857143,0.626117476225324,-0.0615384615384615,0.685942183964271
"turquoise",-0.437362637362637,0.117844831744477,-0.0321622821622822,0.862166877631168
"blue",-0.573626373626374,0.031970813976397,-0.382857142857143,0.67845059800239
"magenta",-0.595604395604396,0.0246126107952868,-0.518681318681319,0.404175794979089
