"module","eigenvar","p.eigenvar","meanVarTS","p.meanVarTS"
"grey",0.29389971621904,0.00424484595076281,-0.00781608060396134,0.0116812006761468
"green",-0.104239850385699,0.320043221042082,-0.000153244136413305,0.255086550599801
"blue",-0.166080733728552,0.111601958412355,-0.126127755658745,0.000417494143918895
"brown",-0.179061997811672,0.0859122715043523,-0.172769707453267,0.018784397390097
"yellow",-0.246319847626326,0.017308334381075,-0.280406297453199,2.31925266370725e-05
"magenta",-0.25761663340935,0.0126670283689957,-0.285727918776114,1.65534252971611e-12
"black",-0.271354888065446,0.00851288619743082,-0.214237143175253,0.0164797421455477
"red",-0.324403081199676,0.00151196314777323,-0.289052872005321,0.000371217348589137
