"","MEgreen","MEbrown","MEyellow","MEpurple","MEblack","MEpink","MEgreenyellow","MEblue","MEturquoise","MEmagenta","MEred","MEtan","MEgrey"
"AT1",-0.0415645165447727,0.0392749575557085,-0.0637549723337195,0.0628612923877259,0.0844174627996069,0.101496083591305,-0.020223286366225,0.054622739693138,0.012490214782833,-8.33911174028534e-05,-0.0395058098006291,0.0554097070595094,-0.0487121207989847
"AT2",0.042223910837233,0.0953186833057943,0.0728824133811376,-0.0235165836685441,0.0548591008017595,-0.0449227700401754,-0.0481497239106501,0.0805095830619737,-0.0172833710243427,0.0486844448474799,-0.0443015530781365,0.0211124616140893,-0.103783652263708
"AT3",0.0210818150148206,0.0770364501331956,0.104310793647937,-0.0389874001280489,0.095373214631789,-0.0258556575347425,0.0244019420008761,0.12388247486399,-0.0504333048872241,-0.0388084615844763,-0.0517435098711657,0.072804781125192,-0.066663272670978
"BE1",-0.00445763165439672,-0.118417861580518,-0.223880206185281,0.211584764229034,0.157132321454411,0.157338186484064,0.136056767654741,-0.117295661491461,0.0330660458609994,-0.209738425861654,0.0744394711559317,0.0857198317384166,-0.121037293252165
"BE2",-0.063464600748262,-0.0275699595664065,0.0185806474865998,0.135081477990184,0.0499195189672117,0.0358801045515139,0.0261242174072585,0.00996782818538165,0.054197567007098,0.0143220657316922,-0.0541742884984566,-0.0245824097503697,0.0304342994920797
"BE3",-0.0403963162255978,-0.069605960090922,-0.0404435876259655,0.0904378886113604,-0.0195077991950415,-0.00331200163426507,0.101571665877121,-0.0673945009113663,0.10984459921057,-0.0537530582598978,-0.0195252174301873,0.0251918599469626,-0.0513961179779661
"BG3",0.0939715509382172,0.0509513431381669,0.138022297826518,-0.0700485364226607,-0.16337800485596,-0.136609854874191,-0.088834276270806,-0.108283275074693,-0.0978413938116412,0.0887287046936148,-0.00227821941184977,-0.123693960694819,-0.0491367390619018
"BG4",0.0262008223668427,0.109608136132104,0.0798291393760464,-0.0209138041276368,-0.123534377858842,0.0241997766984499,-0.0839573038961333,-0.06487648704116,-0.118210775381626,0.00583269042701729,-0.0272217608295485,-0.167560614069829,-0.0515376573989384
"CY0",-0.000767885734099076,-0.0205154677408411,-0.18433269237044,0.217233075616575,-0.02949225569443,0.110305818807429,0.136297854878592,-0.0603185459357344,-0.0953514460798191,-0.170516468739972,0.0591949476353072,-0.00354407217677193,-0.130119795655932
"CZ0",-0.00318345294022798,0.203319981897758,0.229423785477974,-0.125798898508513,-0.0565823975287912,-0.0102007559669474,-0.0397208464511152,-0.0082275134974406,-0.0751007349245178,-0.0308299920192799,-0.0989410589048122,-0.181040493495683,0.148469577450026
"DE1",-0.0424458279188515,0.0396072789817616,0.165716055411572,-0.0921263434206311,0.114370832297773,0.0152589348894366,-0.0267632949929782,0.146483390083111,0.0230835291307494,0.0393136236792178,-0.136147624537148,0.0804766239036716,0.151899390709425
"DE2",-0.045845585465954,0.0698261636358007,0.122437450222977,-0.0952708694759646,0.116201012464351,0.0500486885760492,-0.0547869360783035,0.139239691521258,-0.00913036128056072,0.0484083108227486,-0.119560039091611,0.0677021695988691,0.208831595650952
"DE3",0.00307447238878088,-0.00525029515288249,-0.136202793535506,-0.0174590283630436,0.047324652967285,0.106924895665596,-0.123368256715502,0.0383266004110494,0.00301400256625287,0.0279047802289714,-0.0575410417458837,0.0189281797286089,-0.0561375587278609
"DE4",-0.0666998258132444,0.171269407457368,0.0102404077292157,0.05437623198624,-0.000252913695036577,-0.0640558740624542,-0.241057436521559,0.0448689329907858,-0.0156025306310723,0.161743314685688,-0.0926251086309271,0.010440824981091,-0.0842040900748313
"DE5",0.0299991023324333,-0.0307643160041732,-0.0405291112135091,0.0553307961575217,0.120524741961704,-0.0190690127794856,-0.0758080889511279,0.0671658018759151,-0.0435196852767997,0.104024214024748,0.41613231273541,0.102221905758056,-0.135908599264872
"DE6",-0.0287035869745271,-0.0183880037311679,-0.0835400159637397,-0.0489714271322032,0.208529341122334,0.111318970316057,-0.0887358839250319,0.0975171661524049,-0.0404791111758886,0.0137996501090446,0.00878466278112808,-0.00404436246692607,-0.10448566470681
"DE7",-0.0839071011949947,0.017426589995211,0.0327411480909429,-0.0927191221558178,0.106260096630823,0.114469391547942,-0.0692184204253539,0.100915862131895,-0.00305549296625014,0.059246608177604,-0.0921642633909738,0.0769411162726706,0.0195693237808948
"DE8",-0.0768651685383697,0.168962985883389,-0.0199150467184473,0.0102293215816972,-0.013759990861285,-0.118581365448482,-0.226091870522679,0.0236246844363728,-0.032818877458762,0.144075560707695,-0.026972739627986,0.0473605082943827,-0.108809383813892
"DE9",-0.0262899056978533,0.0643500498487283,0.0546633855095201,-0.143716688917933,0.0500390471349362,-0.0260063058164482,-0.0549258998337918,0.0949000211875635,0.0212923297912754,0.0994705349258652,-0.112734271800585,0.0942882379101519,0.0699271741130477
"DEA",-0.0683319846031182,0.0265612177452134,0.0557819344500465,-0.129243831261131,0.073135573300255,0.0117948793410203,-0.0542754134494121,0.0654796761265098,0.0149468890796273,0.0706338567795922,-0.102490807890326,0.0520584357689597,0.352177757953793
"DEB",-0.0284745508443637,0.0529768676135083,0.0650229045274462,-0.131789457088025,0.0575481658021227,0.0162453753316308,-0.0673666119510401,0.103696955168431,0.0229343658653897,0.0729462951712038,-0.097180489966358,0.0918500310484038,-0.0396163445657279
"DEC",0.0451160576967678,0.0577913320561829,0.0697482978035407,-0.0440448518168636,0.0546707028008865,-0.0279544568479903,-0.132434888940145,0.0551423952084501,-0.0271414084282471,0.135361011259051,0.324942456043434,0.0634257241759839,-0.126290064998927
"DED",-0.0612017228093622,0.166508039432306,0.0816384258701906,-0.079699513953286,0.00620892213749205,-0.0504517442846625,-0.222013586402621,0.065939359760349,0.0139299020697378,0.230495817873937,-0.117194632272054,-0.00590975937791157,-0.038115276443493
"DEE",-0.0624985565979067,0.199813704136195,0.0649288021818682,0.00522787186868318,-0.00850138902828325,-0.0985016637862986,-0.250605713516795,0.026696775598316,-0.0356361237446397,0.232515974185879,-0.0352216002196394,0.0100680174107861,-0.090108520281087
"DEF",-0.0666294425878017,0.0718196300679733,-0.0211622292571439,-0.00356510994105137,0.0445991649697773,0.000627378872849443,-0.0765270311708157,0.101815918777858,0.0254868583882398,0.146717533448535,-0.0543415636286829,0.0942436860269066,-0.073620750398038
"DEG",-0.0339354820745563,0.187231121905057,0.0987362686193686,-0.0896333491078637,-0.00460909002839322,-0.093112720082442,-0.234387984438437,0.0624205083551803,-0.0235620908858743,0.194265349532015,-0.108456866524279,0.00957789904498369,-0.0925248478027922
"DK0",-0.0336230193361469,-0.0156752294220228,-0.0505242620098882,-0.0473264752640229,0.0201656412997754,0.0641300539272992,0.10687712696344,0.108281193364771,0.215107207111598,0.00135081357842141,0.0200222748980257,0.188495680877125,0.00750196996714583
"EE0",0.0209014113851367,0.164298492453639,0.0457792843029144,0.0293173461590537,0.00610362930719918,-0.026042162874096,0.000597857548785182,0.0413725628739024,-0.0342400722360748,-0.00750310157559081,-0.0306827163668264,-0.037067803152893,-0.11690890143164
"EL3",-0.0906412190867619,-0.106752482297594,-0.100952119556685,0.117380331405163,-0.0197468555304906,0.116981111198391,-0.090932734672224,-0.201581537158453,-0.104070711462561,0.0081987990116705,0.281524311645913,-0.0491591432132118,-0.0433850444632316
"EL4",0.141248756160914,-0.107514308207545,-0.0888895137884025,-0.0824481041173663,-0.086742376526402,-0.118554013702218,0.0127788366659961,-0.162986361601814,-0.181178470092256,-0.00602884088087527,0.281069781747763,-0.0235221989153665,-0.121281964557043
"EL5",0.173207932673862,-0.18398565186659,-0.0408194632824606,-0.0388035466883032,-0.103558347191349,-0.108834206315296,-0.040775407952504,-0.214657991601095,-0.0845650565650606,0.105803744706354,0.146579997283168,-0.0288579831229561,-0.0645203571806109
"EL6",0.317515452035976,-0.178692582515053,-0.0585523254126172,-0.0966050314901372,-0.103652546191786,-0.144865776228294,-0.0742070533296138,-0.187375926158511,-0.113769386558425,0.134746499573743,0.101347949717446,-0.0165526830925964,-0.0750205334300358
"ES1",0.00419208413143492,-0.164369765095692,-0.0536465420606915,0.148011207316996,-0.0448548421945449,-0.0535929847485402,-0.224148162569476,-0.153586598106704,-0.087401667170869,0.158140621089324,0.0378631361956884,0.19539727813149,-0.0280878216608102
"ES2",-0.0163055358627268,-0.135143936422005,-0.0197208578363142,0.216992681576464,0.0302514144683163,-0.0373965317629179,-0.136088698610335,-0.112088804526577,-0.0492295877186242,0.0620197502249744,0.0270631826710272,0.138026898533203,-0.0264644611703631
"ES3",-0.132350451865417,-0.105754075002405,-0.174714189414865,0.203386962432643,0.052257117133117,0.270306544738601,-0.0708721169443,-0.106648454322451,-0.0849890812210902,-0.0809323629960779,0.113668062668509,0.192335380547401,0.0291747284981053
"ES4",0.0433401460856549,-0.180541153296206,-0.0458155272250337,0.0691035306150301,-0.0573652948607117,-0.081789044090134,-0.101901565451081,-0.176871804991633,-0.0321611703751198,0.0696713390739559,0.0773096265134756,0.236616838863524,0.00865829365261069
"ES5",-0.0579283674404423,-0.160625832286971,-0.0790766824279145,0.111232090764017,-0.0117049896966892,-0.0225950479655999,-0.0693559050214763,-0.130418876813897,-0.118001630796635,-0.0315999183738621,0.114565119995835,0.178828145404095,0.234347964647579
"ES6",0.0202550542903999,-0.244909471014973,-0.144250557410691,0.00976121973623606,-0.0807879586932003,-0.0913358258206263,0.0226952746620208,-0.231513540390973,-0.0913240136266889,-0.11004054715985,0.118102857167592,0.270458354204386,0.134237810313366
"ES7",-0.0383877083236473,-0.229651961635387,-0.177482155856789,-0.00262048146572197,-0.0602862985278082,-0.11523210362105,-0.0616940296514395,-0.222309816745909,-0.225265553281089,-0.146258636726039,0.442988027817529,0.239594221283004,-0.0938520864710133
"FI1",-0.0401316194396591,0.0356690432230353,-0.0370302370258879,-0.00306737170313726,0.0197088816350247,0.0362808969733612,0.050536161704271,0.0302881914214386,0.131173728598139,0.0387692946622747,0.00165339527186048,-0.0300080201728346,0.00159710691862419
"FR1",-0.114917915136434,-0.0496957733056072,-0.13238999388876,0.186274838089376,0.155805583126019,0.216610304594691,0.172871617255102,-0.0284906543610428,0.0724361931429451,-0.184886307634573,-0.0727737892056698,0.012124056108172,0.192190859311109
"FR2",0.0141384392694169,-0.0224976173819877,0.0107825687486082,0.0283227920696874,-0.00514183719500824,-0.0823539798848945,0.0796463924930837,-0.0386531641667208,0.121934789675706,0.015871663673058,-0.0189945835585916,-0.0138129783840191,0.157490183409759
"FR3",-0.0435414140524539,-0.0577421594469568,-0.00116310637834141,0.115716848752763,-0.0256941556949765,-0.021689231632414,0.193987820014352,-0.0815923290069483,0.176749282049909,-0.119835903654868,-0.0212475180638705,-0.0237842604257794,-0.0372589413044969
"FR4",-0.00602616371699425,0.0041301740039948,0.0405107358378841,0.0605073684147548,-0.0111651248613583,-0.0486154036954062,0.0835612996701186,-0.0337187472800563,0.105038755703104,-0.0327883092140531,-0.0443512667302835,-0.0317798536617369,0.000754911293649709
"FR5",0.0101333032896197,0.0150507704646028,-0.0030384579177866,0.0598333909581313,-0.0011117985288214,-0.0249256318007292,0.0755201666434309,-0.016607864674393,0.147392599717681,0.041227864484578,-0.0203470073011456,-0.0596210873019967,0.0980429051975834
"FR6",-0.0293933232447443,0.00472810702623548,-0.0427043396666911,0.0851103272030529,0.001783875970987,-0.00776163287250063,0.0282818450575528,-0.0243387201388868,0.163079443431742,0.0773366733370403,-0.018983423843912,-0.080446933874548,0.0488635689310641
"FR7",-0.0287087036127194,-0.0141967638748689,0.00611811214277538,0.100027065302799,0.0215208503030308,-0.0286602476579589,0.109186941233815,-0.0139213374142502,0.148183118177132,-0.0197876891035571,-0.0336315193512608,-0.0178582605535315,0.0708046030984722
"FR8",-0.0453555747883883,-0.0474350795905829,-0.0974292068554093,0.0632431396676193,0.0016208071374021,-0.0408849161640409,0.0386595954595238,-0.0452781322721017,0.124605345878179,0.0948958492225021,-0.0143890992271033,-0.037847703204758,0.0776803313495658
"HR0",0.0706967202794655,0.0536702192251047,0.082429597904832,-0.0960339822005789,-0.108936477192076,-0.023431432346282,-0.007401915620114,-0.1252077006692,-0.0936212469856267,-0.00317550076570031,0.0401672649234315,-0.222417359599082,-0.0323318112225006
"HU1",-0.0939790709681848,0.0685245170746223,-0.0160775275788434,0.0146937468312767,-0.0390777285323598,0.15947368363178,-0.0435608327890683,-0.0518642313811213,-0.12396050728227,-0.021759516523406,-0.0279430457194876,-0.111070474022848,-0.0693079677722093
"HU2",0.0642796458902829,0.0969622859008114,0.218423315221594,-0.130962929217205,-0.108867607358927,-0.117777829565548,-0.0304610025372975,-0.0562120152617982,-0.0849912853670761,-0.0258765553047099,-0.0962609409018002,-0.100912756487256,-0.0691408906575447
"HU3",0.0815622010609313,0.0367896306476787,0.17588005014704,-0.11352826267703,-0.138889846690241,-0.126545629211671,0.0352722817605893,-0.0946470250803514,0.000974805701313121,-0.0406041217838218,-0.108215773329009,-0.104195356297456,-0.0411635248173642
"IE0",-0.0170166411501975,-0.050904733527004,-0.0545484457716318,0.137293503892656,0.0365177346312561,0.136254294802122,0.176729972876431,0.0134581061481817,-0.0210185655856873,-0.220126778110991,0.0264135475583614,-0.0612517102293777,-0.0219813406847994
"ITC",-0.0582585281265228,-0.0677175598829632,0.0443068923420662,-0.154635630217427,0.0533043999677748,0.0439897754974863,-0.149144278028142,-0.0363755137865206,-0.0816246240214948,0.154779079564574,0.0126253931015882,-0.0568204131948046,0.310592264113764
"ITF",-0.0105030913105967,-0.149161524642235,-0.0414778901604072,-0.187968708115641,-0.0800668135257123,-0.0934000479757128,-0.0147247107319651,-0.182355649967924,-0.0685496157685565,0.0191951267268196,0.0785630365214922,-0.0244296204147557,0.253950352051948
"ITG",-0.00501364607143156,-0.174829722356575,-0.121111515282612,-0.19361804395423,-0.0767072616924373,-0.110050683412892,-0.0482421302330587,-0.183411723519861,-0.0453607578088513,0.051296480221252,0.0883077306862844,0.0667765742794316,0.0401544651220745
