"module","eigenvar","p.eigenvar","meanVarTS","p.meanVarTS"
"grey",0.472744360301837,1.71160309079031e-06,0.0162182816904474,2.7900375121348e-08
"blue",0.00236091119294615,0.982081097353415,-0.02854091202193,0.824750930073697
"yellow",-0.125708735246584,0.229881216411244,-0.156890996050784,0.0492046126452732
"green",-0.14872991019944,0.154786118178173,-0.017984577144944,0.265529441805283
"brown",-0.181340464486769,0.0819317048200473,-0.196439650414917,0.00377659320018586
"magenta",-0.250211616715284,0.0155662692002336,-0.264983776484212,7.73627828465351e-11
"red",-0.367141792266439,0.000294624892866976,-0.350305585884066,4.7944983178061e-06
"black",-0.393267845095484,9.63534863853647e-05,-0.332828802661558,3.35557573796219e-05
