"","Sum Sq","Df","F value","Pr(>F)"
"emp_Y25_64_ED3_4",366.725363003551,1,7.58811185749406,0.0163914642635356
"emp_PT",2067.45152772487,1,42.7787522625517,1.88099315651888e-05
"emp_Y15_24_NaceB_E",1660.7639190564,1,34.3637600723245,5.5733812919878e-05
"emp_Y25_64_NaceG_I",883.920311258208,1,18.2896708861484,0.00090147998533261
"emp_Y25_64_NaceJ",427.104122352992,1,8.83744126304115,0.0107889448278049
"emp_Y25_64_NaceK",1110.57092081759,1,22.9794206318979,0.000350791261288006
"emp_Y25_64_NaceO_Q",1348.4210762417,1,27.90090620873,0.000148377259944704
"emp_Y15_24_NaceR_U",826.475760329767,1,17.1010547662311,0.00117292532244625
"training",282.375684997295,1,5.84278727287055,0.0310686066532512
"Residuals",628.276152036139,13,NA,NA
