"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",425400,3921000,9076000,18110000,17610000,80770000
"pop_Y0-14",13.18,14.6,15.12,15.71,16.86,22
"pop_Y15-24",9.708,10.76,11.88,11.68,12.42,14.25
"pop_Y65-74",7.303,8.916,9.867,9.59,10.58,11.15
"pop_YGE75",5.306,7.333,8.333,8.139,8.958,10.73
"rooms_pp",1,1.2,1.65,1.6,1.9,2.2
"ARPR_socexcl",14.8,18.88,24.4,24.88,28.52,40.3
"emp_Y25-64_ED0-2",3.82,9.631,13.19,16.4,17.93,50.74
"emp_Y15-24_ED3-4",33.18,53.85,62.06,62.21,70.58,86.7
"emp_Y25-64_ED3-4",23.07,38.54,46.45,47.84,57.76,72.48
"emp_Y15-24_ED5-8",4.736,8.745,13.74,16.02,21.85,40.74
"emp_Y25-64_ED5-8",19.83,27.59,34.63,35.41,42.98,50.59
"emp_TF",32.06,44.96,47.39,47.4,50.76,56.99
"emp_Y15-24",12.81,22,26.68,29.93,40.63,58.41
"emp_Y25-64",56.02,68.46,70.29,70.82,75.02,83.1
"emp_Y15-24_NaceB-E",5.548,9.148,15.76,16.6,21.29,38.82
"emp_Y15-24_NaceF",2.629,5.448,7.308,6.808,8.036,12.04
"emp_Y25-64_NaceF",4.331,6.224,6.737,6.906,7.524,9.735
"emp_Y15-24_NaceG-I",20.78,32.49,36.56,36.75,41.38,49.18
"emp_Y25-64_NaceG-I",15,20.84,23.23,23.32,26.98,30.26
"emp_Y25-64_NaceJ",1.769,2.517,2.957,3.103,3.525,4.468
"emp_Y25-64_NaceK",1.392,2.206,2.732,3.289,3.516,13.22
"emp_Y25-64_NaceL",0.117,0.4802,0.6575,0.8081,1.034,2.318
"emp_Y15-24_NaceM_N",3.326,5.992,7.474,7.473,9.178,12.59
"emp_Y25-64_NaceM_N",4.619,7.051,8.715,8.744,10.38,13.04
"emp_Y15-24_NaceO-Q",3.109,9.584,13.76,14.38,18.07,33.06
"emp_Y15-24_NaceR-U",3.463,4.639,5.92,6.504,8.332,10.77
"emp_Y25-64_NaceR-U",2.684,3.858,4.576,5.059,5.4,11.4
"unemp_YGE25",2.837,3.838,4.875,6.19,7.014,15.82
"GDP",12800,20420,23400,26840,32800,73000
