"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"emp_Y15_24_NaceG_I",-2.65287658815021e-05,2.35569316445644e-08,1,0.00953696598523336,0.000319405924554512
"emp_Y25_64_ED5_8",-7.1918759832553e-05,5.34821139045644e-08,1,0.0109294974833029,0.000481269000606244
"emp_Y15_24_ED3_4",-5.2792912415042e-05,3.32435333668209e-08,2,0.0131501793329689,0.000379434831034103
"emp_Y25_64",7.58354217868573e-05,1.81042735508178e-07,2,0.0159652390689806,0.000885470624675929
"pop_Y65_74",-0.000633631478261546,4.99717635148484e-06,2,0.0161724994856127,0.00465206682565978
"pop_Y0_14",-0.000631269136438663,3.2800700231335e-06,2,0.0188092901373982,0.00376899155343947
"unemp_YGE25",-0.000449891269062927,1.67994073872228e-06,3,0.0207108264409746,0.00269730829235877
"emp_TF",0.000295484175081233,6.54806826130348e-07,3,0.022166298281146,0.00168399270436707
"emp_Y25_64_NaceG_I",0.000649800268199954,2.71179534664589e-06,4,0.0249977146939142,0.00342698388465984
"rooms_pp",-0.0126526252663169,0.00079170778793932,3,0.0288446210517583,0.0585552804170906
"emp_Y15_24_NaceM_N",-0.00116190129072215,9.02109725463123e-06,4,0.0293242476964313,0.00625047883644201
"emp_Y25_64_ED0_2",-0.000111324206313351,3.19623818223456e-07,3,0.0330805154824422,0.0011765304568173
"emp_Y15_24_NaceR_U",-0.00187221375852359,2.10472253108344e-05,4,0.0348547157841654,0.00954731016298027
"emp_Y15_24_NaceF",-0.00205478387131327,2.30365780858494e-05,6,0.0411373712889992,0.00998832329252392
"GDP",-7.69742983625251e-07,2.91224767453085e-12,4,0.0421542319448291,3.55138503382283e-06
"emp_Y25_64_NaceF",-0.00336777243087959,7.00190783490891e-05,7,0.0422804390394458,0.0174137298038936
"emp_Y25_64_NaceK",0.00521510036565306,0.000129552413052348,5,0.0490033566198494,0.0236867981891426
"unemp_Y15_24",-0.00159973415894079,1.30545947299761e-05,7,0.0540167077457899,0.00751909035394032
"pop_YGE75",-0.00945121224099645,0.000383763669020754,11,0.0749807341621225,0.0407676366307958
"training",-0.00240079471937685,2.31322927359336e-05,11,0.103865506022984,0.0100090520195117
"emp_Y15_24",0.00236450854921697,2.03967185121869e-05,17,0.122225439337429,0.00939861279336346
"emp_Y15_24_NaceB_E",-0.00402558912561581,5.7955451556141e-05,16,0.132495806604727,0.0158427567308442
"emp_Y25_64_NaceM_N",-0.0165174930384509,0.000948109691146115,17,0.145251857213705,0.0640785830069
"emp_Y25_64_ED3_4",0.0043738915089924,5.85267776594677e-05,26,0.1991505443086,0.0159206543429723
"ARPR_socexcl",0.00638251006640596,0.000118334233912395,25,0.246654128026841,0.0226380392389639
"pop_Y15_24",0.223417225639061,0.0144547815781904,82,0.86900260857084,0.250201191400275
"emp_Y25_64_NaceL",-0.41758053031087,0.0515254829089047,92,0.912215792326103,0.472383415543129
"pop_Total",-8.83858265377122e-09,1.87411767404729e-17,91,0.934939687160393,9.0091130106831e-09
"emp_Y15_24_ED5_8",0.0371307952474598,0.000204454706697794,98,0.988281036456384,0.0297565216110483
"(Intercept)",-2.8766534271655,2.31848949147481,100,1,3.16873683611271
"emp_Y25_64_NaceR_U",0.219745399206177,0.00375958812244229,100,1,0.127600901013347
