"var","module","VS","p.VS"
"emp_Y25-64_ED0-2","grey",0.788304352451439,1.47241287089975e-56
"earn_OC2_P-S","green",0.702254139974523,4.23999014997793e-40
"pop_YGE75","grey",0.665139660295365,1.04135185288013e-34
"earn_OC1_B-F","green",0.649085236398545,1.30890192158786e-32
"earn_OC1_P-S","green",0.626488452378755,7.3416535943069e-30
"unemp_YGE25","grey",0.459307122177734,5.0217857935278e-15
"emp_Y25-64_NaceR-U","grey",0.457635138298073,6.47976841049883e-15
"unemp_Y15-24","grey",0.389159589547583,7.24299059617962e-11
"earn_OC5_B-F","brown",0.274207543338195,6.95202794024255e-06
"earn_OC3_G-N","black",0.274207543338195,6.95202794024255e-06
"earn_OC8_P-S","brown",0.274207543338195,6.95202794024255e-06
"earn_OC9_P-S","black",0.274207543338195,6.95202794024255e-06
"pop_Total","grey",0.259467191107141,2.1896403465826e-05
"disp_income","grey",0.0584854056596326,0.346637577139632
"emp_Y25-64_NaceM_N","grey",0.00907380015591007,0.884007348685465
"emp_Y25-64_NaceA","grey",0.00440983194450683,0.943476226491254
"earn_OC3_B-F","black",-0.00725533996713866,0.907135408490934
"earn_OC4_B-F","black",-0.00725533996713866,0.907135408490934
"earn_OC4_G-N","black",-0.00725533996713866,0.907135408490934
"earn_OC4_P-S","black",-0.00725533996713866,0.907135408490934
"emp_PT","grey",-0.00830323767344318,0.89379690153883
"earn_OC7_B-F","black",-0.0188860376243838,0.761374848291718
"earn_OC8_B-F","black",-0.0188860376243838,0.761374848291718
"earn_OC9_B-F","blue",-0.0188860376243838,0.761374848291718
"earn_OC5_G-N","blue",-0.0188860376243838,0.761374848291718
"earn_OC9_G-N","blue",-0.0188860376243838,0.761374848291718
"earn_OC5_P-S","blue",-0.0188860376243838,0.761374848291718
"earn_OC1_G-N","black",-0.0417782044418188,0.501582826362402
"earn_OC2_G-N","black",-0.0417782044418188,0.501582826362402
"earn_OC3_P-S","black",-0.0527442908043643,0.396097810293883
"emp_Y25-64_NaceK","grey",-0.0818713754326623,0.18732345807261
"pop_Y65-74","grey",-0.108031951634344,0.081502464707248
"GDP","grey",-0.1227980152753,0.0474963487043568
"emp_Y25-64_NaceG-I","grey",-0.14075964817837,0.0229382106401025
"pop_Y25-64","grey",-0.174457853021889,0.00470401620787837
"earn_OC7_P-S","brown",-0.174626617682353,0.00466338475524578
"emp_Y15-24_ED0-2","grey",-0.290371075856987,1.82604628265948e-06
"emp_Y25-64_NaceB-E","grey",-0.30740900517549,4.06901228338757e-07
"earn_OC7_G-N","black",-0.313530378274595,2.31702243103695e-07
"earn_OC8_G-N","blue",-0.313530378274595,2.31702243103695e-07
"earn_OC2_B-F","black",-0.33642254509203,2.51470029724196e-08
"emp_Y25-64_NaceJ","grey",-0.389626532439044,6.84405810063456e-11
"pop_Y15-24","grey",-0.425603834079671,6.59761358589405e-13
"emp_YGE65","grey",-0.426113946721295,6.15231528006233e-13
"pop_Y0-14","grey",-0.477615889982148,2.80706745993577e-16
"training","grey",-0.495482234943563,1.41757253340489e-17
"emp_Y25-64_NaceO-Q","brown",-0.506138050561703,2.19435529731648e-18
"emp_Y25-64_ED5-8","grey",-0.511601652840332,8.21788414734282e-19
"emp_Y15-24_NaceG-I","yellow",-0.538110403028371,5.40237816776351e-21
"emp_Y25-64_ED3-4","grey",-0.550368067692317,4.53709266799452e-22
"emp_Y15-24_ED3-4","yellow",-0.557955090874339,9.2988016944309e-23
"emp_Y25-64_NaceF","grey",-0.587439855708872,1.31432832356189e-25
"emp_Y25-64","yellow",-0.614295808827463,1.80943478373966e-28
"expend_ED5-8","brown",-0.680691195746488,7.17812987537103e-37
"emp_FT","grey",-0.682554892558496,3.87214371119866e-37
"emp_Y15-24","yellow",-0.686189698746938,1.14646592086402e-37
