"","var","module","kTotal","kIn","MM.yellow","p.MM.yellow","MM.brown","p.MM.brown","MM.magenta","p.MM.magenta","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.green","p.MM.green","MM.black","p.MM.black","MM.pink","p.MM.pink","MM.red","p.MM.red","MM.grey","p.MM.grey"
"29","GDP","green",0.974273256512502,0.484268017704696,-0.212369128508641,0.000453223456401039,0.338023688546139,1.29714532312368e-08,0.0151679904453163,0.804421240813992,0.633195939142136,1.50289506083479e-31,0.517211643467926,8.3462138340738e-20,0.930429490232133,2.0792559097039e-118,0.0715132864969861,0.242427666540439,0.1402784805902,0.0213681782141618,-0.110753210077798,0.0697374811096184,-0.205230869866561,0.00070795322037413
"30","disp_income","green",0.764373070056967,0.411078244143235,-0.0833136200485286,0.175493641558879,0.374083006396557,2.92526314535024e-10,-0.0664565458395225,0.280158504318446,0.629902832544603,8.16642734417798e-31,0.382224609151699,1.11008027404506e-10,0.919844572702697,2.73517094157572e-109,0.262558638750757,1.43530602861222e-05,0.0902609382784422,0.142056168593931,-0.0898082196383396,0.144074984844096,-0.0753703208103891,0.220497207776887
"5","pop_Y65-74","black",0.0896903756733757,0,0.111343530180572,0.0682520556612752,0.195688225538972,0.00125610730052692,-0.478783899585098,8.07285428469059e-17,0.29090236549594,1.20798832284005e-06,-0.0754147478222272,0.217616696832652,0.0827547516445036,0.175966018102659,0.881574777907242,4.96565637945726e-89,-0.076654521691419,0.210126507064319,0.0306004056545032,0.617311806393045,0.149997225767075,0.0137922483603269
"6","pop_YGE75","black",0.136358577120892,0,-0.0180793677214917,0.767866345836455,0.078234601466028,0.200851664971737,-0.609818318568249,8.69422738127787e-29,-0.0271159691012102,0.657949942485058,-0.0818022650070589,0.181009936285257,0.118298223874432,0.052621979069763,0.910842318765528,1.31285392554629e-104,0.0811882347864149,0.184317652279063,0.330614585067229,2.78884745368561e-08,-0.0800236734542899,0.190712855232438
"7","emp_Y15-24_ED0-2","pink",0.054113691196973,0,-0.0883730628614406,0.174198741689525,-0.0644652475022141,0.322019739943751,-0.32864800919159,2.12249550913399e-07,0.140752884553121,0.0299450966395147,-0.111578558049458,0.0858595510815424,0.166417390480005,0.010117002919385,0.253781480066331,7.50896002151603e-05,0.839600175980626,1.74427875835504e-64,0.369924674158833,3.93182740373639e-09,-0.200072234831302,0.0019239006364926
"9","emp_Y15-24_ED3-4","pink",0.0843582969167922,0,0.428682243781445,1.88941952476271e-13,-0.227163166072239,0.000171519838610959,-0.102744965190308,0.0926175561912378,-0.189917542078572,0.00175462440134922,-0.287163668516724,1.67488761375301e-06,-0.339922805415739,1.0625673726193e-08,0.0425813994743449,0.486773253322955,-0.707068854468196,4.52825064194067e-42,-0.396536277185372,1.45591180804525e-11,0.223314379668325,0.000222228247856104
"8","emp_Y25-64_ED0-2","red",0.230485872497539,0.088965683315857,-0.578094656827387,2.18820168643734e-25,0.080355964909036,0.188871734457008,-0.00251530451830069,0.96724645746775,-0.342932179252437,7.72464864653806e-09,-0.00123977386919184,0.983852620692816,-0.160240310220891,0.00846510811048504,0.174374102227401,0.00412241555177776,0.291830808781372,1.1130196643961e-06,0.833726041416215,7.97506194635488e-71,-0.208931180528584,0.000562855675549203
"12","emp_TF","red",0.0715085963524542,0.0329116241080673,0.352393546517721,2.77221170569727e-09,-0.193352937912667,0.00143965737173497,-0.0554032809928055,0.365388445422211,0.263014543145487,1.23752543873299e-05,-0.00829680593315948,0.892258957326554,0.0960235994747452,0.116135537630522,-0.161832719919609,0.00782691365394585,-0.258123262251321,1.81357939075586e-05,-0.727667116708897,1.29330876037092e-45,0.189488739696807,0.00179807747352506
"27","unemp_Y15-24","red",0.251426991144118,0.0658154914125372,-0.550535583191604,1.5721181363396e-21,0.0475959628506097,0.450104124950369,0.0771096998134475,0.220692412440997,-0.475644374957664,9.60338838687311e-16,0.0383360763931479,0.543063762889858,-0.265361104449249,1.82430011497895e-05,0.0438202432322093,0.486886675133418,0.098754913250352,0.11642181287676,0.726757556839922,5.42157220964316e-43,-0.113211906405212,0.0716719350655964
"1","pop_Total","grey",0.000328388897581473,0,-0.00327482784343462,0.957364451681041,-0.110386728069689,0.0706728660057874,0.0120864081081581,0.843580327897181,-0.0358702152188253,0.558034018018324,-0.0436534798128317,0.475860530402506,0.104164431867922,0.0881740451019459,-0.15218023883063,0.012458307656679,-0.156422965716646,0.0101870076857694,-0.188502345768062,0.00190179238524031,-0.538462581762809,1.2617795393433e-21
"19","emp_Y25-64_NaceF","grey",0.00375223331410635,0,0.28204146553478,2.60101004848265e-06,-0.0415869845321102,0.497014404703706,0.0652727687461084,0.28610479899874,0.103525125302854,0.0901537122221606,-0.17628585696055,0.00372462294962245,-0.12424432977615,0.0417337796338325,-0.0347093528639331,0.570853109297187,-0.294794922537252,8.55324056906541e-07,-0.234523787506088,0.000103237553470942,0.832261246432028,2.31570095334401e-70
