"","MEyellow","MEbrown","MEmagenta","MEturquoise","MEblue","MEgreen","MEblack","MEpink","MEred","MEgrey"
"AT11",0.0299846208642781,-0.0347560812830576,-0.059259191626872,0.0580183203445685,0.0240295945944617,0.0183734312476766,0.027990003782238,0.0182260350428664,0.0443415955198945,0.11985438029107
"AT12",0.0234566310541771,0.00404318938327181,-0.014969058273627,0.0553044500936841,-0.00329550428201726,0.0343842620134685,0.01586956357003,0.0300080665166269,-0.0365873364095964,0.0506102774468077
"AT13",-0.0593047615888212,-0.00200918588380281,-0.00264841245883028,0.0118421185779572,0.0789012928193636,0.13301084737467,-0.027914376462998,0.019669215527905,-0.00327250577857954,0.0106525135891496
"AT21",0.0254090527262512,-0.0198060268513588,-0.0374254477821806,0.0413671451181161,-0.0230412029036626,0.0273859054349243,0.0318148560306318,0.0118307832628958,-0.0392228919491238,0.130293883448179
"AT22",0.0528496993320995,-0.0118435390633304,-0.022757287815325,0.0492453868344664,-0.0349156305427908,0.0341314392938258,0.0152913860099957,-0.00093557108293861,-0.0400539587461581,0.0513378235185425
"AT31",0.0725155115422972,-0.0185972029457048,0.00929654879452494,0.0732210233722801,-0.0331397390756146,0.0459617407694133,-0.0195078959340983,0.0398631820282751,-0.0416743978319172,0.0445169775540004
"AT32",0.0108320867579226,-0.0491343867989896,0.00100826253395498,0.0647153426625849,-0.0119712940200208,0.0603437131966219,-0.0170426955552169,0.0241223183121068,0.0392999172931672,0.0601914834497209
"AT33",0.0170810737344461,-0.0472912408460679,0.0168812781091426,0.0708485387848183,-0.0262291251872491,0.048523324526004,-0.0287369683210374,0.0158132746911612,-0.0423673960005477,0.0880418347945638
"AT34",0.0659880121253393,-0.0233638130773811,0.0310776028404532,0.0717793261838049,0.0237836112900559,0.122540221438522,-0.0438956172414856,0.0350337632650619,0.0526974244895374,0.0810036603260836
"BE10",-0.140632644476034,-0.000766720431961369,0.0697590056122281,-0.0694395579243949,0.125046617610382,0.145802130936044,-0.112446575273484,0.0455378350681541,0.0369852201822295,0.0115318816146153
"BE21",0.0108535894296197,-0.00272185872975372,0.0203289216492379,0.000434201525397932,0.046665384615298,0.0329405052392685,-0.0111265624035156,-0.0177819933015536,-0.0142697077535674,-0.0181171981216118
"BE22",0.0239846014441131,0.00442092596406771,0.000300416141663081,0.0115454255294198,-0.00475191264532823,0.00439039505431883,-0.0158418557194836,-0.0325095655250758,0.00145540032807237,0.0798229196028395
"BE23",0.00581469234594449,0.0282358090526478,0.00888534133058598,0.0232239833810006,0.0219280894165682,0.0191493050900816,-0.0031663625057053,-0.0166822100595398,-0.0184642010843014,0.0205425293641642
"BE24",-0.0527817786456048,0.0172217638941659,0.0266051876714588,0.0135038599689053,0.0851622933591878,0.0414337550166559,-0.0104691674830003,-0.0232306818538236,-0.0329325509878638,-0.0392516012817432
"BE25",0.0151903925529065,0.0269499195283106,-0.00602360601834458,0.0252627857419638,-0.00920482989495033,0.0208432909271085,0.0557630008497825,0.000568825815556957,-0.00937333820575867,0.0626472871061398
