"","pop_Total","pop_Y0-14","pop_Y15-24","pop_Y25-64","pop_Y65-74","pop_YGE75","ARPR","low_work","rooms_pp","mat_depriv","ARPR_socexcl","emp_Y15-24_ED0-2","emp_Y25-64_ED0-2","emp_Y15-24_ED3-4","emp_Y25-64_ED3-4","emp_Y15-24_ED5-8","emp_Y25-64_ED5-8","emp_TF","emp_TP","emp_Y15-24","emp_Y25-64","emp_YGE65","emp_Y15-24_NaceA","emp_Y25-64_NaceA","emp_Y15-24_NaceB-E","emp_Y25-64_NaceB-E","emp_Y15-24_NaceF","emp_Y25-64_NaceF","emp_Y15-24_NaceG-I","emp_Y25-64_NaceG-I","emp_Y15-24_NaceJ","emp_Y25-64_NaceJ","emp_Y15-24_NaceK","emp_Y25-64_NaceK","emp_Y15-24_NaceL","emp_Y25-64_NaceL","emp_Y15-24_NaceM_N","emp_Y25-64_NaceM_N","emp_Y15-24_NaceO-Q","emp_Y25-64_NaceO-Q","emp_Y15-24_NaceR-U","emp_Y25-64_NaceR-U","unemp_Y15-24","unemp_YGE25","GDP","GVAgr","disp_income","training","earn_OC1_NaceB-F","earn_OC2_NaceB-F","earn_OC3_NaceB-F","earn_OC4_NaceB-F","earn_OC5_NaceB-F","earn_OC6_NaceB-F","earn_OC7_NaceB-F","earn_OC8_NaceB-F","earn_OC9_NaceB-F","earn_OC1_NaceG-N","earn_OC2_NaceG-N","earn_OC3_NaceG-N","earn_OC4_NaceG-N","earn_OC5_NaceG-N","earn_OC6_NaceG-N","earn_OC7_NaceG-N","earn_OC8_NaceG-N","earn_OC9_NaceG-N","earn_OC1_NaceP-S","earn_OC2_NaceP-S","earn_OC3_NaceP-S","earn_OC4_NaceP-S","earn_OC5_NaceP-S","earn_OC6_NaceP-S","earn_OC7_NaceP-S","earn_OC8_NaceP-S","earn_OC9_NaceP-S","expend_ED5-8"
"earn_OC4_NaceG-N",6275950.34990196,-0.570935294501136,-0.994845298700217,-0.04959002991423,0.456175664272128,1.15919495884346,-1.05516666666667,1.59505882352941,0.0217843137254902,-3.24239215686275,-2.4088431372549,9.14640232701761,0.8222460282034,-2.02069490705578,3.01623863102676,-7.07983633900518,-3.95706332935827,-1.13923062262561,1.66912071813883,-0.17055864438775,0.795202919209579,-0.576128331245587,-2.30768565104979,-1.21739381817325,3.93898594967298,2.97529304854024,1.41662834968379,-0.645918043051661,-4.0760803590906,-2.48003160656934,-0.745290597999473,0.0836976118954003,-0.796284115008884,-0.253812668611289,-0.269265768738218,-0.126885249713938,-0.692704165128277,0.112170623932132,4.30742925363503,2.75423149925045,-0.958726831581447,-0.632790744657145,-1.93946076752018,-1.37666551563609,4583.82352941176,1.34392261904762,1332.23958333333,2.2601862745098,8.24165,7.02780441176471,4.59637745098039,4.72962647058824,2.22982447916667,4.78783333333333,3.31853137254902,3.45887352941176,3.42459901960784,7.63063137254902,5.63131176470588,4.819325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC5_NaceG-N",2516819.60789216,-0.0762157922045162,-0.548803127804945,-0.535242948791751,0.31291349734148,0.847348371459733,-0.922132352941177,0.842946078431373,0.0232009803921569,-2.93778431372549,-2.43055392156863,2.56416860135157,-0.0735671301504157,1.56511359657632,2.12344992590334,-4.04735890311928,-1.99001734068885,0.566260914362612,-1.08999743943456,-2.58668229086694,0.395781609864661,-1.41590508778375,-2.79621779248686,-1.44989532079211,3.25727881091918,2.17343691535554,1.53761001779732,-0.413030600980364,-4.23882626194866,-1.88023861140479,-0.479685962200156,0.18168494832001,-0.461441580780709,-0.46678757724237,0.436310306689992,0.0633874625176099,-0.640768704128991,0.0831378325642366,5.13073377916384,3.26496967963676,-0.379658631982206,-0.69937224536224,-1.17755026909756,-1.08509925323994,2709.67156862745,1.38932738095238,904.239583333333,2.69355392156863,5.34190441176471,4.96175784313725,2.92423137254902,3.31455147058823,1.8976921875,3.91572708333333,2.73853970588235,2.74977843137255,2.82134656862745,4.40488529411765,4.00699068627451,3.18738284313725,3.00654852941176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC6_NaceG-N",-7871049.65966666,1.19045259995152,0.15746766634038,-1.74213087194133,0.266937715580348,0.127272890069086,-1.25848333333333,0.997883333333333,0.074725,-0.940575,-0.674083333333334,-1.8293343103045,1.21052441666442,-2.99176180683894,-5.06850600528332,4.47277492648252,3.3994591929231,3.84848220952042,-5.25251794074814,-3.67874548055623,-0.289199411825426,-0.45267316874106,-1.38357632025419,-1.12767924243564,-2.04518281032206,-0.879688692038239,0.522031348280443,-0.558540961893781,3.32600067340892,-0.793432525597409,0.341263534040744,0.509806178773491,0.0714548200566099,0.0884209920179328,1.30778689071894,0.401751909198993,-0.896400417415769,-0.64060447068907,1.66778580568342,4.17076085800034,1.55850127836681,0.371992090414668,0.134185051661072,-0.124801340307642,-669.425,1.19893518518519,-1020.38333333333,8.870475,0.625381666666667,3.354395,1.05459916666667,1.59865916666667,1.5306625,6.00243095238095,2.04203833333333,1.96485,2.49394833333333,0.198334166666668,2.9109075,2.35207333333334,1.87485666666667,2.27195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC7_NaceG-N",1250043.32686274,0.257445152488368,-0.584991541775459,-0.700311298928035,0.110110501577674,0.917747186637454,0.0236764705882347,1.68099019607843,0.088921568627451,-3.22893137254902,-1.73456862745098,2.09481698766882,-2.90717267024095,-0.486074747911422,0.294234084775547,-1.62815025323581,2.56192218895431,0.359155144839384,-0.0632722148018887,-1.91372838903689,1.10911891769688,-1.0123850637395,-1.29162682466455,-0.85153444168909,0.681168484468877,1.14806012959665,1.62027652312128,-0.344062168996082,-3.56361463394679,-1.9538262111897,-0.597297418516352,0.316961327034884,-0.712289074909324,-0.580128329568632,0.207259258628259,0.0809419876693862,-0.522358443431811,0.435867264403999,4.91046445583688,3.42074789710824,-0.216986885232553,-0.987815720081581,-0.998509601282865,-0.81318182676643,3040.83333333333,1.73503571428571,433.385416666666,2.3491862745098,4.59369117647059,4.78424607843137,2.95449607843137,3.30120294117647,1.686540625,3.29098958333333,2.84119705882353,2.75102549019608,2.88184509803922,4.13014705882353,3.75644509803922,2.77303137254902,2.67214705882353,2.35076274509804,1.75772833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC8_NaceG-N",1908489.89372549,0.418763803511722,-0.533657488434249,-0.699407933408693,-0.000297071974675198,0.814598690305897,-0.597264705882353,1.37362745098039,0.0269166666666667,-3.77287745098039,-2.52237254901961,2.22494693071824,-5.19397797738999,-1.27414005847683,2.58481479603103,-1.02551916748782,2.44260259876736,0.138490498176569,-0.122371733087288,-1.14906896878459,0.66681238128214,-1.58840582032631,-1.86346695834683,-0.619567794854954,0.693214277257087,0.937953521116375,2.28264875918274,-0.249291967235266,-2.78863818138711,-1.93743164665279,-0.437810443959343,0.212978082756788,-0.874799097878203,-0.508763114368668,0.368620074136337,0.267134218330019,-1.01338462203718,-0.0111309803190096,4.20387258647703,3.61321211914213,-0.307785724076751,-1.06772032905414,-1.32880788112968,-0.739965351957733,3349.0637254902,1.74268452380952,327.40625,3.41241666666667,4.65191176470588,5.0990568627451,3.19137598039216,3.72455147058823,1.6408484375,4.55139791666666,3.01563823529412,3.10538921568627,3.2934637254902,3.86651323529412,4.0282387254902,3.07556568627451,3.02207647058824,2.54198725490196,2.71882416666667,2.81519607843137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC9_NaceG-N",1588208.96313725,0.472132868171389,-0.400931644663053,-0.715314065361114,-0.00663961529188214,0.650752457144661,-0.794568627450981,1.59016666666667,0.0547990196078431,-2.75581862745098,-2.03665196078431,2.56013985034558,-1.55976554334161,-1.43688946034251,0.639073923679847,-1.18822154007852,0.75772200847685,0.120047204840112,-0.846476582952843,-3.43057752095443,0.161181345745837,-1.52783675900785,-2.45490542777315,-1.1690595782654,1.20719187904454,1.05467188642474,1.52002653743784,-0.361513984232496,-2.24443727397703,-1.94179615510332,-0.481304936402373,0.173051629254263,-0.783301581943748,-0.375774879676164,0.434259016299376,0.127820855959108,-0.844069054106983,-0.029670258553344,4.71992020982958,3.96890085623075,-0.26909819586204,-0.696530417973,-0.852471387473438,-0.491600880873955,2661.39215686275,1.59108333333333,154.9375,3.00114705882353,4.59384558823529,5.11611666666667,3.05851421568627,3.4921,1.83673645833333,4.82990208333333,2.92098039215686,3.00509019607843,3.15989754901961,4.04746715686275,4.13800098039216,3.31703137254902,3.05176960784314,2.64851715686274,2.80083416666667,2.65095098039216,3.03867107843137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC1_NaceP-S",17348717.9244608,-0.918688974111218,-1.26332496716066,0.585577703758138,-0.11973149100035,1.71616772851409,-1.07663235294118,1.79552450980392,0.0343872549019608,0.926078431372549,0.847642156862743,8.73700976905146,0.602726414199112,-0.105687715759188,4.42204218246989,-8.37849172601913,-4.99635867788905,-4.90718595322008,3.3928473393995,-13.042200342595,-0.679644104345581,1.73215642768554,4.70274793571243,1.51463330807407,2.9125499136927,3.78983721039087,0.459172365501225,-1.71814244239482,-4.05636828549639,-4.88786339963636,-2.50299557432301,-0.410963025991488,-2.00856683319198,0.746730452028697,-1.27528716039287,-0.929340639229353,1.54416576297345,1.03784408504226,-0.747837180193975,-0.507455338196257,-0.762823595296078,1.41245634585441,-1.51143891171716,-1.0808501008494,4239.47549019608,-0.410910714285714,1337.92708333333,-2.38617156862745,17.5175691176471,9.43750098039216,6.99864509803922,6.2312455882353,5.1355234375,3.972,2.98715441176471,4.1566862745098,3.81815049019608,16.7321676470588,8.69561225490196,8.05306421568628,6.7843455882353,3.08493284313725,0.326301666666667,2.6891431372549,2.64987745098039,3.21131225490196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC2_NaceP-S",16713331.0732353,-0.208707887863605,-0.906065099597075,0.455318837592972,-0.261050586108995,0.920504735976706,-1.86619607843137,2.67863725490196,0.018514705882353,-0.767485294117647,-1.03144117647059,4.22161369346715,1.2593540618797,2.40136483045749,2.12540846221118,-6.6465778623522,-3.59041304704389,-5.95403051516282,3.93401276779632,-6.96224755601347,-2.12614250128542,-0.0550403622680134,-0.432348405087082,-0.0568733752796818,3.46299220401486,2.6182323035413,0.735725610720791,-1.32135719227289,-3.32742162342009,-4.61865590512409,-1.86595868294684,-0.138189929681204,-1.63182102643588,0.501641038592363,-0.956204722554029,-0.552581452733616,0.189992632124399,1.07824830787102,1.3417750802157,2.13318466098027,-1.04081860716226,-0.0937955082333196,-1.35308834051712,-1.71509806941855,4070.11274509804,0.244065476190476,861.406249999999,-2.20949509803922,12.6969794117647,7.58049901960784,5.39104264705882,5.20258970588235,3.88704635416667,2.41694791666667,2.68895490196078,3.27271078431372,3.47687647058824,11.2070328431373,6.85759068627451,6.07592254901961,5.18119803921569,2.52737156862745,0.0538508333333332,2.77120980392157,2.8057181372549,2.95817794117647,13.827987254902,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC3_NaceP-S",4372965.7997549,-0.00936636125319468,-0.741482653909737,0.00482084184354297,0.0939523057850501,0.65207586753434,-0.713936274509804,1.94935784313725,0.0912990196078431,-1.4616862745098,-0.97982843137255,7.01111266058039,2.07676595341728,-4.1849381353647,-1.22516280095651,-2.87543979784479,-1.08417299432515,-2.25598785093126,1.79472477191958,-1.55400047332136,-0.562185242908184,-0.422127300369189,-1.44773197222184,-1.13068125972499,0.836094639191323,1.29362768466697,0.0882106025621134,-0.73050481019608,-0.360516389452001,-1.72228297863843,-0.488355683006574,0.0524726224510128,-0.771231491912848,0.127217848725778,-0.369389632929369,-0.146260889873493,-0.459759349555675,0.157609048558232,2.49538422011248,2.23121591435251,-0.853788501728798,-0.216835874334629,-1.18841916740881,-0.462130984134056,2502.9068627451,0.800386904761905,69.1249999999998,0.897867647058824,5.27204264705882,4.93907549019608,3.25337745098039,3.24951029411765,1.63402239583333,3.3564375,2.16794950980392,2.34657254901961,2.38069166666667,5.39957450980392,4.00232892156863,3.5086887254902,3.1017387254902,1.84555539215686,1.39958666666667,1.87832450980392,2.16426666666667,2.24025637254902,5.6860181372549,4.49425294117647,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC4_NaceP-S",7822076.77558824,-0.594068813535853,-0.897816360328344,0.15617600325295,0.368782614603956,0.966926556007292,-0.578392156862746,1.57583333333333,0.0356617647058824,-2.96557352941177,-2.126,9.91739764609468,1.64720065370661,-2.02618148119728,2.7182648290915,-7.89966362035917,-4.58527947057875,-2.62554956233989,2.9636963771454,2.64881937998993,-0.117327494157055,-0.903405009511311,-1.53444708623101,-0.960759485660195,3.16172866074516,2.8425474780327,0.837149283740677,-0.704135390318835,-3.46205914302539,-2.33303589092216,-0.419951226031757,0.0438274349345477,-0.596430382238697,-0.232619284157732,-0.604918414746875,-0.120513079989935,-1.31330336873547,-0.0127160188711951,4.30472864239197,2.81349194765526,-1.70804732145877,-1.28854509564454,-2.77711878778378,-1.93167670797603,4074.38725490196,1.63960119047619,948.635416666667,0.247406862745099,6.76640588235294,6.14922156862745,4.10902205882353,4.35898970588235,1.61924739583333,4.1686125,3.28523921568628,3.23418333333333,3.10047941176471,5.95535539215686,4.46580637254902,3.82163921568627,3.88044019607843,2.57412254901961,1.0643375,2.56212549019608,2.83988774509804,2.76278676470588,5.33357156862745,4.74526421568627,2.9687705882353,NA,NA,NA,NA,NA,NA,NA
