"","mean","n","stdev"
"pop_Total",549680,1,NA
"pop_Y0-14",16.8377965361665,1,NA
"pop_Y15-24",12.0371852714307,1,NA
"pop_Y25-64",57.0488284092563,1,NA
"pop_Y65-74",7.41376801047882,1,NA
"pop_YGE75",6.66242177266773,1,NA
"ARPR",16.4,1,NA
"low_work",6.1,1,NA
"rooms_pp",2,1,NA
"mat_depriv",1.4,1,NA
"ARPR_socexcl",19,1,NA
"emp_Y15-24_ED0-2",37.1900826446281,1,NA
"emp_Y25-64_ED0-2",14.3042912873862,1,NA
"emp_Y15-24_ED3-4",49.5867768595041,1,NA
"emp_Y25-64_ED3-4",33.8534893801474,1,NA
"emp_Y15-24_ED5-8",12.396694214876,1,NA
"emp_Y25-64_ED5-8",50.5851755526658,1,NA
"emp_TF",47.1101345052604,1,NA
"emp_TP",11.0105968076404,1,NA
"emp_Y15-24",18.2873379076867,1,NA
"emp_Y25-64",73.5683353210921,1,NA
"emp_YGE65",3.61878667252565,1,NA
"emp_Y15-24_NaceA",NA,0,NA
"emp_Y25-64_NaceA",1.25704377980061,1,NA
"emp_Y15-24_NaceB-E",5.78512396694215,1,NA
"emp_Y25-64_NaceB-E",6.24187256176853,1,NA
"emp_Y15-24_NaceF",7.43801652892562,1,NA
"emp_Y25-64_NaceF",4.42132639791938,1,NA
"emp_Y15-24_NaceG-I",26.4462809917355,1,NA
"emp_Y25-64_NaceG-I",14.9978326831383,1,NA
"emp_Y15-24_NaceJ",NA,0,NA
"emp_Y25-64_NaceJ",4.46467273515388,1,NA
"emp_Y15-24_NaceK",NA,0,NA
"emp_Y25-64_NaceK",13.2206328565236,1,NA
"emp_Y15-24_NaceL",NA,0,NA
"emp_Y25-64_NaceL",0.520156046814044,1,NA
"emp_Y15-24_NaceM_N",7.43801652892562,1,NA
"emp_Y25-64_NaceM_N",10.8799306458604,1,NA
"emp_Y15-24_NaceO-Q",33.0578512396694,1,NA
"emp_Y25-64_NaceO-Q",30.4724750758561,1,NA
"emp_Y15-24_NaceR-U",10.7438016528926,1,NA
"emp_Y25-64_NaceR-U",11.4000866926745,1,NA
"unemp_Y15-24",5.28972584106641,1,NA
"unemp_YGE25",3.30193205357596,1,NA
"GDP",73000,1,NA
"GVAgr",3.6,1,NA
"disp_income",NA,0,NA
"training",14.5,1,NA
"earn_OC1_NaceB-F",29.26,1,NA
"earn_OC2_NaceB-F",22.36,1,NA
"earn_OC3_NaceB-F",18.14,1,NA
"earn_OC4_NaceB-F",14.62,1,NA
"earn_OC5_NaceB-F",10.39,1,NA
"earn_OC6_NaceB-F",NA,0,NA
"earn_OC7_NaceB-F",11.45,1,NA
"earn_OC8_NaceB-F",11.19,1,NA
"earn_OC9_NaceB-F",10.42,1,NA
"earn_OC1_NaceG-N",32.52,1,NA
"earn_OC2_NaceG-N",21.66,1,NA
"earn_OC3_NaceG-N",18.2,1,NA
"earn_OC4_NaceG-N",16.04,1,NA
"earn_OC5_NaceG-N",11.12,1,NA
"earn_OC6_NaceG-N",11.02,1,NA
"earn_OC7_NaceG-N",11.01,1,NA
"earn_OC8_NaceG-N",12.27,1,NA
"earn_OC9_NaceG-N",10.02,1,NA
"earn_OC1_NaceP-S",28.26,1,NA
"earn_OC2_NaceP-S",31.77,1,NA
"earn_OC3_NaceP-S",23.39,1,NA
"earn_OC4_NaceP-S",19.45,1,NA
"earn_OC5_NaceP-S",14.84,1,NA
"earn_OC6_NaceP-S",NA,0,NA
"earn_OC7_NaceP-S",NA,0,NA
"earn_OC8_NaceP-S",NA,0,NA
"earn_OC9_NaceP-S",12.75,1,NA
"expend_ED5-8",NA,0,NA
