"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"emp_Y25_64_ED0_2/2",7.59479209037736e-08,4.45143845511501e-13,1,5.10062238530087e-08,1.36896515005672e-06
"emp_Y25_64_ED0_2/3",-1.96280676641892e-06,1.98839751463242e-11,1,5.10062238530087e-08,9.14942521233006e-06
"emp_Y25_64_ED0_2/4",-6.11155492809419e-07,2.5308280542641e-12,1,5.10062238530087e-08,3.26417568764041e-06
"emp_Y25_64_ED0_2/5",-7.29413973228306e-07,3.87406887834082e-12,1,5.10062238530087e-08,4.03855381811926e-06
"emp_Y25_64_ED0_2/6",-6.12790897656764e-08,1.62237133017112e-13,1,5.10062238530087e-08,8.26451433452993e-07
"emp_Y25_64_ED0_2/7",1.86855673987062e-07,4.3455767603838e-13,1,5.10062238530087e-08,1.35258920997935e-06
"emp_Y25_64_ED0_2/8",2.52339206208241e-07,5.73803401229847e-13,1,5.10062238530087e-08,1.55426033847561e-06
"emp_Y25_64_ED0_2/9",-9.59473483433504e-07,1.13609696381579e-11,1,5.10062238530087e-08,6.9159191149522e-06
"emp_Y25_64_ED0_2/10",-1.01312614089945e-06,1.70699609995574e-08,1,5.10062238530087e-08,0.000268076330529046
"emp_Y15_24_ED0_2/2",4.4903374914401e-06,1.14681309551375e-10,1,2.32295401764739e-07,2.19729580973006e-05
"emp_Y15_24_ED0_2/3",-3.10078952040325e-06,5.87764404955369e-11,1,2.32295401764739e-07,1.57305477934989e-05
"emp_Y15_24_ED0_2/4",-1.30065487066294e-06,1.73724564862026e-11,1,2.32295401764739e-07,8.55210101548327e-06
"emp_Y15_24_ED0_2/5",2.30764160952537e-06,3.07220833631868e-11,1,2.32295401764739e-07,1.1372803550571e-05
"emp_Y15_24_ED0_2/6",1.55819160324037e-06,2.06470965621072e-11,1,2.32295401764739e-07,9.32334382111947e-06
"emp_Y15_24_ED0_2/7",-6.14467521006157e-08,1.55881410630625e-11,1,2.32295401764739e-07,8.10101375099371e-06
"emp_Y15_24_ED0_2/8",2.49750955784645e-06,3.4735605803681e-11,1,2.32295401764739e-07,1.20928772493897e-05
"emp_Y15_24_ED0_2/9",-2.47944965543736e-05,7.90239459511491e-09,1,2.32295401764739e-07,0.000182398625642329
"emp_Y15_24_ED0_2/10",1.17846871253767e-05,2.15216280825081e-08,1,2.32295401764739e-07,0.000301009198096897
"emp_Y25_64_ED3_4/2",4.09218537182193e-05,8.23944051544632e-09,2,6.00329212549949e-07,0.000186247763816696
"emp_Y25_64_ED3_4/3",2.22044933755038e-05,2.29896094788329e-09,2,6.00329212549949e-07,9.83802683317679e-05
"emp_Y25_64_ED3_4/4",3.82991140889263e-06,1.05926530626392e-10,2,6.00329212549949e-07,2.11176009941159e-05
