"","X1vsX2","X1vsX3","X1vsX4","X1vsX5","X1vsX6","X1vsX7","X1vsX8","X1vsX9","X1vsX10","X2vsX3","X2vsX4","X2vsX5","X2vsX6","X2vsX7","X2vsX8","X2vsX9","X2vsX10","X3vsX4","X3vsX5","X3vsX6","X3vsX7","X3vsX8","X3vsX9","X3vsX10","X4vsX5","X4vsX6","X4vsX7","X4vsX8","X4vsX9","X4vsX10","X5vsX6","X5vsX7","X5vsX8","X5vsX9","X5vsX10","X6vsX7","X6vsX8","X6vsX9","X6vsX10","X7vsX8","X7vsX9","X7vsX10","X8vsX9","X8vsX10","X9vsX10"
"emp_Y15-24_NaceL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,3,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y25-64_NaceL",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_Y15-24_NaceM_N",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_Y25-64_NaceM_N",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_Y15-24_NaceO-Q",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_Y25-64_NaceO-Q",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_Y15-24_NaceR-U",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"emp_Y25-64_NaceR-U",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"unemp_Y15-24",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"unemp_YGE25",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"GDP",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"GVAgr",5,4,3,5,4,3,3,2,2,5,4,6,5,4,4,3,3,3,5,4,3,3,2,2,4,3,2,2,1,1,5,4,4,3,3,3,3,2,2,2,1,1,1,1,NA
"disp_income",5,4,4,5,5,3,3,2,NA,5,5,6,6,4,4,3,NA,4,5,5,3,3,2,NA,5,5,3,3,2,NA,6,4,4,3,NA,4,4,3,NA,2,1,NA,1,NA,NA
"training",6,5,5,6,6,4,4,3,3,5,5,6,6,4,4,3,3,4,5,5,3,3,2,2,5,5,3,3,2,2,6,4,4,3,3,4,4,3,3,2,1,1,1,1,NA
"earn_OC1_B-F",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC2_B-F",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC3_B-F",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC4_B-F",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC5_B-F",5,4,4,5,5,NA,3,2,2,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC6_B-F",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,4,NA,NA,NA,NA,2,4,3,NA,NA,NA,NA,2,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC7_B-F",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC8_B-F",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC9_B-F",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC1_G-N",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC2_G-N",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC3_G-N",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC4_G-N",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC5_G-N",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC6_G-N",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,3,NA,3,NA,2,3,5,3,NA,3,NA,2,4,2,NA,2,NA,1,4,NA,4,NA,3,NA,2,NA,1,NA,NA,NA,NA,1,NA
"earn_OC7_G-N",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC8_G-N",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC9_G-N",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC1_P-S",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC2_P-S",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC3_P-S",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC4_P-S",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC5_P-S",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"earn_OC6_P-S",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,3,NA,2,NA,NA,4,5,3,NA,2,NA,NA,5,3,NA,2,NA,NA,4,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC7_P-S",4,3,3,4,4,NA,2,1,NA,5,5,6,6,NA,4,3,NA,4,5,5,NA,3,2,NA,5,5,NA,3,2,NA,6,NA,4,3,NA,NA,4,3,NA,NA,NA,NA,1,NA,NA
"earn_OC8_P-S",4,3,3,4,4,NA,2,1,NA,5,5,6,6,NA,4,3,NA,4,5,5,NA,3,2,NA,5,5,NA,3,2,NA,6,NA,4,3,NA,NA,4,3,NA,NA,NA,NA,1,NA,NA
"earn_OC9_P-S",6,5,5,6,6,NA,4,3,3,5,5,6,6,NA,4,3,3,4,5,5,NA,3,2,2,5,5,NA,3,2,2,6,NA,4,3,3,NA,4,3,3,NA,NA,NA,1,1,NA
"expend_ED5-8",6,5,4,5,6,NA,4,3,NA,5,4,5,6,NA,4,3,NA,3,4,5,NA,3,2,NA,3,4,NA,2,1,NA,5,NA,3,2,NA,NA,4,3,NA,NA,NA,NA,1,NA,NA
