"","v1","v2","cor"
"4234","earn_OC6_NaceB-F","earn_OC8_NaceB-F",0.995
"5002","earn_OC5_NaceG-N","earn_OC9_NaceG-N",0.992
"4611","earn_OC3_NaceB-F","earn_OC4_NaceG-N",0.99
"4235","earn_OC7_NaceB-F","earn_OC8_NaceB-F",0.988
"5695","earn_OC5_NaceP-S","earn_OC9_NaceP-S",0.988
"3927","earn_OC3_NaceB-F","earn_OC4_NaceB-F",0.987
"4311","earn_OC7_NaceB-F","earn_OC9_NaceB-F",0.986
"5543","earn_OC5_NaceP-S","earn_OC7_NaceP-S",0.984
"4693","earn_OC9_NaceB-F","earn_OC5_NaceG-N",0.983
"4843","earn_OC7_NaceB-F","earn_OC7_NaceG-N",0.983
"4620","earn_OC3_NaceG-N","earn_OC4_NaceG-N",0.982
"4997","earn_OC9_NaceB-F","earn_OC9_NaceG-N",0.982
"4458","earn_OC2_NaceB-F","earn_OC2_NaceG-N",0.981
"4612","earn_OC4_NaceB-F","earn_OC4_NaceG-N",0.981
"4312","earn_OC8_NaceB-F","earn_OC9_NaceB-F",0.979
"5536","earn_OC7_NaceG-N","earn_OC7_NaceP-S",0.977
"5386","earn_OC9_NaceG-N","earn_OC5_NaceP-S",0.976
"5467","earn_OC5_NaceP-S","earn_OC6_NaceP-S",0.976
"5696","earn_OC6_NaceP-S","earn_OC9_NaceP-S",0.976
"5697","earn_OC7_NaceP-S","earn_OC9_NaceP-S",0.976
"4845","earn_OC9_NaceB-F","earn_OC7_NaceG-N",0.975
"5694","earn_OC4_NaceP-S","earn_OC9_NaceP-S",0.975
"4535","earn_OC3_NaceB-F","earn_OC3_NaceG-N",0.974
"4543","earn_OC2_NaceG-N","earn_OC3_NaceG-N",0.974
"5000","earn_OC3_NaceG-N","earn_OC9_NaceG-N",0.974
"4158","earn_OC6_NaceB-F","earn_OC7_NaceB-F",0.973
"5390","earn_OC4_NaceP-S","earn_OC5_NaceP-S",0.973
"4156","earn_OC4_NaceB-F","earn_OC7_NaceB-F",0.972
"4691","earn_OC7_NaceB-F","earn_OC5_NaceG-N",0.972
"5690","earn_OC9_NaceG-N","earn_OC9_NaceP-S",0.972
"4995","earn_OC7_NaceB-F","earn_OC9_NaceG-N",0.971
"5305","earn_OC4_NaceG-N","earn_OC4_NaceP-S",0.971
"5466","earn_OC4_NaceP-S","earn_OC6_NaceP-S",0.971
"5684","earn_OC3_NaceG-N","earn_OC9_NaceP-S",0.971
"5685","earn_OC4_NaceG-N","earn_OC9_NaceP-S",0.971
"4459","earn_OC3_NaceB-F","earn_OC2_NaceG-N",0.969
"4844","earn_OC8_NaceB-F","earn_OC7_NaceG-N",0.969
"4692","earn_OC8_NaceB-F","earn_OC5_NaceG-N",0.968
"4996","earn_OC8_NaceB-F","earn_OC9_NaceG-N",0.968
"5382","earn_OC5_NaceG-N","earn_OC5_NaceP-S",0.968
"5544","earn_OC6_NaceP-S","earn_OC7_NaceP-S",0.968
"4155","earn_OC3_NaceB-F","earn_OC7_NaceB-F",0.966
"4696","earn_OC3_NaceG-N","earn_OC5_NaceG-N",0.966
"5313","earn_OC3_NaceP-S","earn_OC4_NaceP-S",0.966
"5381","earn_OC4_NaceG-N","earn_OC5_NaceP-S",0.966
"4619","earn_OC2_NaceG-N","earn_OC4_NaceG-N",0.965
"4850","earn_OC5_NaceG-N","earn_OC7_NaceG-N",0.965
"5448","earn_OC4_NaceB-F","earn_OC6_NaceP-S",0.965
"5001","earn_OC4_NaceG-N","earn_OC9_NaceG-N",0.964
"5004","earn_OC7_NaceG-N","earn_OC9_NaceG-N",0.964
