"vars","pval","adjp","odds","exp","obs","size"
"mat_depriv",1.68634446792398e-07,6.40810897811113e-06,28.8947368421053,1.31884057971015,9,28
"ARPR_socexcl",1.68634446792398e-07,6.40810897811113e-06,28.8947368421053,1.31884057971015,9,28
"ARPR",3.3932843994728e-07,8.59632047866442e-06,25.9285714285714,1.41304347826087,9,30
"emp_Y25-64_NaceA",2.95715637047277e-06,5.61859710389826e-05,32.4507042253521,3.90942028985507,12,83
"emp_Y25-64_NaceB-E",0.001159756502937,0.0176282988446423,7.48971193415638,4.28623188405797,10,91
"emp_Y15-24_NaceA",0.0026201481774361,0.0331885435808573,8.02631578947368,1.1304347826087,5,24
"pop_Y25-64",0.00746021423302432,0.0708720352137311,4.87951807228916,4.33333333333333,9,92
"emp_Y25-64_ED3-4",0.00746021423302432,0.0708720352137311,4.87951807228916,4.33333333333333,9,92
"low_work",0.0320536332887666,0.270675125549585,4.42592592592593,1.31884057971015,4,28
"pop_Y65-74",0.0981886235831034,0.746233539231586,2.44313725490196,4.33333333333333,7,92
"unemp_YGE25",0.23665956357363,1,1.7641196013289,4.33333333333333,6,92
"emp_FT",0.447947118559174,1,1.26436781609195,4.33333333333333,5,92
"pop_Total",0.682711068543112,1,0.883838383838384,4.33333333333333,4,92
"emp_Y15-24_NaceB-E",0.735378128928519,1,0.795833333333333,3.53260869565217,3,75
"emp_YGE65",0.820810185009875,1,0.662195121951219,4.0036231884058,3,85
"emp_Y25-64_NaceF",0.861335813096108,1,0.596590909090909,4.28623188405797,3,91
"pop_Y15-24",0.867356871901266,1,0.586516853932584,4.33333333333333,3,92
"emp_Y25-64_ED0-2",0.867356871901266,1,0.586516853932584,4.33333333333333,3,92
"emp_Y25-64_NaceG-I",0.867356871901266,1,0.586516853932584,4.33333333333333,3,92
"emp_Y15-24_ED0-2",0.989636297050096,1,0.194092827004219,3.76811594202899,1,80
"unemp_Y15-24",0.993172255990548,1,0.174509803921569,4.05072463768116,1,86
"pop_Y0-14",0.995563653313881,1,0.157509157509157,4.33333333333333,1,92
"pop_YGE75",0.995563653313881,1,0.157509157509157,4.33333333333333,1,92
"emp_Y25-64",0.995563653313881,1,0.157509157509157,4.33333333333333,1,92
"rooms_pp",1,1,0,1.64855072463768,0,35
"emp_Y15-24_ED3-4",1,1,0,4.23913043478261,0,90
"emp_Y15-24_ED5-8",1,1,0,3.15579710144928,0,67
"emp_Y25-64_ED5-8",1,1,0,4.33333333333333,0,92
"emp_PT",1,1,0,4.33333333333333,0,92
"emp_Y15-24",1,1,0,4.33333333333333,0,92
"emp_Y15-24_NaceF",1,1,0,2.68478260869565,0,57
"emp_Y15-24_NaceG-I",1,1,0,4.14492753623188,0,88
"emp_Y15-24_NaceJ",1,1,0,0.847826086956522,0,18
"emp_Y25-64_NaceJ",1,1,0,3.81521739130435,0,81
"emp_Y15-24_NaceK",1,1,0,0.565217391304348,0,12
"emp_Y25-64_NaceK",1,1,0,4.05072463768116,0,86
"emp_Y15-24_NaceL",1,1,0,0.0942028985507246,0,2
"emp_Y25-64_NaceL",1,1,0,2.59057971014493,0,55
"emp_Y15-24_NaceM_N",1,1,0,2.63768115942029,0,56
"emp_Y25-64_NaceM_N",1,1,0,4.28623188405797,0,91
"emp_Y15-24_NaceO-Q",1,1,0,3.39130434782609,0,72
"emp_Y25-64_NaceO-Q",1,1,0,4.33333333333333,0,92
"emp_Y15-24_NaceR-U",1,1,0,2.26086956521739,0,48
"emp_Y25-64_NaceR-U",1,1,0,4.28623188405797,0,91
"GDP",1,1,0,4.33333333333333,0,92
"GVAgr",1,1,0,1.83695652173913,0,39
"disp_income",1,1,0,4.3804347826087,0,93
"training",1,1,0,4.3804347826087,0,93
"earn_OC1_B-F",1,1,0,4.19202898550725,0,89
"earn_OC2_B-F",1,1,0,4.19202898550725,0,89
"earn_OC3_B-F",1,1,0,4.28623188405797,0,91
"earn_OC4_B-F",1,1,0,5.55797101449275,0,118
"earn_OC5_B-F",1,1,0,4.28623188405797,0,91
"earn_OC6_B-F",1,1,0,2.02536231884058,0,43
"earn_OC7_B-F",1,1,0,4.56884057971014,0,97
"earn_OC8_B-F",1,1,0,5.08695652173913,0,108
"earn_OC9_B-F",1,1,0,4.52173913043478,0,96
"earn_OC1_G-N",1,1,0,4.61594202898551,0,98
"earn_OC2_G-N",1,1,0,4.19202898550725,0,89
"earn_OC3_G-N",1,1,0,4.56884057971014,0,97
"earn_OC4_G-N",1,1,0,4.28623188405797,0,91
"earn_OC5_G-N",1,1,0,4.52173913043478,0,96
"earn_OC6_G-N",1,1,0,3.95652173913044,0,84
"earn_OC7_G-N",1,1,0,4.56884057971014,0,97
"earn_OC8_G-N",1,1,0,5.55797101449275,0,118
"earn_OC9_G-N",1,1,0,4.56884057971014,0,97
"earn_OC1_P-S",1,1,0,4.28623188405797,0,91
"earn_OC2_P-S",1,1,0,4.28623188405797,0,91
"earn_OC3_P-S",1,1,0,4.94565217391304,0,105
"earn_OC4_P-S",1,1,0,4.09782608695652,0,87
"earn_OC5_P-S",1,1,0,5.13405797101449,0,109
"earn_OC6_P-S",1,1,0,3.20289855072464,0,68
"earn_OC7_P-S",1,1,0,5.18115942028986,0,110
"earn_OC8_P-S",1,1,0,5.18115942028986,0,110
"earn_OC9_P-S",1,1,0,4.85144927536232,0,103
"expend_ED5-8",1,1,0,3.57971014492754,0,76
