"","pop_Total","pop_Y0-14","pop_Y15-24","pop_Y25-64","pop_Y65-74","pop_YGE75","ARPR","low_work","rooms_pp","mat_depriv","ARPR_socexcl","emp_Y15-24_ED0-2","emp_Y25-64_ED0-2","emp_Y15-24_ED3-4","emp_Y25-64_ED3-4","emp_Y15-24_ED5-8","emp_Y25-64_ED5-8","emp_TF","emp_TP","emp_Y15-24","emp_Y25-64","emp_YGE65","emp_Y15-24_NaceA","emp_Y25-64_NaceA","emp_Y15-24_NaceB-E","emp_Y25-64_NaceB-E","emp_Y15-24_NaceF","emp_Y25-64_NaceF","emp_Y15-24_NaceG-I","emp_Y25-64_NaceG-I","emp_Y15-24_NaceJ","emp_Y25-64_NaceJ","emp_Y15-24_NaceK","emp_Y25-64_NaceK","emp_Y15-24_NaceL","emp_Y25-64_NaceL","emp_Y15-24_NaceM_N","emp_Y25-64_NaceM_N","emp_Y15-24_NaceO-Q","emp_Y25-64_NaceO-Q","emp_Y15-24_NaceR-U","emp_Y25-64_NaceR-U","unemp_Y15-24","unemp_YGE25","GDP","GVAgr","disp_income","training"
"pop_Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pop_Y0-14",-46494.0062847722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pop_Y15-24",46792.4638998458,1.10637885895693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pop_Y25-64",50088.0944397447,-1.05264499512677,-0.388201605342153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pop_Y65-74",-36568.8791979903,-1.63688689337297,-0.866768145521577,-0.554100998578614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pop_YGE75",-13817.7305494362,-1.91353886213593,-1.00444208377808,-0.742286371124108,1.4297700520827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARPR",716602.519347042,-0.924642688549058,0.0205498871844696,-3.65020521590542,1.94691117076096,2.60738684650905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"low_work",583415.066865079,-0.00942143105372357,-0.517978679230933,-0.0508589298008732,0.786347602232868,-0.208088562147337,6.89117131479631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rooms_pp",-27917.3859110008,0.0287972169933338,-0.0576922448360283,0.0387255308442208,-0.00050513022793749,-0.00932537277358875,-0.208705253080253,0.17697465034965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mat_depriv",167421.535223665,-1.59289488131604,-1.46639967655757,-3.51784576063177,3.44530326703695,3.13183705146844,19.0842024364524,4.82552666777667,-0.312627455877456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
