"","mean","n","stdev"
"pop_Total",3485116,8,956227.653045027
"pop_Y0-14",14.863384733817,8,0.855043537503165
"pop_Y15-24",11.6120012047957,8,0.838924978140099
"pop_Y25-64",57.1698676649875,8,1.65399245633238
"pop_Y65-74",8.9337132774888,8,0.863621645016969
"pop_YGE75",7.421033118911,8,0.894899707963747
"ARPR",NA,0,NA
"low_work",NA,0,NA
"rooms_pp",NA,0,NA
"mat_depriv",NA,0,NA
"ARPR_socexcl",NA,0,NA
"emp_Y15-24_ED0-2",2.62798270773537,7,0.63286783607112
"emp_Y25-64_ED0-2",3.34267239472886,8,1.25773826469401
"emp_Y15-24_ED3-4",19.5606431118701,8,3.44585154075122
"emp_Y25-64_ED3-4",40.6317366849286,8,4.2557702814062
"emp_Y15-24_ED5-8",4.4645825087482,8,1.49511886262312
"emp_Y25-64_ED5-8",25.3447590300415,8,6.06507990090989
"emp_FT",51.5771086766681,8,6.14534132401662
"emp_PT",4.25935261999849,8,0.768240198382727
"emp_Y15-24",26.4575353854997,8,4.40650378924374
"emp_Y25-64",69.3191681096989,8,8.52984837394449
"emp_YGE65",4.40385977055085,8,1.36542898875013
"emp_Y15-24_NaceA",2.50001945405861,5,0.829300943919965
"emp_Y25-64_NaceA",5.70922295628806,8,3.48763634998179
"emp_Y15-24_NaceB-E",6.65008006374956,8,2.11758206263381
"emp_Y25-64_NaceB-E",15.3247003176055,8,3.79524334402299
"emp_Y15-24_NaceF",2.32294856673923,7,0.820721296496202
"emp_Y25-64_NaceF",5.05010246205563,8,0.548371594194554
"emp_Y15-24_NaceG-I",9.23640816130728,8,1.46460211734833
"emp_Y25-64_NaceG-I",16.2322862552375,8,3.14773538131344
"emp_Y15-24_NaceJ",1.83246517467805,1,NA
"emp_Y25-64_NaceJ",2.00622237587004,8,1.25521263878925
"emp_Y15-24_NaceK",0.984101667882654,1,NA
"emp_Y25-64_NaceK",1.91186195253803,8,0.984895374448116
"emp_Y15-24_NaceL",NA,0,NA
"emp_Y25-64_NaceL",0.725173435093939,8,0.161883776148407
"emp_Y15-24_NaceM_N",2.01964380437073,7,0.576331307274838
"emp_Y25-64_NaceM_N",5.42193544075081,8,1.86755074352974
"emp_Y15-24_NaceO-Q",2.14101097910673,7,0.630925076011116
"emp_Y25-64_NaceO-Q",14.4319478482133,8,2.42864585448294
"emp_Y15-24_NaceR-U",1.31643645179371,3,0.357940231547374
"emp_Y25-64_NaceR-U",2.39993601802567,8,0.771666356297427
"unemp_Y15-24",6.85320405348744,8,1.33821546861489
"unemp_YGE25",4.85506321645634,8,1.19818209162956
"GDP",21750,8,5093.41311331185
"GVAgr",3,1,NA
"disp_income",11187.5,8,1239.16734716733
"training",4.2125,8,1.16181815641323
"earn_OC1_B-F",16.68375,8,2.41796217328323
"earn_OC2_B-F",10.98625,8,1.97138049889629
"earn_OC3_B-F",8.39625,8,1.13142056725163
"earn_OC4_B-F",7.4025,8,0.946206712540734
"earn_OC5_B-F",5.1075,8,0.740805546106977
"earn_OC6_B-F",5.60428571428571,7,0.20032117069489
"earn_OC7_B-F",5.3225,8,0.419344726925235
"earn_OC8_B-F",6.06125,8,0.666020967065924
"earn_OC9_B-F",5.25875,8,0.618094710726901
"earn_OC1_G-N",15.95875,8,2.53725069148253
"earn_OC2_G-N",11.8225,8,1.85893018388842
"earn_OC3_G-N",8.9425,8,1.290268521333
"earn_OC4_G-N",7.1575,8,0.936829760415413
"earn_OC5_G-N",5.37125,8,0.713971538048161
"earn_OC6_G-N",5.02285714285714,7,0.151185789203691
"earn_OC7_G-N",5.3175,8,0.116465813500296
"earn_OC8_G-N",6.7775,8,0.773632433948541
"earn_OC9_G-N",4.67625,8,0.5011112650899
"earn_OC1_P-S",12.60375,8,1.77630384707765
"earn_OC2_P-S",13.14125,8,3.0380042203488
"earn_OC3_P-S",6.7375,8,0.977792703710031
"earn_OC4_P-S",6.57125,8,1.14138308956409
"earn_OC5_P-S",5.18125,8,0.800454112185256
"earn_OC6_P-S",6.39,7,0.71435285398744
"earn_OC7_P-S",5.15375,8,0.386150877248777
"earn_OC8_P-S",4.4125,8,0.309365710538745
"earn_OC9_P-S",4.76625,8,0.796921532254857
"expend_ED5-8",1.19875,8,0.116427475893181
