"vars","pval","adjp","odds","exp","obs","size"
"disp_income",1.23596507957232e-13,5.93263238194712e-12,91.5918367346939,5.91666666666667,22,71
"emp_TP",1.73224389192352e-09,4.15738534061644e-08,19.285,5.75,19,69
"emp_Y25-64_ED3-4",2.66682946300586e-08,3.20019535560704e-07,14.2588235294118,5.75,18,69
"GDP",2.66682946300586e-08,3.20019535560704e-07,14.2588235294118,5.75,18,69
"emp_Y15-24_ED0-2",3.09329696786066e-07,2.53815354893431e-06,10.8571428571429,5,16,60
"emp_Y25-64",3.17269193616789e-07,2.53815354893431e-06,10.9519230769231,5.75,17,69
"emp_Y25-64_NaceB-E",1.85097436844899e-05,0.000126923956693645,7.07547169811321,5.66666666666667,15,68
"emp_Y15-24_NaceO-Q",4.00306564957373e-05,0.000240183938974424,6.72195121951219,4.5,13,54
"emp_Y15-24_NaceB-E",0.00177941828504547,0.00949023085357585,4.23703703703704,4.66666666666667,11,56
"emp_Y15-24",0.00315142599358911,0.0151268447692277,3.7511961722488,5.75,12,69
"pop_YGE75",0.0113200462133707,0.0493965652947086,3.08189655172414,5.75,11,69
"pop_Y65-74",0.342163384680366,1,1.34778225806452,5.75,7,69
"emp_Y15-24_NaceF",0.496062026542308,1,1.15519568151147,3.58333333333333,4,43
"emp_TF",0.535762463200129,1,1.06442577030812,5.75,6,69
"pop_Total",0.727344884651978,1,0.8203125,5.75,5,69
"emp_YGE65",0.82691551849061,1,0.67719298245614,5.33333333333333,4,64
"emp_Y25-64_NaceK",0.82691551849061,1,0.67719298245614,5.33333333333333,4,64
"emp_Y25-64_NaceJ",0.919978896493419,1,0.504310344827586,5.08333333333333,3,61
"emp_Y15-24_ED5-8",0.946074900825385,1,0.406746031746032,4.16666666666667,2,50
"emp_Y25-64_NaceF",0.953824241452951,1,0.433846153846154,5.66666666666667,3,68
"emp_Y15-24_NaceM_N",0.981160678571682,1,0.235033259423503,3.5,1,42
"emp_Y25-64_NaceM_N",0.990754480490368,1,0.264392324093817,5.75,2,69
"pop_Y15-24",0.999034751066997,1,0.123663101604278,5.75,1,69
"emp_Y25-64_ED5-8",0.999034751066997,1,0.123663101604278,5.75,1,69
"emp_Y25-64_NaceG-I",0.999034751066997,1,0.123663101604278,5.75,1,69
"pop_Y0-14",1,1,0,5.75,0,69
"pop_Y25-64",1,1,0,5.75,0,69
"ARPR",1,1,0,1.75,0,21
"low_work",1,1,0,1.75,0,21
"rooms_pp",1,1,0,2,0,24
"mat_depriv",1,1,0,1.75,0,21
"ARPR_socexcl",1,1,0,1.75,0,21
"emp_Y25-64_ED0-2",1,1,0,5.75,0,69
"emp_Y15-24_ED3-4",1,1,0,5.66666666666667,0,68
"emp_Y15-24_NaceA",1,1,0,1.5,0,18
"emp_Y25-64_NaceA",1,1,0,5.25,0,63
"emp_Y15-24_NaceG-I",1,1,0,5.5,0,66
"emp_Y15-24_NaceJ",1,1,0,1.16666666666667,0,14
"emp_Y15-24_NaceK",1,1,0,0.75,0,9
"emp_Y15-24_NaceL",1,1,0,0.166666666666667,0,2
"emp_Y25-64_NaceL",1,1,0,3.41666666666667,0,41
"emp_Y25-64_NaceO-Q",1,1,0,5.75,0,69
"emp_Y15-24_NaceR-U",1,1,0,3,0,36
"emp_Y25-64_NaceR-U",1,1,0,5.75,0,69
"unemp_Y15-24",1,1,0,5.41666666666667,0,65
"unemp_YGE25",1,1,0,5.75,0,69
"GVAgr",1,1,0,2.41666666666667,0,29
"training",1,1,0,5.75,0,69
